"Kod";"Nazwa";"ludność korzystająca z sieci gazowej;2020;[osoba]";
1409034;"Lipsko - miasto (4)";5;
1410000;"Powiat łosicki";4622;
1410023;"Łosice (3)";3948;
1410024;"Łosice - miasto (4)";3925;
1410025;"Łosice - obszar wiejski (5)";23;
1410032;"Olszanka (2)";3;
1410052;"Sarnaki (2)";671;
1411000;"Powiat makowski";126;
1411011;"Maków Mazowiecki (1)";126;
1412000;"Powiat miński";54434;
1412011;"Mińsk Mazowiecki (1)";24759;
1412042;"Cegłów (2)";414;
1412052;"Dębe Wielkie (2)";228;
1412062;"Dobre (2)";137;
1412073;"Halinów (3)";8210;
1412074;"Halinów - miasto (4)";2519;
1412075;"Halinów - obszar wiejski (5)";5691;
1412082;"Jakubów (2)";3;
1412093;"Kałuszyn (3)";61;
1412094;"Kałuszyn - miasto (4)";61;
1412102;"Latowicz (2)";525;
1412112;"Mińsk Mazowiecki (2)";2625;
1412123;"Mrozy (3)";407;
1412124;"Mrozy - miasto (4)";407;
1412132;"Siennica (2)";799;
1412142;"Stanisławów (2)";653;
1412151;"Sulejówek (1)";15613;
1413000;"Powiat mławski";30726;
1413011;"Mława (1)";28075;
1413032;"Lipowiec Kościelny (2)";295;
1413042;"Radzanów (2)";49;
1413052;"Strzegowo (2)";12;
1413062;"Stupsk (2)";908;
1413072;"Szreńsk (2)";7;
1413082;"Szydłowo (2)";646;
1413092;"Wieczfnia Kościelna (2)";578;
1413102;"Wiśniewo (2)";156;
1414000;"Powiat nowodworski";25708;
1414011;"Nowy Dwór Mazowiecki (1)";11033;
1414022;"Czosnów (2)";6452;
1414043;"Nasielsk (3)";4282;
1414044;"Nasielsk - miasto (4)";3561;
1414045;"Nasielsk - obszar wiejski (5)";721;
1414052;"Pomiechówek (2)";3680;
1414063;"Zakroczym (3)";261;
1414064;"Zakroczym - miasto (4)";261;
1415000;"Powiat ostrołęcki";12360;
1415012;"Baranowo (2)";371;
1415032;"Czerwin (2)";518;
1415052;"Kadzidło (2)";1444;
1415062;"Lelis (2)";1696;
1415072;"Łyse (2)";249;
1415092;"Olszewo-Borki (2)";2428;
1415102;"Rzekuń (2)";5107;
1415112;"Troszyn (2)";547;
1416000;"Powiat ostrowski";8011;
1416011;"Ostrów Mazowiecka (1)";4229;
1416052;"Małkinia Górna (2)";426;
1416072;"Ostrów Mazowiecka (2)";2964;
1416102;"Wąsewo (2)";392;
1417000;"Powiat otwocki";88393;
1417011;"Józefów (1)";20307;
1417021;"Otwock (1)";43490;
1417032;"Celestynów (2)";4016;
1417043;"Karczew (3)";8748;
1417044;"Karczew - miasto (4)";7265;
1417045;"Karczew - obszar wiejski (5)";1483;
1417052;"Kołbiel (2)";5299;
1417062;"Osieck (2)";513;
1417072;"Sobienie-Jeziory (2)";608;
1417082;"Wiązowna (2)";5412;
1418000;"Powiat piaseczyński";141129;
1418013;"Góra Kalwaria (3)";15498;
1418014;"Góra Kalwaria - miasto (4)";8855;
1418015;"Góra Kalwaria - obszar wiejski (5)";6643;
1418023;"Konstancin-Jeziorna (3)";18680;
1418024;"Konstancin-Jeziorna - miasto (4)";13118;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";5562;
1418032;"Lesznowola (2)";26414;
1418043;"Piaseczno (3)";72144;
1418044;"Piaseczno - miasto (4)";39774;
1418045;"Piaseczno - obszar wiejski (5)";32370;
1418052;"Prażmów (2)";1746;
1418063;"Tarczyn (3)";6647;
1418064;"Tarczyn - miasto (4)";3722;
1418065;"Tarczyn - obszar wiejski (5)";2925;
1419000;"Powiat płocki";11259;
1419012;"Bielsk (2)";113;
1419042;"Bulkowo (2)";3;
1419063;"Gąbin (3)";807;
1419064;"Gąbin - miasto (4)";801;
1419065;"Gąbin - obszar wiejski (5)";6;
1419072;"Łąck (2)";3;
1419082;"Mała Wieś (2)";3;
1419102;"Radzanowo (2)";867;
1419122;"Słupno (2)";4263;
1419132;"Stara Biała (2)";4411;
1419142;"Staroźreby (2)";789;
1420000;"Powiat płoński";24540;
1420011;"Płońsk (1)";19833;
1420021;"Raciąż (1)";83;
1420032;"Baboszewo (2)";1912;
1420043;"Czerwińsk nad Wisłą (3)";10;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";10;
1420052;"Dzierzążnia (2)";224;
1420092;"Płońsk (2)";927;
1420112;"Sochocin (2)";1210;
1420122;"Załuski (2)";341;
1421000;"Powiat pruszkowski";143446;
1421011;"Piastów (1)";21267;
1421021;"Pruszków (1)";48181;
1421033;"Brwinów (3)";21810;
1421034;"Brwinów - miasto (4)";11848;
1421035;"Brwinów - obszar wiejski (5)";9962;
1421042;"Michałowice (2)";17468;
1421052;"Nadarzyn (2)";12950;
1421062;"Raszyn (2)";21770;
1422000;"Powiat przasnyski";441;
1422011;"Przasnysz (1)";316;
1422023;"Chorzele (3)";94;
1422024;"Chorzele - miasto (4)";94;
1422052;"Krasne (2)";31;
1423000;"Powiat przysuski";50;
1423032;"Klwów (2)";5;
1423063;"Przysucha (3)";45;
1423064;"Przysucha - miasto (4)";45;
1424000;"Powiat pułtuski";10143;
1424043;"Pułtusk (3)";9480;
1424044;"Pułtusk - miasto (4)";9358;
1424045;"Pułtusk - obszar wiejski (5)";122;
1424062;"Winnica (2)";663;
1425000;"Powiat radomski";46580;
1425011;"Pionki (1)";16008;
1425022;"Gózd (2)";807;
1425033;"Iłża (3)";4876;
1425034;"Iłża - miasto (4)";3514;
1425035;"Iłża - obszar wiejski (5)";1362;
1425042;"Jastrzębia (2)";92;
1425052;"Jedlińsk (2)";5521;
1425062;"Jedlnia-Letnisko (2)";5338;
1425072;"Kowala (2)";2175;
1425082;"Pionki (2)";1398;
1425103;"Skaryszew (3)";6070;
1425104;"Skaryszew - miasto (4)";2687;
1425105;"Skaryszew - obszar wiejski (5)";3383;
1425122;"Wolanów (2)";152;
1425132;"Zakrzew (2)";4143;
1426000;"Powiat siedlecki";10970;
1426032;"Kotuń (2)";52;
1426042;"Mokobody (2)";237;
1426053;"Mordy (3)";46;
1426054;"Mordy - miasto (4)";46;
1426082;"Siedlce (2)";8125;
1426092;"Skórzec (2)";116;
1426102;"Suchożebry (2)";1465;
1426112;"Wiśniew (2)";869;
1426122;"Wodynie (2)";5;
1426132;"Zbuczyn (2)";55;
1427000;"Powiat sierpecki";4090;
1427011;"Sierpc (1)";2827;
1427022;"Gozdowo (2)";684;
1427032;"Mochowo (2)";569;
1427042;"Rościszewo (2)";7;
1427052;"Sierpc (2)";3;
1428000;"Powiat sochaczewski";4880;
1428011;"Sochaczew (1)";2168;
1428022;"Brochów (2)";140;
1428052;"Nowa Sucha (2)";244;
1428072;"Sochaczew (2)";780;
1428082;"Teresin (2)";1548;
1429000;"Powiat sokołowski";8003;
1429011;"Sokołów Podlaski (1)";7725;
1429053;"Kosów Lacki (3)";75;
1429054;"Kosów Lacki - miasto (4)";64;
1429055;"Kosów Lacki - obszar wiejski (5)";11;
1429082;"Sokołów Podlaski (2)";203;
1430000;"Powiat szydłowiecki";7206;
1430032;"Mirów (2)";3;
1430053;"Szydłowiec (3)";7203;
1430054;"Szydłowiec - miasto (4)";7079;
1430055;"Szydłowiec - obszar wiejski (5)";124;
1432000;"Powiat warszawski zachodni";100579;
1432013;"Błonie (3)";17420;
1432014;"Błonie - miasto (4)";10374;
1432015;"Błonie - obszar wiejski (5)";7046;
1432022;"Izabelin (2)";8980;
1432032;"Kampinos (2)";131;
1432042;"Leszno (2)";4951;
1432053;"Łomianki (3)";25460;
1432054;"Łomianki - miasto (4)";15808;
1432055;"Łomianki - obszar wiejski (5)";9652;
1432063;"Ożarów Mazowiecki (3)";25121;
1432064;"Ożarów Mazowiecki - miasto (4)";11595;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";13526;
1432072;"Stare Babice (2)";18516;
1433000;"Powiat węgrowski";10937;
1433011;"Węgrów (1)";10553;
1433042;"Liw (2)";3;
1433053;"Łochów (3)";370;
1433054;"Łochów - miasto (4)";370;
1433062;"Miedzna (2)";7;
1433072;"Sadowne (2)";2;
1433092;"Wierzbno (2)";2;
1434000;"Powiat wołomiński";192353;
1434011;"Kobyłka (1)";24127;
1434021;"Marki (1)";32380;
1434031;"Ząbki (1)";35139;
1434041;"Zielonka (1)";16984;
1434052;"Dąbrówka (2)";3547;
1434062;"Jadów (2)";121;
1434072;"Klembów (2)";6868;
1434082;"Poświętne (2)";431;
1434093;"Radzymin (3)";23907;
1434094;"Radzymin - miasto (4)";13291;
1434095;"Radzymin - obszar wiejski (5)";10616;
1434102;"Strachówka (2)";25;
1434113;"Tłuszcz (3)";9815;
1434114;"Tłuszcz - miasto (4)";7251;
1434115;"Tłuszcz - obszar wiejski (5)";2564;
1434123;"Wołomin (3)";39009;
1434124;"Wołomin - miasto (4)";28287;
1434125;"Wołomin - obszar wiejski (5)";10722;
1435000;"Powiat wyszkowski";30361;
1435012;"Brańszczyk (2)";855;
1435022;"Długosiodło (2)";3;
1435032;"Rząśnik (2)";7;
1435042;"Somianka (2)";3;
1435053;"Wyszków (3)";28023;
1435054;"Wyszków - miasto (4)";23605;
1435055;"Wyszków - obszar wiejski (5)";4418;
1435062;"Zabrodzie (2)";1470;
1436000;"Powiat zwoleński";3993;
1436022;"Policzna (2)";559;
1436053;"Zwoleń (3)";3434;
1436054;"Zwoleń - miasto (4)";3328;
1436055;"Zwoleń - obszar wiejski (5)";106;
1437000;"Powiat żuromiński";11;
1437063;"Żuromin (3)";11;
1437064;"Żuromin - miasto (4)";8;
1437065;"Żuromin - obszar wiejski (5)";3;
1438000;"Powiat żyrardowski";33864;
1438011;"Żyrardów (1)";25973;
1438023;"Mszczonów (3)";5264;
1438024;"Mszczonów - miasto (4)";5154;
1438025;"Mszczonów - obszar wiejski (5)";110;
1438032;"Puszcza Mariańska (2)";73;
1438042;"Radziejowice (2)";2360;
1438052;"Wiskitki (2)";194;
1461000;"Powiat m.Ostrołęka";44105;
1461011;"Ostrołęka (1)";44105;
1462000;"Powiat m.Płock";72124;
1462011;"Płock (1)";72124;
1463000;"Powiat m.Radom";167551;
1463011;"Radom (1)";167551;
1464000;"Powiat m.Siedlce";63117;
1464011;"Siedlce (1)";63117;
1465000;"Powiat m. st. Warszawa";1297701;
1465011;"M.st.Warszawa od 2002 (1)";1297701;
1600000;"OPOLSKIE";428398;
1601000;"Powiat brzeski";53367;
1601011;"Brzeg (1)";34150;
1601022;"Skarbimierz (2)";5069;
1601033;"Grodków (3)";7518;
1601034;"Grodków - miasto (4)";7433;
1601035;"Grodków - obszar wiejski (5)";85;
1601043;"Lewin Brzeski (3)";6623;
1601044;"Lewin Brzeski - miasto (4)";5324;
1601045;"Lewin Brzeski - obszar wiejski (5)";1299;
1601062;"Olszanka (2)";7;
1602000;"Powiat głubczycki";21705;
1602013;"Baborów (3)";2726;
1602014;"Baborów - miasto (4)";2723;
1602015;"Baborów - obszar wiejski (5)";3;
1602022;"Branice (2)";1770;
1602033;"Głubczyce (3)";11886;
1602034;"Głubczyce - miasto (4)";11691;
1602035;"Głubczyce - obszar wiejski (5)";195;
1602043;"Kietrz (3)";5323;
1602044;"Kietrz - miasto (4)";5320;
1602045;"Kietrz - obszar wiejski (5)";3;
1603000;"Powiat kędzierzyńsko-kozielski";51694;
1603011;"Kędzierzyn-Koźle (1)";51444;
1603022;"Bierawa (2)";193;
1603032;"Cisek (2)";29;
1603062;"Reńska Wieś (2)";28;
1604000;"Powiat kluczborski";30602;
1604013;"Byczyna (3)";1631;
1604014;"Byczyna - miasto (4)";1599;
1604015;"Byczyna - obszar wiejski (5)";32;
1604023;"Kluczbork (3)";23201;
1604024;"Kluczbork - miasto (4)";21424;
1604025;"Kluczbork - obszar wiejski (5)";1777;
1604043;"Wołczyn (3)";5770;
1604044;"Wołczyn - miasto (4)";5604;
1604045;"Wołczyn - obszar wiejski (5)";166;
1605000;"Powiat krapkowicki";26105;
1605013;"Gogolin (3)";4365;
1605014;"Gogolin - miasto (4)";4321;
1605015;"Gogolin - obszar wiejski (5)";44;
1605023;"Krapkowice (3)";11065;
1605024;"Krapkowice - miasto (4)";10851;
1605025;"Krapkowice - obszar wiejski (5)";214;
1605032;"Strzeleczki (2)";18;
1605053;"Zdzieszowice (3)";10657;
1605054;"Zdzieszowice - miasto (4)";9372;
1605055;"Zdzieszowice - obszar wiejski (5)";1285;
1606000;"Powiat namysłowski";15224;
1606012;"Domaszowice (2)";6;
1606023;"Namysłów (3)";15209;
1606024;"Namysłów - miasto (4)";14816;
1606025;"Namysłów - obszar wiejski (5)";393;
1606032;"Pokój (2)";3;
1606042;"Świerczów (2)";3;
1606052;"Wilków (2)";3;
1607000;"Powiat nyski";67997;
1607013;"Głuchołazy (3)";13166;
1607014;"Głuchołazy - miasto (4)";12516;
1607015;"Głuchołazy - obszar wiejski (5)";650;
1607033;"Korfantów (3)";805;
1607034;"Korfantów - miasto (4)";793;
1607035;"Korfantów - obszar wiejski (5)";12;
1607042;"Łambinowice (2)";542;
1607053;"Nysa (3)";41461;
1607054;"Nysa - miasto (4)";37973;
1607055;"Nysa - obszar wiejski (5)";3488;
1607063;"Otmuchów (3)";4633;
1607064;"Otmuchów - miasto (4)";4633;
1607073;"Paczków (3)";6661;
1607074;"Paczków - miasto (4)";6383;
1607075;"Paczków - obszar wiejski (5)";278;
1607092;"Skoroszyce (2)";729;
1608000;"Powiat oleski";9089;
1608023;"Gorzów Śląski (3)";306;
1608024;"Gorzów Śląski - miasto (4)";237;
1608025;"Gorzów Śląski - obszar wiejski (5)";69;
1608033;"Olesno (3)";8080;
1608034;"Olesno - miasto (4)";7331;
1608035;"Olesno - obszar wiejski (5)";749;
1608043;"Praszka (3)";696;
1608044;"Praszka - miasto (4)";630;
1608045;"Praszka - obszar wiejski (5)";66;
1608052;"Radłów (2)";7;
1609000;"Powiat opolski";20125;
1609012;"Chrząstowice (2)";539;
1609022;"Dąbrowa (2)";505;
1609032;"Dobrzeń Wielki (2)";1291;
1609042;"Komprachcice (2)";1277;
1609052;"Łubniany (2)";1870;
1609073;"Niemodlin (3)";5099;
1609074;"Niemodlin - miasto (4)";5019;
1609075;"Niemodlin - obszar wiejski (5)";80;
1609083;"Ozimek (3)";4735;
1609084;"Ozimek - miasto (4)";4574;
1609085;"Ozimek - obszar wiejski (5)";161;
1609103;"Prószków (3)";61;
1609104;"Prószków - miasto (4)";26;
1609105;"Prószków - obszar wiejski (5)";35;
1609112;"Tarnów Opolski (2)";2804;
1609123;"Tułowice (3)";1430;
1609124;"Tułowice - miasto (4)";805;
1609125;"Tułowice - obszar wiejski (5)";625;
1609132;"Turawa (2)";514;
1610000;"Powiat prudnicki";23253;
1610013;"Biała (3)";8;
1610014;"Biała - miasto (4)";8;
1610023;"Głogówek (3)";4808;
1610024;"Głogówek - miasto (4)";4790;
1610025;"Głogówek - obszar wiejski (5)";18;
1610043;"Prudnik (3)";18437;
1610044;"Prudnik - miasto (4)";18382;
1610045;"Prudnik - obszar wiejski (5)";55;
1611000;"Powiat strzelecki";15790;
1611033;"Kolonowskie (3)";249;
1611034;"Kolonowskie - miasto (4)";19;
1611035;"Kolonowskie - obszar wiejski (5)";230;
1611053;"Strzelce Opolskie (3)";15069;
1611054;"Strzelce Opolskie - miasto (4)";14936;
1611055;"Strzelce Opolskie - obszar wiejski (5)";133;
1611063;"Ujazd (3)";61;
1611064;"Ujazd - miasto (4)";54;
1611065;"Ujazd - obszar wiejski (5)";7;
1611073;"Zawadzkie (3)";411;
1611074;"Zawadzkie - miasto (4)";404;
1611075;"Zawadzkie - obszar wiejski (5)";7;
1661000;"Powiat m.Opole";93447;
1661011;"Opole (1)";93447;
1800000;"PODKARPACKIE";1570825;
1801000;"Powiat bieszczadzki";285;
1801032;"Czarna (2)";109;
1801083;"Ustrzyki Dolne (3)";176;
1801084;"Ustrzyki Dolne - miasto (4)";14;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";162;
1802000;"Powiat brzozowski";51804;
1802013;"Brzozów (3)";24233;
1802014;"Brzozów - miasto (4)";7319;
1802015;"Brzozów - obszar wiejski (5)";16914;
1802022;"Domaradz (2)";3889;
1802032;"Dydnia (2)";5515;
1802042;"Haczów (2)";7600;
1802052;"Jasienica Rosielna (2)";6198;
1802062;"Nozdrzec (2)";4369;
1803000;"Powiat dębicki";117901;
1803011;"Dębica (1)";43703;
1803023;"Brzostek (3)";9790;
1803024;"Brzostek - miasto (4)";2671;
1803025;"Brzostek - obszar wiejski (5)";7119;
1803032;"Czarna (2)";10992;
1803042;"Dębica (2)";23343;
1803052;"Jodłowa (2)";3426;
1803063;"Pilzno (3)";14533;
1803064;"Pilzno - miasto (4)";4228;
1803065;"Pilzno - obszar wiejski (5)";10305;
1803072;"Żyraków (2)";12114;
1804000;"Powiat jarosławski";89810;
1804011;"Jarosław (1)";35881;
1804021;"Radymno (1)";4903;
1804032;"Chłopice (2)";3623;
1804042;"Jarosław (2)";9902;
1804052;"Laszki (2)";2884;
1804062;"Pawłosiów (2)";6737;
1804073;"Pruchnik (3)";6789;
1804074;"Pruchnik - miasto (4)";2816;
1804075;"Pruchnik - obszar wiejski (5)";3973;
1804082;"Radymno (2)";4721;
1804092;"Rokietnica (2)";2462;
1804102;"Roźwienica (2)";4366;
1804112;"Wiązownica (2)";7542;
1805000;"Powiat jasielski";98892;
1805011;"Jasło (1)";34434;
1805022;"Brzyska (2)";5427;
1805032;"Dębowiec (2)";6956;
1805042;"Jasło (2)";14637;
1805053;"Kołaczyce (3)";7650;
1805054;"Kołaczyce - miasto (4)";1429;
1805055;"Kołaczyce - obszar wiejski (5)";6221;
1805072;"Nowy Żmigród (2)";6591;
1805082;"Osiek Jasielski (2)";4663;
1805092;"Skołyszyn (2)";10472;
1805112;"Tarnowiec (2)";8062;
1806000;"Powiat kolbuszowski";39926;
1806012;"Cmolas (2)";4554;
1806023;"Kolbuszowa (3)";18998;
1806024;"Kolbuszowa - miasto (4)";8272;
1806025;"Kolbuszowa - obszar wiejski (5)";10726;
1806032;"Majdan Królewski (2)";6466;
1806042;"Niwiska (2)";4120;
1806052;"Raniżów (2)";3112;
1806062;"Dzikowiec (2)";2676;
1807000;"Powiat krośnieński";99318;
1807012;"Chorkówka (2)";12282;
1807023;"Dukla (3)";10590;
1807024;"Dukla - miasto (4)";1829;
1807025;"Dukla - obszar wiejski (5)";8761;
1807033;"Iwonicz-Zdrój (3)";10029;
1807034;"Iwonicz-Zdrój - miasto (4)";1657;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";8372;
1807043;"Jedlicze (3)";14981;
1807044;"Jedlicze - miasto (4)";5654;
1807045;"Jedlicze - obszar wiejski (5)";9327;
1807052;"Korczyna (2)";9433;
1807062;"Krościenko Wyżne (2)";5384;
1807072;"Miejsce Piastowe (2)";13158;
1807083;"Rymanów (3)";15539;
1807084;"Rymanów - miasto (4)";3598;
1807085;"Rymanów - obszar wiejski (5)";11941;
1807092;"Wojaszówka (2)";7922;
1808000;"Powiat leżajski";43827;
1808011;"Leżajsk (1)";13112;
1808022;"Grodzisko Dolne (2)";3340;
1808032;"Kuryłówka (2)";1110;
1808042;"Leżajsk (2)";12096;
1808053;"Nowa Sarzyna (3)";14169;
1808054;"Nowa Sarzyna - miasto (4)";5485;
1808055;"Nowa Sarzyna - obszar wiejski (5)";8684;
1809000;"Powiat lubaczowski";25326;
1809011;"Lubaczów (1)";10991;
1809023;"Cieszanów (3)";3923;
1809024;"Cieszanów - miasto (4)";1905;
1809025;"Cieszanów - obszar wiejski (5)";2018;
1809032;"Horyniec-Zdrój (2)";87;
1809042;"Lubaczów (2)";2953;
1809053;"Narol (3)";2587;
1809054;"Narol - miasto (4)";1828;
1809055;"Narol - obszar wiejski (5)";759;
1809063;"Oleszyce (3)";3571;
1809064;"Oleszyce - miasto (4)";2097;
1809065;"Oleszyce - obszar wiejski (5)";1474;
1809082;"Wielkie Oczy (2)";1214;
1810000;"Powiat łańcucki";62752;
1810011;"Łańcut (1)";17062;
1810022;"Białobrzegi (2)";6491;
1810032;"Czarna (2)";9047;
1810042;"Łańcut (2)";18339;
1810052;"Markowa (2)";4106;
1810062;"Rakszawa (2)";3772;
1810072;"Żołynia (2)";3935;
1811000;"Powiat mielecki";95864;
1811011;"Mielec (1)";58097;
1811022;"Borowa (2)";102;
1811032;"Czermin (2)";1845;
1811042;"Gawłuszowice (2)";47;
1811052;"Mielec (2)";10687;
1811062;"Padew Narodowa (2)";2887;
1811073;"Przecław (3)";6661;
1811074;"Przecław - miasto (4)";1155;
1811075;"Przecław - obszar wiejski (5)";5506;
1811083;"Radomyśl Wielki (3)";8210;
1811084;"Radomyśl Wielki - miasto (4)";2732;
1811085;"Radomyśl Wielki - obszar wiejski (5)";5478;
1811092;"Tuszów Narodowy (2)";3404;
1811102;"Wadowice Górne (2)";3924;
1812000;"Powiat niżański";34798;
1812012;"Harasiuki (2)";402;
1812032;"Jeżowe (2)";4459;
1812042;"Krzeszów (2)";1935;
1812053;"Nisko (3)";16737;
1812054;"Nisko - miasto (4)";12192;
1812055;"Nisko - obszar wiejski (5)";4545;
1812063;"Rudnik nad Sanem (3)";7536;
1812064;"Rudnik nad Sanem - miasto (4)";5210;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";2326;
1812073;"Ulanów (3)";3729;
1812074;"Ulanów - miasto (4)";1074;
1812075;"Ulanów - obszar wiejski (5)";2655;
1813000;"Powiat przemyski";40046;
1813012;"Bircza (2)";276;
1813022;"Dubiecko (2)";3521;
1813032;"Fredropol (2)";298;
1813042;"Krasiczyn (2)";2890;
1813062;"Medyka (2)";4719;
1813072;"Orły (2)";7015;
1813082;"Przemyśl (2)";7757;
1813092;"Stubno (2)";2171;
1813102;"Żurawica (2)";11399;
1814000;"Powiat przeworski";50822;
1814011;"Przeworsk (1)";13650;
1814022;"Adamówka (2)";14;
1814032;"Gać (2)";3004;
1814042;"Jawornik Polski (2)";2118;
1814053;"Kańczuga (3)";7671;
1814054;"Kańczuga - miasto (4)";2431;
1814055;"Kańczuga - obszar wiejski (5)";5240;
1814062;"Przeworsk (2)";10498;
1814073;"Sieniawa (3)";3854;
1814074;"Sieniawa - miasto (4)";1700;
1814075;"Sieniawa - obszar wiejski (5)";2154;
1814082;"Tryńcza (2)";5120;
1814092;"Zarzecze (2)";4893;
1815000;"Powiat ropczycko-sędziszowski";48570;
1815012;"Iwierzyce (2)";4583;
1815022;"Ostrów (2)";3508;
1815033;"Ropczyce (3)";19928;
1815034;"Ropczyce - miasto (4)";13583;
1815035;"Ropczyce - obszar wiejski (5)";6345;
1815043;"Sędziszów Małopolski (3)";17001;
1815044;"Sędziszów Małopolski - miasto (4)";9640;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";7361;
1815052;"Wielopole Skrzyńskie (2)";3550;
1816000;"Powiat rzeszowski";119717;
1816011;"Dynów (1)";3832;
1816023;"Błażowa (3)";2678;
1816024;"Błażowa - miasto (4)";746;
1816025;"Błażowa - obszar wiejski (5)";1932;
1816033;"Boguchwała (3)";18522;
1816034;"Boguchwała - miasto (4)";6023;
1816035;"Boguchwała - obszar wiejski (5)";12499;
1816042;"Chmielnik (2)";4433;
1816052;"Dynów (2)";3825;
1816063;"Głogów Małopolski (3)";14814;
1816064;"Głogów Małopolski - miasto (4)";8538;
1816065;"Głogów Małopolski - obszar wiejski (5)";6276;
1816072;"Hyżne (2)";4165;
1816082;"Kamień (2)";3523;
1816092;"Krasne (2)";11246;
1816102;"Lubenia (2)";2758;
1816113;"Sokołów Małopolski (3)";9485;
1816114;"Sokołów Małopolski - miasto (4)";3632;
1816115;"Sokołów Małopolski - obszar wiejski (5)";5853;
1816122;"Świlcza (2)";14100;
1816132;"Trzebownisko (2)";19265;
1816143;"Tyczyn (3)";7071;
1816144;"Tyczyn - miasto (4)";3500;
1816145;"Tyczyn - obszar wiejski (5)";3571;
1817000;"Powiat sanocki";75523;
1817011;"Sanok (1)";35772;
1817022;"Besko (2)";4088;
1817032;"Bukowsko (2)";3803;
1817052;"Sanok (2)";14972;
1817062;"Tyrawa Wołoska (2)";904;
1817073;"Zagórz (3)";8414;
1817074;"Zagórz - miasto (4)";3794;
1817075;"Zagórz - obszar wiejski (5)";4620;
1817082;"Zarszyn (2)";7570;
1818000;"Powiat stalowowolski";80780;
1818011;"Stalowa Wola (1)";56027;
1818022;"Bojanów (2)";3550;
1818032;"Pysznica (2)";7122;
1818042;"Radomyśl nad Sanem (2)";3367;
1818053;"Zaklików (3)";3107;
1818054;"Zaklików - miasto (4)";1383;
1818055;"Zaklików - obszar wiejski (5)";1724;
1818062;"Zaleszany (2)";7607;
1819000;"Powiat strzyżowski";44856;
1819012;"Czudec (2)";7636;
1819022;"Frysztak (2)";7964;
1819032;"Niebylec (2)";6402;
1819043;"Strzyżów (3)";16603;
1819044;"Strzyżów - miasto (4)";8538;
1819045;"Strzyżów - obszar wiejski (5)";8065;
1819052;"Wiśniowa (2)";6251;
1820000;"Powiat tarnobrzeski";40845;
1820013;"Baranów Sandomierski (3)";9578;
1820014;"Baranów Sandomierski - miasto (4)";888;
1820015;"Baranów Sandomierski - obszar wiejski (5)";8690;
1820022;"Gorzyce (2)";11163;
1820032;"Grębów (2)";5105;
1820043;"Nowa Dęba (3)";14999;
1820044;"Nowa Dęba - miasto (4)";10408;
1820045;"Nowa Dęba - obszar wiejski (5)";4591;
1821000;"Powiat leski";6636;
1821012;"Baligród (2)";166;
1821033;"Lesko (3)";5698;
1821034;"Lesko - miasto (4)";2570;
1821035;"Lesko - obszar wiejski (5)";3128;
1821042;"Olszanica (2)";113;
1821052;"Solina (2)";659;
1861000;"Powiat m.Krosno";43324;
1861011;"Krosno (1)";43324;
1862000;"Powiat m.Przemyśl";43330;
1862011;"Przemyśl (1)";43330;
1863000;"Powiat m.Rzeszów";172599;
1863011;"Rzeszów (1)";172599;
1864000;"Powiat m.Tarnobrzeg";43274;
1864011;"Tarnobrzeg (1)";43274;
2000000;"PODLASKIE";350882;
2001000;"Powiat augustowski";150;
2001011;"Augustów (1)";144;
2001022;"Augustów (2)";4;
2001062;"Płaska (2)";2;
2002000;"Powiat białostocki";37633;
2002013;"Choroszcz (3)";2611;
2002014;"Choroszcz - miasto (4)";581;
2002015;"Choroszcz - obszar wiejski (5)";2030;
2002023;"Czarna Białostocka (3)";11;
2002024;"Czarna Białostocka - miasto (4)";11;
2002032;"Dobrzyniewo Duże (2)";2619;
2002052;"Juchnowiec Kościelny (2)";10335;
2002063;"Łapy (3)";1759;
2002064;"Łapy - miasto (4)";1759;
2002082;"Poświętne (2)";893;
2002093;"Supraśl (3)";8309;
2002094;"Supraśl - miasto (4)";2162;
2002095;"Supraśl - obszar wiejski (5)";6147;
2002112;"Turośń Kościelna (2)";1849;
2002133;"Wasilków (3)";8209;
2002134;"Wasilków - miasto (4)";5988;
2002135;"Wasilków - obszar wiejski (5)";2221;
2002143;"Zabłudów (3)";1038;
2002144;"Zabłudów - miasto (4)";753;
2002145;"Zabłudów - obszar wiejski (5)";285;
2003000;"Powiat bielski";128;
2003011;"Bielsk Podlaski (1)";19;
2003032;"Bielsk Podlaski (2)";8;
2003062;"Orla (2)";1;
2003082;"Wyszki (2)";100;
2004000;"Powiat grajewski";68;
2004011;"Grajewo (1)";51;
2004022;"Grajewo (2)";14;
2004053;"Szczuczyn (3)";3;
2004054;"Szczuczyn - miasto (4)";3;
2005000;"Powiat hajnowski";58;
2005022;"Białowieża (2)";23;
2005092;"Narewka (2)";35;
2007000;"Powiat łomżyński";1109;
2007022;"Łomża (2)";413;
2007052;"Piątnica (2)";693;
2007082;"Wizna (2)";3;
2008000;"Powiat moniecki";189;
2008013;"Goniądz (3)";3;
2008015;"Goniądz - obszar wiejski (5)";3;
2008052;"Krypno (2)";3;
