"Kod";"Nazwa";"ogółem;ogółem;2020;[osoba]";"w wieku produkcyjnym;ogółem;2020;[osoba]";
0608105;"Ostrów Lubelski - obszar wiejski (5)";3137;1854;
0608112;"Ostrówek (2)";3794;2206;
0608122;"Serniki (2)";4923;3052;
0608132;"Uścimów (2)";3120;1880;
0609000;"Powiat lubelski";156493;95310;
0609013;"Bełżyce (3)";13167;7984;
0609014;"Bełżyce - miasto (4)";6399;3854;
0609015;"Bełżyce - obszar wiejski (5)";6768;4130;
0609022;"Borzechów (2)";3777;2261;
0609033;"Bychawa (3)";11532;6910;
0609034;"Bychawa - miasto (4)";4814;2855;
0609035;"Bychawa - obszar wiejski (5)";6718;4055;
0609042;"Garbów (2)";9048;5563;
0609052;"Głusk (2)";11981;7282;
0609062;"Jabłonna (2)";8107;4969;
0609072;"Jastków (2)";14351;8828;
0609082;"Konopnica (2)";14267;8715;
0609092;"Krzczonów (2)";4293;2497;
0609102;"Niedrzwica Duża (2)";11893;7284;
0609112;"Niemce (2)";20042;12409;
0609122;"Strzyżewice (2)";8127;4838;
0609132;"Wojciechów (2)";5957;3533;
0609142;"Wólka (2)";12746;8045;
0609152;"Wysokie (2)";4353;2511;
0609162;"Zakrzew (2)";2852;1681;
0610000;"Powiat łęczyński";57218;35305;
0610012;"Cyców (2)";7879;4807;
0610022;"Ludwin (2)";5655;3486;
0610033;"Łęczna (3)";23128;14640;
0610034;"Łęczna - miasto (4)";18675;11860;
0610035;"Łęczna - obszar wiejski (5)";4453;2780;
0610042;"Milejów (2)";9029;5363;
0610052;"Puchaczów (2)";5704;3481;
0610062;"Spiczyn (2)";5823;3528;
0611000;"Powiat łukowski";106213;63096;
0611011;"Łuków (1)";29441;16802;
0611021;"Stoczek Łukowski (1)";2480;1430;
0611032;"Adamów (2)";5511;3316;
0611042;"Krzywda (2)";10412;6249;
0611052;"Łuków (2)";18293;11245;
0611062;"Serokomla (2)";3914;2361;
0611072;"Stanin (2)";9686;5859;
0611082;"Stoczek Łukowski (2)";7744;4684;
0611092;"Trzebieszów (2)";7320;4432;
0611102;"Wojcieszków (2)";6828;4029;
0611112;"Wola Mysłowska (2)";4584;2689;
0612000;"Powiat opolski";58706;35088;
0612012;"Chodel (2)";6536;3922;
0612023;"Józefów nad Wisłą (3)";6466;3794;
0612024;"Józefów nad Wisłą - miasto (4)";902;527;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";5564;3267;
0612032;"Karczmiska (2)";5487;3335;
0612042;"Łaziska (2)";4862;2942;
0612053;"Opole Lubelskie (3)";16980;10288;
0612054;"Opole Lubelskie - miasto (4)";8320;4957;
0612055;"Opole Lubelskie - obszar wiejski (5)";8660;5331;
0612063;"Poniatowa (3)";14008;8144;
0612064;"Poniatowa - miasto (4)";8980;5128;
0612065;"Poniatowa - obszar wiejski (5)";5028;3016;
0612072;"Wilków (2)";4367;2663;
0613000;"Powiat parczewski";34372;20388;
0613012;"Dębowa Kłoda (2)";3880;2319;
0613022;"Jabłoń (2)";3828;2252;
0613032;"Milanów (2)";3723;2260;
0613043;"Parczew (3)";14329;8413;
0613044;"Parczew - miasto (4)";10555;6093;
0613045;"Parczew - obszar wiejski (5)";3774;2320;
0613052;"Podedwórze (2)";1593;943;
0613062;"Siemień (2)";4451;2692;
0613072;"Sosnowica (2)";2568;1509;
0614000;"Powiat puławski";112384;65056;
0614011;"Puławy (1)";46965;26017;
0614022;"Baranów (2)";3830;2305;
0614032;"Janowiec (2)";3666;2186;
0614043;"Kazimierz Dolny (3)";6630;3943;
0614044;"Kazimierz Dolny - miasto (4)";2534;1508;
0614045;"Kazimierz Dolny - obszar wiejski (5)";4096;2435;
0614052;"Końskowola (2)";8719;5238;
0614062;"Kurów (2)";7608;4552;
0614072;"Markuszów (2)";2943;1758;
0614083;"Nałęczów (3)";8881;5106;
0614084;"Nałęczów - miasto (4)";3727;1970;
0614085;"Nałęczów - obszar wiejski (5)";5154;3136;
0614092;"Puławy (2)";12162;7411;
0614102;"Wąwolnica (2)";4569;2735;
0614112;"Żyrzyn (2)";6411;3805;
0615000;"Powiat radzyński";58298;35106;
0615011;"Radzyń Podlaski (1)";15428;9049;
0615022;"Borki (2)";5961;3621;
0615032;"Czemierniki (2)";4265;2572;
0615042;"Kąkolewnica (2)";7967;4844;
0615052;"Komarówka Podlaska (2)";4133;2471;
0615062;"Radzyń Podlaski (2)";8081;5037;
0615072;"Ulan-Majorat (2)";5962;3677;
0615082;"Wohyń (2)";6501;3835;
0616000;"Powiat rycki";55530;32607;
0616011;"Dęblin (1)";15887;9310;
0616022;"Kłoczew (2)";7125;4166;
0616032;"Nowodwór (2)";4054;2456;
0616043;"Ryki (3)";20214;11898;
0616044;"Ryki - miasto (4)";9531;5437;
0616045;"Ryki - obszar wiejski (5)";10683;6461;
0616052;"Stężyca (2)";5105;2983;
0616062;"Ułęż (2)";3145;1794;
0617000;"Powiat świdnicki";71432;41706;
0617011;"Świdnik (1)";38763;21969;
0617022;"Mełgiew (2)";10022;6137;
0617033;"Piaski (3)";10467;6269;
0617034;"Piaski - miasto (4)";2531;1502;
0617035;"Piaski - obszar wiejski (5)";7936;4767;
0617042;"Rybczewice (2)";3347;1958;
0617052;"Trawniki (2)";8833;5373;
0618000;"Powiat tomaszowski";81944;49774;
0618011;"Tomaszów Lubelski (1)";18783;10962;
0618022;"Bełżec (2)";3300;2038;
0618032;"Jarczów (2)";3333;2006;
0618042;"Krynice (2)";3204;1882;
0618053;"Lubycza Królewska (3)";6102;3850;
0618054;"Lubycza Królewska - miasto (4)";2424;1501;
0618055;"Lubycza Królewska - obszar wiejski (5)";3678;2349;
0618063;"Łaszczów (3)";5915;3519;
0618064;"Łaszczów - miasto (4)";2111;1256;
0618065;"Łaszczów - obszar wiejski (5)";3804;2263;
0618072;"Rachanie (2)";5000;2996;
0618082;"Susiec (2)";7384;4553;
0618092;"Tarnawatka (2)";3885;2408;
0618102;"Telatyn (2)";3854;2329;
0618112;"Tomaszów Lubelski (2)";11292;7152;
0618123;"Tyszowce (3)";5437;3251;
0618124;"Tyszowce - miasto (4)";2054;1280;
0618125;"Tyszowce - obszar wiejski (5)";3383;1971;
0618132;"Ulhówek (2)";4455;2828;
0619000;"Powiat włodawski";37989;22664;
0619011;"Włodawa (1)";12915;7403;
0619022;"Hanna (2)";2791;1711;
0619032;"Hańsk (2)";3680;2263;
0619042;"Stary Brus (2)";2070;1224;
0619052;"Urszulin (2)";4164;2516;
0619062;"Włodawa (2)";6023;3639;
0619072;"Wola Uhruska (2)";3817;2363;
0619082;"Wyryki (2)";2529;1545;
0620000;"Powiat zamojski";105354;64485;
0620012;"Adamów (2)";4597;2795;
0620022;"Grabowiec (2)";3835;2197;
0620032;"Komarów-Osada (2)";4880;2925;
0620043;"Krasnobród (3)";7022;4308;
0620044;"Krasnobród - miasto (4)";3074;1859;
0620045;"Krasnobród - obszar wiejski (5)";3948;2449;
0620052;"Łabunie (2)";6190;3918;
0620062;"Miączyn (2)";5667;3534;
0620072;"Nielisz (2)";5387;3221;
0620082;"Radecznica (2)";5532;3227;
0620092;"Sitno (2)";6719;4133;
0620102;"Skierbieszów (2)";5086;3025;
0620112;"Stary Zamość (2)";5144;3127;
0620122;"Sułów (2)";4401;2594;
0620133;"Szczebrzeszyn (3)";11083;6807;
0620134;"Szczebrzeszyn - miasto (4)";4962;3021;
0620135;"Szczebrzeszyn - obszar wiejski (5)";6121;3786;
0620142;"Zamość (2)";23212;14735;
0620153;"Zwierzyniec (3)";6599;3939;
0620154;"Zwierzyniec - miasto (4)";3101;1846;
0620155;"Zwierzyniec - obszar wiejski (5)";3498;2093;
0661000;"Powiat m.Biała Podlaska";56942;34094;
0661011;"Biała Podlaska (1)";56942;34094;
0662000;"Powiat m.Chełm";61135;35989;
0662011;"Chełm (1)";61135;35989;
0663000;"Powiat m.Lublin";338586;196342;
0663011;"Lublin (1)";338586;196342;
0664000;"Powiat m.Zamość";62785;36885;
0664011;"Zamość (1)";62785;36885;
0800000;"LUBUSKIE";1007145;602205;
0801000;"Powiat gorzowski";72291;44846;
0801011;"Kostrzyn nad Odrą (1)";17704;10661;
0801022;"Bogdaniec (2)";7122;4329;
0801032;"Deszczno (2)";10140;6371;
0801042;"Kłodawa (2)";8769;5550;
0801052;"Lubiszyn (2)";6924;4372;
0801062;"Santok (2)";8854;5546;
0801073;"Witnica (3)";12778;8017;
0801074;"Witnica - miasto (4)";6666;4105;
0801075;"Witnica - obszar wiejski (5)";6112;3912;
0802000;"Powiat krośnieński";54598;33170;
0802011;"Gubin (1)";16528;9960;
0802022;"Bobrowice (2)";3161;1915;
0802032;"Bytnica (2)";2494;1518;
0802042;"Dąbie (2)";4923;3118;
0802052;"Gubin (2)";7116;4599;
0802063;"Krosno Odrzańskie (3)";17589;10350;
0802064;"Krosno Odrzańskie - miasto (4)";11155;6373;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";6434;3977;
0802072;"Maszewo (2)";2787;1710;
0803000;"Powiat międzyrzecki";57100;34431;
0803012;"Bledzew (2)";4281;2632;
0803023;"Międzyrzecz (3)";24657;14689;
0803024;"Międzyrzecz - miasto (4)";17667;10323;
0803025;"Międzyrzecz - obszar wiejski (5)";6990;4366;
0803032;"Przytoczna (2)";5562;3383;
0803042;"Pszczew (2)";4287;2608;
0803053;"Skwierzyna (3)";11948;7192;
0803054;"Skwierzyna - miasto (4)";9454;5654;
0803055;"Skwierzyna - obszar wiejski (5)";2494;1538;
0803063;"Trzciel (3)";6365;3927;
0803064;"Trzciel - miasto (4)";2339;1386;
0803065;"Trzciel - obszar wiejski (5)";4026;2541;
0804000;"Powiat nowosolski";85733;50566;
0804011;"Nowa Sól (1)";38191;21674;
0804023;"Bytom Odrzański (3)";5376;3237;
0804024;"Bytom Odrzański - miasto (4)";4244;2557;
0804025;"Bytom Odrzański - obszar wiejski (5)";1132;680;
0804032;"Kolsko (2)";3307;1975;
0804043;"Kożuchów (3)";15901;9527;
0804044;"Kożuchów - miasto (4)";9337;5459;
0804045;"Kożuchów - obszar wiejski (5)";6564;4068;
0804052;"Nowa Sól (2)";6992;4245;
0804063;"Nowe Miasteczko (3)";5333;3273;
0804064;"Nowe Miasteczko - miasto (4)";2724;1634;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2609;1639;
0804073;"Otyń (3)";7079;4459;
0804074;"Otyń - miasto (4)";1641;1040;
0804075;"Otyń - obszar wiejski (5)";5438;3419;
0804082;"Siedlisko (2)";3554;2176;
0805000;"Powiat słubicki";46944;29078;
0805013;"Cybinka (3)";6474;4009;
0805014;"Cybinka - miasto (4)";2768;1706;
0805015;"Cybinka - obszar wiejski (5)";3706;2303;
0805022;"Górzyca (2)";4289;2755;
0805033;"Ośno Lubuskie (3)";6358;3951;
0805034;"Ośno Lubuskie - miasto (4)";3896;2414;
0805035;"Ośno Lubuskie - obszar wiejski (5)";2462;1537;
0805043;"Rzepin (3)";9678;5940;
0805044;"Rzepin - miasto (4)";6485;3993;
0805045;"Rzepin - obszar wiejski (5)";3193;1947;
0805053;"Słubice (3)";20145;12423;
0805054;"Słubice - miasto (4)";16623;10173;
0805055;"Słubice - obszar wiejski (5)";3522;2250;
0806000;"Powiat strzelecko-drezdenecki";48621;29125;
0806013;"Dobiegniew (3)";6462;3906;
0806014;"Dobiegniew - miasto (4)";3017;1769;
0806015;"Dobiegniew - obszar wiejski (5)";3445;2137;
0806023;"Drezdenko (3)";17009;10067;
0806024;"Drezdenko - miasto (4)";9978;5715;
0806025;"Drezdenko - obszar wiejski (5)";7031;4352;
0806032;"Stare Kurowo (2)";4034;2455;
0806043;"Strzelce Krajeńskie (3)";16809;9996;
0806044;"Strzelce Krajeńskie - miasto (4)";9833;5722;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";6976;4274;
0806052;"Zwierzyn (2)";4307;2701;
0807000;"Powiat sulęciński";35000;21308;
0807012;"Krzeszyce (2)";4711;2957;
0807023;"Lubniewice (3)";3148;1923;
0807024;"Lubniewice - miasto (4)";2080;1250;
0807025;"Lubniewice - obszar wiejski (5)";1068;673;
0807032;"Słońsk (2)";4774;3004;
0807043;"Sulęcin (3)";15633;9277;
0807044;"Sulęcin - miasto (4)";10005;5835;
0807045;"Sulęcin - obszar wiejski (5)";5628;3442;
0807053;"Torzym (3)";6734;4147;
0807054;"Torzym - miasto (4)";2520;1514;
0807055;"Torzym - obszar wiejski (5)";4214;2633;
0808000;"Powiat świebodziński";55520;33384;
0808012;"Lubrza (2)";3602;2263;
0808022;"Łagów (2)";4907;3059;
0808032;"Skąpe (2)";5056;3175;
0808042;"Szczaniec (2)";3845;2377;
0808053;"Świebodzin (3)";29837;17608;
0808054;"Świebodzin - miasto (4)";21550;12450;
0808055;"Świebodzin - obszar wiejski (5)";8287;5158;
0808063;"Zbąszynek (3)";8273;4902;
0808064;"Zbąszynek - miasto (4)";4997;2946;
0808065;"Zbąszynek - obszar wiejski (5)";3276;1956;
0809000;"Powiat zielonogórski";75673;46195;
0809013;"Babimost (3)";6177;3716;
0809014;"Babimost - miasto (4)";3901;2337;
0809015;"Babimost - obszar wiejski (5)";2276;1379;
0809022;"Bojadła (2)";3282;1998;
0809033;"Czerwieńsk (3)";10041;6173;
0809034;"Czerwieńsk - miasto (4)";3947;2391;
0809035;"Czerwieńsk - obszar wiejski (5)";6094;3782;
0809043;"Kargowa (3)";5815;3567;
0809044;"Kargowa - miasto (4)";3774;2316;
0809045;"Kargowa - obszar wiejski (5)";2041;1251;
0809053;"Nowogród Bobrzański (3)";9381;5781;
0809054;"Nowogród Bobrzański - miasto (4)";5060;3001;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4321;2780;
0809063;"Sulechów (3)";26540;15999;
0809064;"Sulechów - miasto (4)";16592;9871;
0809065;"Sulechów - obszar wiejski (5)";9948;6128;
0809072;"Świdnica (2)";6685;4133;
0809082;"Trzebiechów (2)";3343;2023;
0809092;"Zabór (2)";4409;2805;
0810000;"Powiat żagański";78148;47180;
0810011;"Gozdnica (1)";2977;1824;
0810021;"Żagań (1)";25265;14815;
0810032;"Brzeźnica (2)";3721;2299;
0810043;"Iłowa (3)";6777;4134;
0810044;"Iłowa - miasto (4)";3844;2326;
0810045;"Iłowa - obszar wiejski (5)";2933;1808;
0810053;"Małomice (3)";5165;3189;
0810054;"Małomice - miasto (4)";3496;2162;
0810055;"Małomice - obszar wiejski (5)";1669;1027;
0810062;"Niegosławice (2)";4341;2639;
0810073;"Szprotawa (3)";20367;12266;
0810074;"Szprotawa - miasto (4)";11530;6723;
0810075;"Szprotawa - obszar wiejski (5)";8837;5543;
0810082;"Wymiarki (2)";2218;1404;
0810092;"Żagań (2)";7317;4610;
0811000;"Powiat żarski";95423;57720;
0811011;"Łęknica (1)";2396;1501;
0811021;"Żary (1)";37052;21617;
0811032;"Brody (2)";3364;2084;
0811043;"Jasień (3)";6962;4294;
0811044;"Jasień - miasto (4)";4215;2553;
0811045;"Jasień - obszar wiejski (5)";2747;1741;
0811052;"Lipinki Łużyckie (2)";3345;2045;
0811063;"Lubsko (3)";18254;10974;
0811064;"Lubsko - miasto (4)";13733;8135;
0811065;"Lubsko - obszar wiejski (5)";4521;2839;
0811072;"Przewóz (2)";3107;1987;
0811082;"Trzebiel (2)";5640;3512;
0811092;"Tuplice (2)";3022;1863;
0811102;"Żary (2)";12281;7843;
0812000;"Powiat wschowski";38613;23295;
0812013;"Sława (3)";12639;7519;
0812014;"Sława - miasto (4)";4268;2421;
0812015;"Sława - obszar wiejski (5)";8371;5098;
0812023;"Szlichtyngowa (3)";5019;3139;
0812024;"Szlichtyngowa - miasto (4)";1266;776;
0812025;"Szlichtyngowa - obszar wiejski (5)";3753;2363;
0812033;"Wschowa (3)";20955;12637;
0812034;"Wschowa - miasto (4)";13717;8172;
0812035;"Wschowa - obszar wiejski (5)";7238;4465;
0861000;"Powiat m.Gorzów Wielkopolski";122589;70454;
0861011;"Gorzów Wielkopolski (1)";122589;70454;
0862000;"Powiat m.Zielona Góra";140892;81453;
0862011;"Zielona Góra (1)";140892;81453;
1000000;"ŁÓDZKIE";2437970;1420323;
1001000;"Powiat bełchatowski";112443;68039;
1001011;"Bełchatów (1)";56419;34007;
1001022;"Bełchatów (2)";11838;7316;
1001032;"Drużbice (2)";5220;3133;
1001042;"Kleszczów (2)";6418;3945;
1001052;"Kluki (2)";4418;2728;
1001062;"Rusiec (2)";5045;3002;
1001072;"Szczerców (2)";8209;5095;
1001083;"Zelów (3)";14876;8813;
1001084;"Zelów - miasto (4)";7459;4394;
1001085;"Zelów - obszar wiejski (5)";7417;4419;
1002000;"Powiat kutnowski";95516;56184;
1002011;"Kutno (1)";43332;24529;
1002022;"Bedlno (2)";5263;3220;
1002032;"Dąbrowice (2)";1897;1142;
1002043;"Krośniewice (3)";8239;4914;
1002044;"Krośniewice - miasto (4)";4258;2536;
1002045;"Krośniewice - obszar wiejski (5)";3981;2378;
1002052;"Krzyżanów (2)";4202;2625;
1002062;"Kutno (2)";8753;5500;
1002072;"Łanięta (2)";2425;1506;
1002082;"Nowe Ostrowy (2)";3398;2108;
1002092;"Oporów (2)";2487;1492;
1002102;"Strzelce (2)";3892;2395;
1002113;"Żychlin (3)";11628;6753;
1002114;"Żychlin - miasto (4)";7964;4559;
1002115;"Żychlin - obszar wiejski (5)";3664;2194;
1003000;"Powiat łaski";49736;29821;
1003012;"Buczek (2)";5095;3108;
1003023;"Łask (3)";27530;16419;
1003024;"Łask - miasto (4)";16925;9845;
1003025;"Łask - obszar wiejski (5)";10605;6574;
1003032;"Sędziejowice (2)";6343;3806;
1003042;"Widawa (2)";7272;4356;
1003052;"Wodzierady (2)";3496;2132;
1004000;"Powiat łęczycki";49286;29233;
1004011;"Łęczyca (1)";13786;7880;
1004022;"Daszyna (2)";3827;2235;
1004032;"Góra Świętej Małgorzaty (2)";4336;2545;
1004042;"Grabów (2)";5829;3449;
1004052;"Łęczyca (2)";8535;5278;
1004063;"Piątek (3)";5892;3504;
1004064;"Piątek - miasto (4)";1690;999;
1004065;"Piątek - obszar wiejski (5)";4202;2505;
1004072;"Świnice Warckie (2)";3880;2392;
1004082;"Witonia (2)";3201;1950;
1005000;"Powiat łowicki";77614;45775;
1005011;"Łowicz (1)";27896;15928;
1005022;"Bielawy (2)";5267;3120;
1005032;"Chąśno (2)";2912;1778;
1005042;"Domaniewice (2)";4653;2749;
1005052;"Kiernozia (2)";3339;1986;
1005062;"Kocierzew Południowy (2)";4179;2500;
1005072;"Łowicz (2)";7708;4830;
1005082;"Łyszkowice (2)";6631;4042;
1005092;"Nieborów (2)";9357;5595;
1005102;"Zduny (2)";5672;3247;
1006000;"Powiat łódzki wschodni";72565;43269;
1006022;"Andrespol (2)";14307;8417;
1006032;"Brójce (2)";6761;4172;
1006073;"Koluszki (3)";23293;13672;
1006074;"Koluszki - miasto (4)";12776;7449;
1006075;"Koluszki - obszar wiejski (5)";10517;6223;
1006082;"Nowosolna (2)";5159;3176;
1006103;"Rzgów (3)";10592;6319;
1006104;"Rzgów - miasto (4)";3382;2044;
1006105;"Rzgów - obszar wiejski (5)";7210;4275;
1006113;"Tuszyn (3)";12453;7513;
1006114;"Tuszyn - miasto (4)";7237;4409;
1006115;"Tuszyn - obszar wiejski (5)";5216;3104;
1007000;"Powiat opoczyński";75524;45059;
1007012;"Białaczów (2)";5723;3482;
1007023;"Drzewica (3)";10384;6041;
1007024;"Drzewica - miasto (4)";3803;2204;
1007025;"Drzewica - obszar wiejski (5)";6581;3837;
1007032;"Mniszków (2)";4750;2821;
1007043;"Opoczno (3)";33777;20306;
1007044;"Opoczno - miasto (4)";20746;12488;
1007045;"Opoczno - obszar wiejski (5)";13031;7818;
1007052;"Paradyż (2)";4327;2603;
1007062;"Poświętne (2)";3101;1798;
1007072;"Sławno (2)";7645;4530;
1007082;"Żarnów (2)";5817;3478;
1008000;"Powiat pabianicki";118941;69197;
1008011;"Konstantynów Łódzki (1)";18335;10650;
1008021;"Pabianice (1)";63945;36597;
1008032;"Dłutów (2)";4692;2782;
1008042;"Dobroń (2)";7802;4755;
1008052;"Ksawerów (2)";7661;4461;
1008062;"Lutomiersk (2)";8736;5226;
1008072;"Pabianice (2)";7770;4726;
1009000;"Powiat pajęczański";50952;30929;
1009013;"Działoszyn (3)";12346;7601;
1009014;"Działoszyn - miasto (4)";5746;3518;
1009015;"Działoszyn - obszar wiejski (5)";6600;4083;
1009022;"Kiełczygłów (2)";3950;2400;
1009032;"Nowa Brzeźnica (2)";4535;2769;
1009043;"Pajęczno (3)";11491;6841;
1009044;"Pajęczno - miasto (4)";6651;3833;
1009045;"Pajęczno - obszar wiejski (5)";4840;3008;
1009052;"Rząśnia (2)";4924;3052;
1009062;"Siemkowice (2)";4745;2856;
1009072;"Strzelce Wielkie (2)";4540;2807;
1009082;"Sulmierzyce (2)";4421;2603;
1010000;"Powiat piotrkowski";91208;54554;
1010012;"Aleksandrów (2)";4279;2487;
1010022;"Czarnocin (2)";4141;2451;
1010032;"Gorzkowice (2)";8462;5095;
1010042;"Grabica (2)";6077;3627;
1010052;"Łęki Szlacheckie (2)";3405;2063;
1010062;"Moszczenica (2)";12917;7818;
1010072;"Ręczno (2)";3492;2027;
1010082;"Rozprza (2)";12310;7340;
1010093;"Sulejów (3)";16308;9891;
1010094;"Sulejów - miasto (4)";6130;3686;
1010095;"Sulejów - obszar wiejski (5)";10178;6205;
1010102;"Wola Krzysztoporska (2)";11981;7179;
1010113;"Wolbórz (3)";7836;4576;
1010114;"Wolbórz - miasto (4)";2301;1288;
1010115;"Wolbórz - obszar wiejski (5)";5535;3288;
1011000;"Powiat poddębicki";40906;24377;
1011012;"Dalików (2)";3920;2324;
1011022;"Pęczniew (2)";3484;2065;
1011033;"Poddębice (3)";15371;9189;
1011034;"Poddębice - miasto (4)";7245;4266;
1011035;"Poddębice - obszar wiejski (5)";8126;4923;
1011043;"Uniejów (3)";6956;4094;
1011044;"Uniejów - miasto (4)";2957;1771;
1011045;"Uniejów - obszar wiejski (5)";3999;2323;
1011052;"Wartkowice (2)";6239;3811;
1011062;"Zadzim (2)";4936;2894;
1012000;"Powiat radomszczański";111696;66753;
1012011;"Radomsko (1)";45353;26459;
1012022;"Dobryszyce (2)";4463;2782;
1012032;"Gidle (2)";5964;3628;
1012042;"Gomunice (2)";5848;3533;
1012053;"Kamieńsk (3)";5839;3607;
1012054;"Kamieńsk - miasto (4)";2703;1679;
1012055;"Kamieńsk - obszar wiejski (5)";3136;1928;
1012062;"Kobiele Wielkie (2)";4388;2681;
1012072;"Kodrąb (2)";4486;2691;
1012082;"Lgota Wielka (2)";4262;2644;
1012092;"Ładzice (2)";4766;2875;
1012102;"Masłowice (2)";4139;2407;
1012113;"Przedbórz (3)";7052;4302;
1012114;"Przedbórz - miasto (4)";3458;2113;
1012115;"Przedbórz - obszar wiejski (5)";3594;2189;
1012122;"Radomsko (2)";5546;3428;
1012132;"Wielgomłyny (2)";4510;2739;
1012142;"Żytno (2)";5080;2977;
1013000;"Powiat rawski";48385;28440;
1013011;"Rawa Mazowiecka (1)";17193;9695;
1013023;"Biała Rawska (3)";11239;6706;
1013024;"Biała Rawska - miasto (4)";3132;1841;
1013025;"Biała Rawska - obszar wiejski (5)";8107;4865;
1013032;"Cielądz (2)";3950;2383;
1013042;"Rawa Mazowiecka (2)";8793;5374;
1013052;"Regnów (2)";1819;1120;
1013062;"Sadkowice (2)";5391;3162;
1014000;"Powiat sieradzki";116918;70178;
1014011;"Sieradz (1)";41390;24413;
1014023;"Błaszki (3)";14373;8768;
1014024;"Błaszki - miasto (4)";2047;1171;
1014025;"Błaszki - obszar wiejski (5)";12326;7597;
1014032;"Brąszewice (2)";4466;2780;
1014042;"Brzeźnio (2)";6379;3866;
1014052;"Burzenin (2)";5498;3287;
1014062;"Goszczanów (2)";5419;3239;
1014072;"Klonowa (2)";2888;1721;
1014082;"Sieradz (2)";10801;6652;
1014093;"Warta (3)";12510;7492;
1014094;"Warta - miasto (4)";3208;1900;
1014095;"Warta - obszar wiejski (5)";9302;5592;
1014102;"Wróblew (2)";6063;3644;
1014113;"Złoczew (3)";7131;4316;
1014114;"Złoczew - miasto (4)";3340;1997;
1014115;"Złoczew - obszar wiejski (5)";3791;2319;
1015000;"Powiat skierniewicki";38173;22747;
1015012;"Bolimów (2)";4026;2354;
1015022;"Głuchów (2)";5701;3381;
1015032;"Godzianów (2)";2665;1580;
1015042;"Kowiesy (2)";2880;1709;
1015052;"Lipce Reymontowskie (2)";3279;1906;
1015062;"Maków (2)";6005;3627;
1015072;"Nowy Kawęczyn (2)";3373;2062;
1015082;"Skierniewice (2)";7635;4589;
1015092;"Słupia (2)";2609;1539;
1016000;"Powiat tomaszowski";115735;67371;
1016011;"Tomaszów Mazowiecki (1)";61338;34830;
1016022;"Będków (2)";3253;1969;
1016032;"Budziszewice (2)";2161;1302;
1016042;"Czerniewice (2)";5020;3044;
1016052;"Inowłódz (2)";3819;2266;
1016062;"Lubochnia (2)";7123;4248;
1016072;"Rokiciny (2)";6153;3581;
1016082;"Rzeczyca (2)";4609;2784;
1016092;"Tomaszów Mazowiecki (2)";11251;6899;
1016102;"Ujazd (2)";7706;4569;
1016112;"Żelechlinek (2)";3302;1879;
1017000;"Powiat wieluński";75736;45228;
1017012;"Biała (2)";5396;3280;
1017022;"Czarnożyły (2)";4489;2704;
1017032;"Konopnica (2)";3759;2197;
1017042;"Mokrsko (2)";5359;3222;
1017052;"Osjaków (2)";4740;2815;
1017062;"Ostrówek (2)";4473;2722;
1017072;"Pątnów (2)";6512;3973;
1017082;"Skomlin (2)";3267;1995;
1017093;"Wieluń (3)";31137;18260;
1017094;"Wieluń - miasto (4)";21892;12602;
1017095;"Wieluń - obszar wiejski (5)";9245;5658;
1017102;"Wierzchlas (2)";6604;4060;
1018000;"Powiat wieruszowski";41984;25505;
1018012;"Bolesławiec (2)";4075;2482;
1018022;"Czastary (2)";4000;2437;
1018032;"Galewice (2)";6096;3797;
1018043;"Lututów (3)";4559;2729;
1018044;"Lututów - miasto (4)";2241;1337;
1018045;"Lututów - obszar wiejski (5)";2318;1392;
1018052;"Łubnice (2)";4015;2482;
1018062;"Sokolniki (2)";5055;3089;
1018073;"Wieruszów (3)";14184;8489;
1018074;"Wieruszów - miasto (4)";8446;4924;
1018075;"Wieruszów - obszar wiejski (5)";5738;3565;
1019000;"Powiat zduńskowolski";66064;39237;
1019011;"Zduńska Wola (1)";41288;23975;
1019023;"Szadek (3)";7287;4368;
1019024;"Szadek - miasto (4)";1898;1143;
1019025;"Szadek - obszar wiejski (5)";5389;3225;
1019032;"Zapolice (2)";5243;3272;
1019042;"Zduńska Wola (2)";12246;7622;
1020000;"Powiat zgierski";165850;96979;
1020011;"Głowno (1)";13961;8010;
1020021;"Ozorków (1)";19128;11258;
1020031;"Zgierz (1)";55673;31844;
1020043;"Aleksandrów Łódzki (3)";32685;19341;
1020044;"Aleksandrów Łódzki - miasto (4)";21754;12653;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";10931;6688;
1020052;"Głowno (2)";4826;2992;
1020062;"Ozorków (2)";7051;4172;
1020072;"Parzęczew (2)";5163;3176;
1020083;"Stryków (3)";12681;7432;
1020084;"Stryków - miasto (4)";3428;1969;
1020085;"Stryków - obszar wiejski (5)";9253;5463;
1020092;"Zgierz (2)";14682;8754;
1021000;"Powiat brzeziński";30648;18195;
1021011;"Brzeziny (1)";12365;7266;
1021022;"Brzeziny (2)";5853;3527;
1021032;"Dmosin (2)";4446;2635;
1021042;"Jeżów (2)";3328;2012;
1021052;"Rogów (2)";4656;2755;
1061000;"Powiat m.Łódź";672185;374630;
1061011;"Łódź (1)";672185;374630;
