"Kod";"Nazwa";"ludność korzystająca z  sieci kanalizacyjnej;2020;[osoba]";
1210075;"Krynica-Zdrój - obszar wiejski (5)";5331;
1210082;"Łabowa (2)";2303;
1210092;"Łącko (2)";6660;
1210102;"Łososina Dolna (2)";3212;
1210113;"Muszyna (3)";11051;
1210114;"Muszyna - miasto (4)";4289;
1210115;"Muszyna - obszar wiejski (5)";6762;
1210122;"Nawojowa (2)";4734;
1210133;"Piwniczna-Zdrój (3)";5561;
1210134;"Piwniczna-Zdrój - miasto (4)";3534;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";2027;
1210142;"Podegrodzie (2)";4422;
1210152;"Rytro (2)";2598;
1210163;"Stary Sącz (3)";11766;
1210164;"Stary Sącz - miasto (4)";7051;
1210165;"Stary Sącz - obszar wiejski (5)";4715;
1211000;"Powiat nowotarski";118259;
1211011;"Nowy Targ (1)";31234;
1211023;"Szczawnica (3)";5896;
1211024;"Szczawnica - miasto (4)";4805;
1211025;"Szczawnica - obszar wiejski (5)";1091;
1211032;"Czarny Dunajec (2)";4249;
1211042;"Czorsztyn (2)";7106;
1211052;"Jabłonka (2)";15821;
1211062;"Krościenko nad Dunajcem (2)";4181;
1211072;"Lipnica Wielka (2)";5007;
1211082;"Łapsze Niżne (2)";7488;
1211092;"Nowy Targ (2)";13155;
1211102;"Ochotnica Dolna (2)";5627;
1211112;"Raba Wyżna (2)";2736;
1211123;"Rabka-Zdrój (3)";9278;
1211124;"Rabka-Zdrój - miasto (4)";8660;
1211125;"Rabka-Zdrój - obszar wiejski (5)";618;
1211132;"Spytkowice (2)";2564;
1211142;"Szaflary (2)";3917;
1212000;"Powiat olkuski";63250;
1212011;"Bukowno (1)";8247;
1212032;"Bolesław (2)";4176;
1212042;"Klucze (2)";7002;
1212053;"Olkusz (3)";33597;
1212054;"Olkusz - miasto (4)";32007;
1212055;"Olkusz - obszar wiejski (5)";1590;
1212062;"Trzyciąż (2)";2078;
1212073;"Wolbrom (3)";8150;
1212074;"Wolbrom - miasto (4)";7755;
1212075;"Wolbrom - obszar wiejski (5)";395;
1213000;"Powiat oświęcimski";100540;
1213011;"Oświęcim (1)";34829;
1213023;"Brzeszcze (3)";15306;
1213024;"Brzeszcze - miasto (4)";9387;
1213025;"Brzeszcze - obszar wiejski (5)";5919;
1213033;"Chełmek (3)";9144;
1213034;"Chełmek - miasto (4)";7415;
1213035;"Chełmek - obszar wiejski (5)";1729;
1213043;"Kęty (3)";21997;
1213044;"Kęty - miasto (4)";14596;
1213045;"Kęty - obszar wiejski (5)";7401;
1213052;"Osiek (2)";3260;
1213062;"Oświęcim (2)";4246;
1213072;"Polanka Wielka (2)";1211;
1213082;"Przeciszów (2)";3441;
1213093;"Zator (3)";7106;
1213094;"Zator - miasto (4)";3263;
1213095;"Zator - obszar wiejski (5)";3843;
1214000;"Powiat proszowicki";15509;
1214012;"Koniusza (2)";2814;
1214023;"Koszyce (3)";4436;
1214024;"Koszyce - miasto (4)";643;
1214025;"Koszyce - obszar wiejski (5)";3793;
1214033;"Nowe Brzesko (3)";1239;
1214034;"Nowe Brzesko - miasto (4)";1195;
1214035;"Nowe Brzesko - obszar wiejski (5)";44;
1214042;"Pałecznica (2)";228;
1214053;"Proszowice (3)";6654;
1214054;"Proszowice - miasto (4)";5975;
1214055;"Proszowice - obszar wiejski (5)";679;
1214062;"Radziemice (2)";138;
1215000;"Powiat suski";33862;
1215011;"Jordanów (1)";2580;
1215021;"Sucha Beskidzka (1)";7308;
1215032;"Budzów (2)";16;
1215052;"Jordanów (2)";4083;
1215063;"Maków Podhalański (3)";7504;
1215064;"Maków Podhalański - miasto (4)";4858;
1215065;"Maków Podhalański - obszar wiejski (5)";2646;
1215072;"Stryszawa (2)";4555;
1215082;"Zawoja (2)";4413;
1215092;"Zembrzyce (2)";3403;
1216000;"Powiat tarnowski";107169;
1216013;"Ciężkowice (3)";3192;
1216014;"Ciężkowice - miasto (4)";1436;
1216015;"Ciężkowice - obszar wiejski (5)";1756;
1216022;"Gromnik (2)";2795;
1216032;"Lisia Góra (2)";10437;
1216042;"Pleśna (2)";5039;
1216053;"Radłów (3)";4637;
1216054;"Radłów - miasto (4)";2219;
1216055;"Radłów - obszar wiejski (5)";2418;
1216063;"Ryglice (3)";5568;
1216064;"Ryglice - miasto (4)";1498;
1216065;"Ryglice - obszar wiejski (5)";4070;
1216072;"Rzepiennik Strzyżewski (2)";2178;
1216082;"Skrzyszów (2)";9463;
1216092;"Tarnów (2)";19744;
1216103;"Tuchów (3)";8927;
1216104;"Tuchów - miasto (4)";4503;
1216105;"Tuchów - obszar wiejski (5)";4424;
1216112;"Wierzchosławice (2)";9597;
1216122;"Wietrzychowice (2)";1450;
1216133;"Wojnicz (3)";2117;
1216134;"Wojnicz - miasto (4)";1978;
1216135;"Wojnicz - obszar wiejski (5)";139;
1216143;"Zakliczyn (3)";4320;
1216144;"Zakliczyn - miasto (4)";1358;
1216145;"Zakliczyn - obszar wiejski (5)";2962;
1216153;"Żabno (3)";14219;
1216154;"Żabno - miasto (4)";4183;
1216155;"Żabno - obszar wiejski (5)";10036;
1216162;"Szerzyny (2)";3486;
1217000;"Powiat tatrzański";44254;
1217011;"Zakopane (1)";22506;
1217022;"Biały Dunajec (2)";2996;
1217032;"Bukowina Tatrzańska (2)";6534;
1217042;"Kościelisko (2)";5884;
1217052;"Poronin (2)";6334;
1218000;"Powiat wadowicki";84414;
1218013;"Andrychów (3)";34896;
1218014;"Andrychów - miasto (4)";19835;
1218015;"Andrychów - obszar wiejski (5)";15061;
1218022;"Brzeźnica (2)";1771;
1218033;"Kalwaria Zebrzydowska (3)";2380;
1218034;"Kalwaria Zebrzydowska - miasto (4)";2347;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";33;
1218042;"Lanckorona (2)";924;
1218052;"Mucharz (2)";4133;
1218062;"Spytkowice (2)";3579;
1218072;"Stryszów (2)";4995;
1218082;"Tomice (2)";2450;
1218093;"Wadowice (3)";26135;
1218094;"Wadowice - miasto (4)";16652;
1218095;"Wadowice - obszar wiejski (5)";9483;
1218102;"Wieprz (2)";3151;
1219000;"Powiat wielicki";65428;
1219012;"Biskupice (2)";299;
1219022;"Gdów (2)";4919;
1219032;"Kłaj (2)";5498;
1219043;"Niepołomice (3)";21823;
1219044;"Niepołomice - miasto (4)";11708;
1219045;"Niepołomice - obszar wiejski (5)";10115;
1219053;"Wieliczka (3)";32889;
1219054;"Wieliczka - miasto (4)";21114;
1219055;"Wieliczka - obszar wiejski (5)";11775;
1261000;"Powiat m.Kraków";719512;
1261011;"Kraków (1)";719512;
1262000;"Powiat m.Nowy Sącz";72231;
1262011;"Nowy Sącz (1)";72231;
1263000;"Powiat m.Tarnów";94551;
1263011;"Tarnów (1)";94551;
1400000;"MAZOWIECKIE";3808093;
1401000;"Powiat białobrzeski";10010;
1401013;"Białobrzegi (3)";6908;
1401014;"Białobrzegi - miasto (4)";5568;
1401015;"Białobrzegi - obszar wiejski (5)";1340;
1401032;"Radzanów (2)";381;
1401042;"Stara Błotnica (2)";516;
1401052;"Stromiec (2)";1810;
1401063;"Wyśmierzyce (3)";395;
1401064;"Wyśmierzyce - miasto (4)";395;
1402000;"Powiat ciechanowski";51829;
1402011;"Ciechanów (1)";39496;
1402022;"Ciechanów (2)";765;
1402033;"Glinojeck (3)";5164;
1402034;"Glinojeck - miasto (4)";2416;
1402035;"Glinojeck - obszar wiejski (5)";2748;
1402052;"Grudusk (2)";1589;
1402072;"Opinogóra Górna (2)";1657;
1402082;"Regimin (2)";991;
1402092;"Sońsk (2)";2167;
1403000;"Powiat garwoliński";51766;
1403011;"Garwolin (1)";15573;
1403021;"Łaskarzew (1)";2721;
1403032;"Borowie (2)";3753;
1403042;"Garwolin (2)";7629;
1403052;"Górzno (2)";2080;
1403062;"Łaskarzew (2)";984;
1403072;"Maciejowice (2)";1293;
1403082;"Miastków Kościelny (2)";1636;
1403092;"Parysów (2)";938;
1403103;"Pilawa (3)";7443;
1403104;"Pilawa - miasto (4)";4134;
1403105;"Pilawa - obszar wiejski (5)";3309;
1403112;"Sobolew (2)";2882;
1403122;"Trojanów (2)";9;
1403132;"Wilga (2)";787;
1403143;"Żelechów (3)";4038;
1403144;"Żelechów - miasto (4)";3739;
1403145;"Żelechów - obszar wiejski (5)";299;
1404000;"Powiat gostyniński";19647;
1404011;"Gostynin (1)";15033;
1404022;"Gostynin (2)";1985;
1404032;"Pacyna (2)";778;
1404043;"Sanniki (3)";994;
1404044;"Sanniki - miasto (4)";994;
1404052;"Szczawin Kościelny (2)";857;
1405000;"Powiat grodziski";61066;
1405011;"Milanówek (1)";11518;
1405021;"Podkowa Leśna (1)";3273;
1405032;"Baranów (2)";1009;
1405043;"Grodzisk Mazowiecki (3)";35979;
1405044;"Grodzisk Mazowiecki - miasto (4)";28698;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";7281;
1405052;"Jaktorów (2)";7944;
1405062;"Żabia Wola (2)";1343;
1406000;"Powiat grójecki";42493;
1406012;"Belsk Duży (2)";1250;
1406022;"Błędów (2)";1271;
1406032;"Chynów (2)";4462;
1406042;"Goszczyn (2)";431;
1406053;"Grójec (3)";16153;
1406054;"Grójec - miasto (4)";14965;
1406055;"Grójec - obszar wiejski (5)";1188;
1406062;"Jasieniec (2)";1237;
1406073;"Mogielnica (3)";2931;
1406074;"Mogielnica - miasto (4)";2145;
1406075;"Mogielnica - obszar wiejski (5)";786;
1406083;"Nowe Miasto nad Pilicą (3)";2635;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";2635;
1406113;"Warka (3)";12123;
1406114;"Warka - miasto (4)";10937;
1406115;"Warka - obszar wiejski (5)";1186;
1407000;"Powiat kozienicki";37096;
1407012;"Garbatka-Letnisko (2)";2799;
1407022;"Głowaczów (2)";1504;
1407032;"Gniewoszów (2)";516;
1407042;"Grabów nad Pilicą (2)";1425;
1407053;"Kozienice (3)";26432;
1407054;"Kozienice - miasto (4)";15989;
1407055;"Kozienice - obszar wiejski (5)";10443;
1407062;"Magnuszew (2)";2862;
1407072;"Sieciechów (2)";1558;
1408000;"Powiat legionowski";85854;
1408011;"Legionowo (1)";48778;
1408022;"Jabłonna (2)";8480;
1408032;"Nieporęt (2)";7153;
1408043;"Serock (3)";9972;
1408044;"Serock - miasto (4)";4101;
1408045;"Serock - obszar wiejski (5)";5871;
1408052;"Wieliszew (2)";11471;
1409000;"Powiat lipski";8341;
1409022;"Ciepielów (2)";578;
1409033;"Lipsko (3)";4952;
1409034;"Lipsko - miasto (4)";4584;
1409035;"Lipsko - obszar wiejski (5)";368;
1409042;"Rzeczniów (2)";1175;
1409052;"Sienno (2)";1401;
1409062;"Solec nad Wisłą (2)";235;
1410000;"Powiat łosicki";13052;
1410012;"Huszlew (2)";712;
1410023;"Łosice (3)";6251;
1410024;"Łosice - miasto (4)";5648;
1410025;"Łosice - obszar wiejski (5)";603;
1410042;"Platerów (2)";2194;
1410052;"Sarnaki (2)";1968;
1410062;"Stara Kornica (2)";1927;
1411000;"Powiat makowski";12493;
1411011;"Maków Mazowiecki (1)";8609;
1411032;"Karniewo (2)";28;
1411062;"Płoniawy-Bramura (2)";1158;
1411073;"Różan (3)";2383;
1411074;"Różan - miasto (4)";2224;
1411075;"Różan - obszar wiejski (5)";159;
1411102;"Szelków (2)";315;
1412000;"Powiat miński";87293;
1412011;"Mińsk Mazowiecki (1)";36554;
1412042;"Cegłów (2)";2664;
1412052;"Dębe Wielkie (2)";3409;
1412062;"Dobre (2)";1589;
1412073;"Halinów (3)";9119;
1412074;"Halinów - miasto (4)";3636;
1412075;"Halinów - obszar wiejski (5)";5483;
1412082;"Jakubów (2)";1256;
1412093;"Kałuszyn (3)";2645;
1412094;"Kałuszyn - miasto (4)";2362;
1412095;"Kałuszyn - obszar wiejski (5)";283;
1412102;"Latowicz (2)";1776;
1412112;"Mińsk Mazowiecki (2)";5585;
1412123;"Mrozy (3)";3320;
1412124;"Mrozy - miasto (4)";2685;
1412125;"Mrozy - obszar wiejski (5)";635;
1412132;"Siennica (2)";2225;
1412142;"Stanisławów (2)";2496;
1412151;"Sulejówek (1)";14655;
1413000;"Powiat mławski";34713;
1413011;"Mława (1)";26773;
1413042;"Radzanów (2)";674;
1413052;"Strzegowo (2)";4791;
1413072;"Szreńsk (2)";1159;
1413092;"Wieczfnia Kościelna (2)";1197;
1413102;"Wiśniewo (2)";119;
1414000;"Powiat nowodworski";44754;
1414011;"Nowy Dwór Mazowiecki (1)";24347;
1414022;"Czosnów (2)";5611;
1414032;"Leoncin (2)";1119;
1414043;"Nasielsk (3)";7573;
1414044;"Nasielsk - miasto (4)";5827;
1414045;"Nasielsk - obszar wiejski (5)";1746;
1414052;"Pomiechówek (2)";3935;
1414063;"Zakroczym (3)";2169;
1414064;"Zakroczym - miasto (4)";2169;
1415000;"Powiat ostrołęcki";26022;
1415012;"Baranowo (2)";2957;
1415032;"Czerwin (2)";505;
1415042;"Goworowo (2)";1163;
1415052;"Kadzidło (2)";3754;
1415062;"Lelis (2)";2729;
1415072;"Łyse (2)";2889;
1415083;"Myszyniec (3)";3683;
1415084;"Myszyniec - miasto (4)";2919;
1415085;"Myszyniec - obszar wiejski (5)";764;
1415092;"Olszewo-Borki (2)";4412;
1415102;"Rzekuń (2)";3099;
1415112;"Troszyn (2)";831;
1416000;"Powiat ostrowski";30274;
1416011;"Ostrów Mazowiecka (1)";17324;
1416022;"Andrzejewo (2)";640;
1416032;"Boguty-Pianki (2)";937;
1416043;"Brok (3)";691;
1416044;"Brok - miasto (4)";691;
1416052;"Małkinia Górna (2)";4721;
1416072;"Ostrów Mazowiecka (2)";2586;
1416082;"Stary Lubotyń (2)";1435;
1416102;"Wąsewo (2)";1461;
1416112;"Zaręby Kościelne (2)";479;
1417000;"Powiat otwocki";74879;
1417011;"Józefów (1)";15597;
1417021;"Otwock (1)";36936;
1417032;"Celestynów (2)";5121;
1417043;"Karczew (3)";7475;
1417044;"Karczew - miasto (4)";7209;
1417045;"Karczew - obszar wiejski (5)";266;
1417052;"Kołbiel (2)";3160;
1417062;"Osieck (2)";1665;
1417072;"Sobienie-Jeziory (2)";1215;
1417082;"Wiązowna (2)";3710;
1418000;"Powiat piaseczyński";141285;
1418013;"Góra Kalwaria (3)";15355;
1418014;"Góra Kalwaria - miasto (4)";8945;
1418015;"Góra Kalwaria - obszar wiejski (5)";6410;
1418023;"Konstancin-Jeziorna (3)";16369;
1418024;"Konstancin-Jeziorna - miasto (4)";12313;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";4056;
1418032;"Lesznowola (2)";27656;
1418043;"Piaseczno (3)";74075;
1418044;"Piaseczno - miasto (4)";43141;
1418045;"Piaseczno - obszar wiejski (5)";30934;
1418052;"Prażmów (2)";665;
1418063;"Tarczyn (3)";7165;
1418064;"Tarczyn - miasto (4)";4030;
1418065;"Tarczyn - obszar wiejski (5)";3135;
1419000;"Powiat płocki";37746;
1419012;"Bielsk (2)";2358;
1419022;"Bodzanów (2)";1759;
1419032;"Brudzeń Duży (2)";1926;
1419042;"Bulkowo (2)";714;
1419053;"Drobin (3)";2497;
1419054;"Drobin - miasto (4)";2442;
1419055;"Drobin - obszar wiejski (5)";55;
1419063;"Gąbin (3)";2554;
1419064;"Gąbin - miasto (4)";2554;
1419072;"Łąck (2)";2480;
1419082;"Mała Wieś (2)";1131;
1419092;"Nowy Duninów (2)";2020;
1419102;"Radzanowo (2)";1710;
1419112;"Słubice (2)";851;
1419122;"Słupno (2)";5569;
1419132;"Stara Biała (2)";7261;
1419142;"Staroźreby (2)";2240;
1419153;"Wyszogród (3)";2676;
1419154;"Wyszogród - miasto (4)";2193;
1419155;"Wyszogród - obszar wiejski (5)";483;
1420000;"Powiat płoński";31452;
1420011;"Płońsk (1)";21266;
1420021;"Raciąż (1)";2358;
1420032;"Baboszewo (2)";2129;
1420043;"Czerwińsk nad Wisłą (3)";330;
1420044;"Czerwińsk nad Wisłą - miasto (4)";293;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";37;
1420072;"Naruszewo (2)";648;
1420082;"Nowe Miasto (2)";805;
1420092;"Płońsk (2)";949;
1420102;"Raciąż (2)";1505;
1420112;"Sochocin (2)";1462;
1421000;"Powiat pruszkowski";133525;
1421011;"Piastów (1)";20104;
1421021;"Pruszków (1)";55788;
1421033;"Brwinów (3)";16506;
1421034;"Brwinów - miasto (4)";10357;
1421035;"Brwinów - obszar wiejski (5)";6149;
1421042;"Michałowice (2)";15461;
1421052;"Nadarzyn (2)";9490;
1421062;"Raszyn (2)";16176;
1422000;"Powiat przasnyski";26398;
1422011;"Przasnysz (1)";15145;
1422023;"Chorzele (3)";3249;
1422024;"Chorzele - miasto (4)";3081;
1422025;"Chorzele - obszar wiejski (5)";168;
1422032;"Czernice Borowe (2)";954;
1422042;"Jednorożec (2)";2297;
1422052;"Krasne (2)";1724;
1422072;"Przasnysz (2)";3029;
1423000;"Powiat przysuski";15922;
1423012;"Borkowice (2)";1241;
1423022;"Gielniów (2)";1816;
1423032;"Klwów (2)";282;
1423042;"Odrzywół (2)";1292;
1423052;"Potworów (2)";1298;
1423063;"Przysucha (3)";7927;
1423064;"Przysucha - miasto (4)";5453;
1423065;"Przysucha - obszar wiejski (5)";2474;
1423072;"Rusinów (2)";675;
1423082;"Wieniawa (2)";1391;
1424000;"Powiat pułtuski";22200;
1424022;"Obryte (2)";1662;
1424043;"Pułtusk (3)";16677;
1424044;"Pułtusk - miasto (4)";16677;
1424052;"Świercze (2)";662;
1424062;"Winnica (2)";1461;
1424072;"Zatory (2)";1738;
1425000;"Powiat radomski";61417;
1425011;"Pionki (1)";16709;
1425022;"Gózd (2)";4200;
1425033;"Iłża (3)";3677;
1425034;"Iłża - miasto (4)";3677;
1425042;"Jastrzębia (2)";3133;
1425052;"Jedlińsk (2)";2657;
1425062;"Jedlnia-Letnisko (2)";7357;
1425082;"Pionki (2)";6785;
1425092;"Przytyk (2)";2984;
1425103;"Skaryszew (3)";3790;
1425104;"Skaryszew - miasto (4)";3086;
1425105;"Skaryszew - obszar wiejski (5)";704;
1425112;"Wierzbica (2)";3789;
1425122;"Wolanów (2)";1435;
1425132;"Zakrzew (2)";4901;
1426000;"Powiat siedlecki";32269;
1426012;"Domanice (2)";1254;
1426032;"Kotuń (2)";2224;
1426042;"Mokobody (2)";1352;
1426053;"Mordy (3)";1623;
1426054;"Mordy - miasto (4)";1554;
1426055;"Mordy - obszar wiejski (5)";69;
1426062;"Paprotnia (2)";1314;
1426082;"Siedlce (2)";11894;
1426092;"Skórzec (2)";5585;
1426102;"Suchożebry (2)";2076;
1426112;"Wiśniew (2)";977;
1426122;"Wodynie (2)";1620;
1426132;"Zbuczyn (2)";2350;
1427000;"Powiat sierpecki";22001;
1427011;"Sierpc (1)";13684;
1427022;"Gozdowo (2)";2289;
1427032;"Mochowo (2)";1463;
1427042;"Rościszewo (2)";1223;
1427052;"Sierpc (2)";600;
1427062;"Szczutowo (2)";1634;
1427072;"Zawidz (2)";1108;
1428000;"Powiat sochaczewski";39927;
1428011;"Sochaczew (1)";28668;
1428022;"Brochów (2)";1725;
1428032;"Iłów (2)";909;
1428042;"Młodzieszyn (2)";881;
1428052;"Nowa Sucha (2)";2638;
1428062;"Rybno (2)";170;
1428082;"Teresin (2)";4936;
1429000;"Powiat sokołowski";20955;
1429011;"Sokołów Podlaski (1)";16842;
1429042;"Jabłonna Lacka (2)";1035;
1429053;"Kosów Lacki (3)";1199;
1429054;"Kosów Lacki - miasto (4)";1199;
1429062;"Repki (2)";645;
1429082;"Sokołów Podlaski (2)";426;
1429092;"Sterdyń (2)";808;
1430000;"Powiat szydłowiecki";13634;
1430012;"Chlewiska (2)";1680;
1430042;"Orońsko (2)";868;
1430053;"Szydłowiec (3)";11086;
1430054;"Szydłowiec - miasto (4)";10233;
1430055;"Szydłowiec - obszar wiejski (5)";853;
1432000;"Powiat warszawski zachodni";81526;
1432013;"Błonie (3)";17644;
1432014;"Błonie - miasto (4)";10548;
1432015;"Błonie - obszar wiejski (5)";7096;
1432022;"Izabelin (2)";7748;
1432032;"Kampinos (2)";1960;
1432042;"Leszno (2)";3251;
1432053;"Łomianki (3)";15807;
1432054;"Łomianki - miasto (4)";11232;
1432055;"Łomianki - obszar wiejski (5)";4575;
1432063;"Ożarów Mazowiecki (3)";19618;
1432064;"Ożarów Mazowiecki - miasto (4)";10841;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";8777;
1432072;"Stare Babice (2)";15498;
1433000;"Powiat węgrowski";24568;
1433011;"Węgrów (1)";9710;
1433032;"Korytnica (2)";770;
1433042;"Liw (2)";2280;
1433053;"Łochów (3)";7864;
1433054;"Łochów - miasto (4)";5183;
1433055;"Łochów - obszar wiejski (5)";2681;
1433062;"Miedzna (2)";1414;
1433072;"Sadowne (2)";1006;
1433082;"Stoczek (2)";1524;
1434000;"Powiat wołomiński";177509;
1434011;"Kobyłka (1)";21057;
1434021;"Marki (1)";32860;
1434031;"Ząbki (1)";36183;
1434041;"Zielonka (1)";15639;
1434052;"Dąbrówka (2)";3741;
1434062;"Jadów (2)";4451;
1434072;"Klembów (2)";3594;
1434093;"Radzymin (3)";15819;
1434094;"Radzymin - miasto (4)";12531;
1434095;"Radzymin - obszar wiejski (5)";3288;
1434113;"Tłuszcz (3)";7423;
1434114;"Tłuszcz - miasto (4)";7356;
1434115;"Tłuszcz - obszar wiejski (5)";67;
1434123;"Wołomin (3)";36742;
1434124;"Wołomin - miasto (4)";30601;
1434125;"Wołomin - obszar wiejski (5)";6141;
1435000;"Powiat wyszkowski";42748;
1435012;"Brańszczyk (2)";4128;
1435022;"Długosiodło (2)";2452;
1435032;"Rząśnik (2)";3062;
1435042;"Somianka (2)";870;
1435053;"Wyszków (3)";30148;
1435054;"Wyszków - miasto (4)";24941;
1435055;"Wyszków - obszar wiejski (5)";5207;
1435062;"Zabrodzie (2)";2088;
1436000;"Powiat zwoleński";11310;
1436012;"Kazanów (2)";680;
1436022;"Policzna (2)";1811;
1436042;"Tczów (2)";2431;
1436053;"Zwoleń (3)";6388;
1436054;"Zwoleń - miasto (4)";6199;
1436055;"Zwoleń - obszar wiejski (5)";189;
1437000;"Powiat żuromiński";12806;
1437013;"Bieżuń (3)";1347;
1437014;"Bieżuń - miasto (4)";1347;
1437022;"Kuczbork-Osada (2)";1516;
1437033;"Lubowidz (3)";1082;
1437034;"Lubowidz - miasto (4)";1082;
1437042;"Lutocin (2)";674;
1437063;"Żuromin (3)";8187;
1437064;"Żuromin - miasto (4)";7509;
1437065;"Żuromin - obszar wiejski (5)";678;
1438000;"Powiat żyrardowski";46262;
1438011;"Żyrardów (1)";33495;
1438023;"Mszczonów (3)";6088;
1438024;"Mszczonów - miasto (4)";5557;
1438025;"Mszczonów - obszar wiejski (5)";531;
1438032;"Puszcza Mariańska (2)";2623;
1438042;"Radziejowice (2)";2283;
1438052;"Wiskitki (2)";1773;
1461000;"Powiat m.Ostrołęka";47379;
1461011;"Ostrołęka (1)";47379;
1462000;"Powiat m.Płock";107131;
1462011;"Płock (1)";107131;
1463000;"Powiat m.Radom";192178;
1463011;"Radom (1)";192178;
1464000;"Powiat m.Siedlce";73272;
1464011;"Siedlce (1)";73272;
1465000;"Powiat m. st. Warszawa";1701091;
1465011;"M.st.Warszawa od 2002 (1)";1701091;
1600000;"OPOLSKIE";721912;
1601000;"Powiat brzeski";75171;
1601011;"Brzeg (1)";33412;
1601022;"Skarbimierz (2)";6489;
1601033;"Grodków (3)";14875;
1601034;"Grodków - miasto (4)";8162;
1601035;"Grodków - obszar wiejski (5)";6713;
1601043;"Lewin Brzeski (3)";8855;
1601044;"Lewin Brzeski - miasto (4)";5440;
1601045;"Lewin Brzeski - obszar wiejski (5)";3415;
1601052;"Lubsza (2)";7036;
1601062;"Olszanka (2)";4504;
1602000;"Powiat głubczycki";27848;
1602013;"Baborów (3)";3525;
1602014;"Baborów - miasto (4)";2488;
1602015;"Baborów - obszar wiejski (5)";1037;
1602022;"Branice (2)";3009;
1602033;"Głubczyce (3)";17297;
1602034;"Głubczyce - miasto (4)";12438;
1602035;"Głubczyce - obszar wiejski (5)";4859;
1602043;"Kietrz (3)";4017;
1602044;"Kietrz - miasto (4)";3470;
1602045;"Kietrz - obszar wiejski (5)";547;
1603000;"Powiat kędzierzyńsko-kozielski";73756;
1603011;"Kędzierzyn-Koźle (1)";53613;
1603022;"Bierawa (2)";5747;
1603032;"Cisek (2)";1177;
1603042;"Pawłowiczki (2)";5563;
1603052;"Polska Cerekiew (2)";1988;
1603062;"Reńska Wieś (2)";5668;
1604000;"Powiat kluczborski";41702;
1604013;"Byczyna (3)";4039;
1604014;"Byczyna - miasto (4)";3349;
1604015;"Byczyna - obszar wiejski (5)";690;
1604023;"Kluczbork (3)";25922;
1604024;"Kluczbork - miasto (4)";21072;
1604025;"Kluczbork - obszar wiejski (5)";4850;
1604032;"Lasowice Wielkie (2)";3921;
1604043;"Wołczyn (3)";7820;
1604044;"Wołczyn - miasto (4)";5513;
1604045;"Wołczyn - obszar wiejski (5)";2307;
1605000;"Powiat krapkowicki";45361;
1605013;"Gogolin (3)";10017;
1605014;"Gogolin - miasto (4)";5870;
1605015;"Gogolin - obszar wiejski (5)";4147;
1605023;"Krapkowice (3)";16401;
1605024;"Krapkowice - miasto (4)";12784;
1605025;"Krapkowice - obszar wiejski (5)";3617;
1605032;"Strzeleczki (2)";2420;
1605042;"Walce (2)";3513;
1605053;"Zdzieszowice (3)";13010;
1605054;"Zdzieszowice - miasto (4)";10893;
1605055;"Zdzieszowice - obszar wiejski (5)";2117;
1606000;"Powiat namysłowski";26643;
1606012;"Domaszowice (2)";1529;
1606023;"Namysłów (3)";19407;
1606024;"Namysłów - miasto (4)";15983;
1606025;"Namysłów - obszar wiejski (5)";3424;
1606032;"Pokój (2)";1610;
1606042;"Świerczów (2)";1014;
1606052;"Wilków (2)";3083;
1607000;"Powiat nyski";97682;
1607013;"Głuchołazy (3)";18129;
1607014;"Głuchołazy - miasto (4)";11449;
1607015;"Głuchołazy - obszar wiejski (5)";6680;
1607022;"Kamiennik (2)";574;
1607033;"Korfantów (3)";1577;
1607034;"Korfantów - miasto (4)";1545;
1607035;"Korfantów - obszar wiejski (5)";32;
1607042;"Łambinowice (2)";2613;
1607053;"Nysa (3)";54641;
1607054;"Nysa - miasto (4)";42097;
1607055;"Nysa - obszar wiejski (5)";12544;
1607063;"Otmuchów (3)";11160;
1607064;"Otmuchów - miasto (4)";5741;
1607065;"Otmuchów - obszar wiejski (5)";5419;
1607073;"Paczków (3)";5985;
1607074;"Paczków - miasto (4)";5735;
1607075;"Paczków - obszar wiejski (5)";250;
1607092;"Skoroszyce (2)";3003;
1608000;"Powiat oleski";30055;
1608013;"Dobrodzień (3)";3628;
1608014;"Dobrodzień - miasto (4)";2884;
1608015;"Dobrodzień - obszar wiejski (5)";744;
1608023;"Gorzów Śląski (3)";3234;
1608024;"Gorzów Śląski - miasto (4)";1936;
1608025;"Gorzów Śląski - obszar wiejski (5)";1298;
1608033;"Olesno (3)";8679;
1608034;"Olesno - miasto (4)";7911;
1608035;"Olesno - obszar wiejski (5)";768;
1608043;"Praszka (3)";9808;
1608044;"Praszka - miasto (4)";7161;
1608045;"Praszka - obszar wiejski (5)";2647;
1608052;"Radłów (2)";506;
1608062;"Rudniki (2)";4200;
1609000;"Powiat opolski";95160;
1609012;"Chrząstowice (2)";6217;
1609022;"Dąbrowa (2)";5428;
1609032;"Dobrzeń Wielki (2)";9241;
1609042;"Komprachcice (2)";7442;
1609052;"Łubniany (2)";6225;
1609062;"Murów (2)";2002;
1609073;"Niemodlin (3)";7640;
