"Kod";"Nazwa";"ścieżki rowerowe na 10 tys. km2;2020;[km]";"ścieżki rowerowe na 10 tys. ludności;2020;[km]";
2012052;"Raczki (2)";28,1;0,68;
2012072;"Suwałki (2)";899,4;30,41;
2012092;"Wiżajny (2)";89,4;4,33;
2013000;"Powiat wysokomazowiecki";217,2;4,96;
2013011;"Wysokie Mazowieckie (1)";7021,0;11,46;
2013023;"Ciechanowiec (3)";517,0;12,24;
2013033;"Czyżew (3)";529,1;10,92;
2014000;"Powiat zambrowski";207,3;3,52;
2014011;"Zambrów (1)";7571,0;6,57;
2014042;"Szumowo (2)";56,7;1,68;
2061000;"Powiat m.Białystok";15558,6;5,35;
2061011;"Białystok (1)";15558,6;5,35;
2062000;"Powiat m.Łomża";11141,7;5,82;
2062011;"Łomża (1)";11141,7;5,82;
2063000;"Powiat m.Suwałki";14547,4;13,68;
2063011;"Suwałki (1)";14547,4;13,68;
2200000;"POMORSKIE";807,3;6,30;
2201000;"Powiat bytowski";229,9;6,37;
2201012;"Borzytuchom (2)";635,8;20,30;
2201023;"Bytów (3)";523,1;4,06;
2201032;"Czarna Dąbrówka (2)";47,0;2,35;
2201063;"Miastko (3)";457,0;11,03;
2201092;"Trzebielino (2)";26,6;1,62;
2201102;"Tuchomie (2)";898,4;22,96;
2202000;"Powiat chojnicki";1436,7;20,07;
2202011;"Chojnice (1)";13830,8;7,34;
2202023;"Brusy (3)";1036,3;28,37;
2202032;"Chojnice (2)";1900,9;44,67;
2202043;"Czersk (3)";862,9;15,18;
2202052;"Konarzyny (2)";526,8;24,07;
2203000;"Powiat człuchowski";302,2;8,53;
2203011;"Człuchów (1)";13067,3;12,39;
2203023;"Czarne (3)";68,1;1,79;
2203032;"Człuchów (2)";287,7;9,27;
2203043;"Debrzno (3)";330,3;8,26;
2203052;"Koczała (2)";94,0;6,31;
2203062;"Przechlewo (2)";385,3;14,98;
2204000;"Powiat gdański";1133,9;7,48;
2204011;"Pruszcz Gdański (1)";10989,7;5,73;
2204022;"Cedry Wielkie (2)";1102,4;19,61;
2204032;"Kolbudy (2)";1306,6;5,95;
2204042;"Pruszcz Gdański (2)";2148,8;9,60;
2204052;"Przywidz (2)";69,6;1,50;
2204062;"Pszczółki (2)";1276,9;6,45;
2204072;"Suchy Dąb (2)";331,3;6,59;
2204082;"Trąbki Wielkie (2)";393,7;5,69;
2205000;"Powiat kartuski";939,7;7,42;
2205012;"Chmielno (2)";1144,9;11,43;
2205023;"Kartuzy (3)";1070,5;6,49;
2205032;"Przodkowo (2)";164,4;1,41;
2205042;"Sierakowice (2)";801,2;7,17;
2205052;"Somonino (2)";606,5;6,21;
2205062;"Stężyca (2)";2810,5;41,90;
2205072;"Sulęczyno (2)";68,5;1,60;
2205083;"Żukowo (3)";329,2;1,27;
2206000;"Powiat kościerski";304,5;4,87;
2206011;"Kościerzyna (1)";16330,4;10,89;
2206032;"Karsin (2)";147,6;3,99;
2206072;"Nowa Karczma (2)";626,1;10,06;
2207000;"Powiat kwidzyński";750,0;7,55;
2207011;"Kwidzyn (1)";11327,8;6,37;
2207032;"Kwidzyn (2)";1239,3;22,47;
2207043;"Prabuty (3)";634,1;9,62;
2208000;"Powiat lęborski";775,7;8,31;
2208011;"Lębork (1)";9518,5;4,84;
2208021;"Łeba (1)";5434,8;25,42;
2208042;"Nowa Wieś Lęborska (2)";499,2;9,79;
2208052;"Wicko (2)";715,3;25,52;
2209000;"Powiat malborski";1179,6;9,22;
2209011;"Malbork (1)";11713,3;5,28;
2209032;"Lichnowy (2)";562,4;10,83;
2209042;"Malbork (2)";1152,3;23,88;
2209073;"Nowy Staw (3)";1321,1;19,92;
2209082;"Stare Pole (2)";817,7;13,81;
2210000;"Powiat nowodworski";284,8;5,42;
2210011;"Krynica Morska (1)";16,9;1,55;
2210023;"Nowy Dwór Gdański (3)";820,8;9,94;
2210052;"Sztutowo (2)";134,5;4,14;
2211000;"Powiat pucki";2002,8;13,29;
2211011;"Hel (1)";4357,3;31,13;
2211023;"Jastarnia (3)";16733,5;46,06;
2211031;"Puck (1)";10855,9;4,67;
2211043;"Władysławowo (3)";7324,0;20,21;
2211052;"Kosakowo (2)";2313,5;7,06;
2211062;"Krokowa (2)";1403,5;27,75;
2211072;"Puck (2)";505,5;4,43;
2212000;"Powiat słupski";378,9;8,83;
2212011;"Ustka (1)";11874,4;7,96;
2212062;"Kobylnica (2)";873,3;16,12;
2212072;"Potęgowo (2)";48,1;1,61;
2212082;"Słupsk (2)";1429,0;20,19;
2212102;"Ustka (2)";708,2;18,57;
2213000;"Powiat starogardzki";500,2;5,25;
2213013;"Czarna Woda (3)";504,9;4,47;
2213021;"Skórcz (1)";12396,7;12,49;
2213031;"Starogard Gdański (1)";8979,4;4,80;
2213052;"Kaliska (2)";289,4;5,89;
2213072;"Osieczna (2)";73,2;3,12;
2213093;"Skarszewy (3)";412,8;4,68;
2213102;"Skórcz (2)";41,3;0,86;
2213112;"Smętowo Graniczne (2)";279,0;4,64;
2213122;"Starogard Gdański (2)";1151,8;13,40;
2213132;"Zblewo (2)";159,7;1,84;
2214000;"Powiat tczewski";621,1;3,76;
2214011;"Tczew (1)";10992,0;4,14;
2214043;"Pelplin (3)";609,8;5,37;
2214052;"Subkowy (2)";77,1;1,09;
2214062;"Tczew (2)";556,9;6,19;
2215000;"Powiat wejherowski";570,3;3,34;
2215011;"Reda (1)";3676,0;4,61;
2215021;"Rumia (1)";5215,9;3,17;
2215031;"Wejherowo (1)";6483,9;3,56;
2215052;"Gniewino (2)";243,9;5,77;
2215062;"Linia (2)";642,7;11,92;
2215072;"Luzino (2)";269,1;1,78;
2215092;"Szemud (2)";90,4;0,86;
2215102;"Wejherowo (2)";576,6;4,12;
2216000;"Powiat sztumski";403,7;7,18;
2216013;"Dzierzgoń (3)";122,1;1,74;
2216022;"Mikołajki Pomorskie (2)";87,3;2,21;
2216042;"Stary Targ (2)";113,2;2,58;
2216053;"Sztum (3)";1408,4;14,02;
2261000;"Powiat m.Gdańsk";7749,3;4,31;
2261011;"Gdańsk (1)";7749,3;4,31;
2262000;"Powiat m.Gdynia";5061,4;2,79;
2262011;"Gdynia (1)";5061,4;2,79;
2263000;"Powiat m.Słupsk";11286,2;5,42;
2263011;"Słupsk (1)";11286,2;5,42;
2264000;"Powiat m.Sopot";12905,1;6,32;
2264011;"Sopot (1)";12905,1;6,32;
2400000;"ŚLĄSKIE";968,9;2,66;
2401000;"Powiat będziński";1452,8;3,59;
2401011;"Będzin (1)";4121,0;2,75;
2401021;"Czeladź (1)";12393,2;6,54;
2401031;"Wojkowice (1)";625,5;0,90;
2401042;"Bobrowniki (2)";1418,0;6,02;
2401073;"Siewierz (3)";799,3;7,35;
2402000;"Powiat bielski";584,3;1,61;
2402011;"Szczyrk (1)";921,4;6,30;
2402032;"Buczkowice (2)";4676,3;8,11;
2402043;"Czechowice-Dziedzice (3)";315,9;0,46;
2402062;"Jaworze (2)";4874,6;13,84;
2402102;"Wilkowice (2)";494,2;1,27;
2403000;"Powiat cieszyński";421,8;1,73;
2403011;"Cieszyn (1)";2411,7;2,03;
2403021;"Ustroń (1)";948,7;3,50;
2403031;"Wisła (1)";653,5;6,54;
2403052;"Chybie (2)";2519,7;8,14;
2403092;"Istebna (2)";106,7;0,74;
2403122;"Zebrzydowice (2)";531,1;1,66;
2404000;"Powiat częstochowski";296,3;3,36;
2404013;"Blachownia (3)";180,2;0,94;
2404022;"Dąbrowa Zielona (2)";578,8;15,07;
2404032;"Janów (2)";81,8;2,01;
2404042;"Kamienica Polska (2)";753,5;6,35;
2404052;"Kłomnice (2)";74,5;0,82;
2404063;"Koniecpol (3)";13,6;0,22;
2404072;"Konopiska (2)";1069,9;7,83;
2404102;"Mstów (2)";33,5;0,37;
2404122;"Olsztyn (2)";1081,6;15,06;
2404132;"Poczesna (2)";100,0;0,47;
2404152;"Rędziny (2)";654,9;2,74;
2404162;"Starcza (2)";4081,6;28,74;
2405000;"Powiat gliwicki";257,4;1,48;
2405011;"Knurów (1)";1767,3;1,59;
2405021;"Pyskowice (1)";1100,7;1,84;
2405032;"Gierałtowice (2)";578,0;1,80;
2405042;"Pilchowice (2)";329,4;1,89;
2405063;"Sośnicowice (3)";274,7;3,59;
2406000;"Powiat kłobucki";87,8;0,92;
2406013;"Kłobuck (3)";84,6;0,54;
2406023;"Krzepice (3)";342,0;3,00;
2406072;"Popów (2)";176,0;3,08;
2406082;"Przystajń (2)";247,7;3,76;
2407000;"Powiat lubliniecki";1002,1;10,83;
2407011;"Lubliniec (1)";2439,6;9,26;
2407022;"Boronów (2)";750,7;12,47;
2407032;"Ciasna (2)";992,9;18,00;
2407042;"Herby (2)";1524,9;19,35;
2407052;"Kochanowice (2)";912,3;10,49;
2407062;"Koszęcin (2)";503,2;5,50;
2407072;"Pawonków (2)";1034,2;18,59;
2407083;"Woźniki (3)";297,8;3,97;
2408000;"Powiat mikołowski";175,9;0,41;
2408021;"Mikołów (1)";429,2;0,83;
2408042;"Ornontowice (2)";453,1;1,13;
2409000;"Powiat myszkowski";388,1;2,64;
2409011;"Myszków (1)";869,7;2,05;
2409023;"Koziegłowy (3)";131,5;1,46;
2409042;"Poraj (2)";1296,9;6,84;
2409053;"Żarki (3)";267,3;3,19;
2410000;"Powiat pszczyński";498,8;2,10;
2410012;"Goczałkowice-Zdrój (2)";548,6;3,86;
2410022;"Kobiór (2)";332,0;3,22;
2410032;"Miedźna (2)";678,8;2,04;
2410042;"Pawłowice (2)";766,4;3,19;
2410053;"Pszczyna (3)";578,0;1,91;
2411000;"Powiat raciborski";1004,1;5,08;
2411011;"Racibórz (1)";4746,0;6,56;
2411042;"Krzyżanowice (2)";1979,9;12,34;
2411082;"Rudnik (2)";703,8;10,10;
2412000;"Powiat rybnicki";120,7;0,35;
2412042;"Lyski (2)";470,5;2,79;
2413000;"Powiat tarnogórski";242,2;1,11;
2413011;"Kalety (1)";380,1;3,39;
2413021;"Miasteczko Śląskie (1)";162,2;1,48;
2413031;"Radzionków (1)";4697,0;3,67;
2413041;"Tarnowskie Góry (1)";23,8;0,03;
2413052;"Krupski Młyn (2)";307,1;3,78;
2413062;"Ożarowice (2)";435,9;3,44;
2413072;"Świerklaniec (2)";44,8;0,16;
2413082;"Tworóg (2)";24,0;0,36;
2413092;"Zbrosławice (2)";101,1;0,92;
2414000;"Powiat bieruńsko-lędziński";2402,8;6,35;
2414011;"Bieruń (1)";4272,7;8,93;
2414021;"Imielin (1)";2143,6;6,47;
2414031;"Lędziny (1)";2306,5;4,36;
2414042;"Bojszowy (2)";1729,6;7,46;
2414052;"Chełm Śląski (2)";600,1;2,19;
2415000;"Powiat wodzisławski";631,2;1,16;
2415011;"Pszów (1)";244,6;0,36;
2415021;"Radlin (1)";478,9;0,34;
2415031;"Rydułtowy (1)";802,7;0,56;
2415041;"Wodzisław Śląski (1)";969,5;1,01;
2415052;"Godów (2)";446,8;1,23;
2415062;"Gorzyce (2)";511,0;1,54;
2415072;"Lubomia (2)";1436,1;7,59;
2416000;"Powiat zawierciański";404,1;3,47;
2416011;"Poręba (1)";350,1;1,65;
2416021;"Zawiercie (1)";938,4;1,64;
2416042;"Kroczyce (2)";1735,6;30,61;
2416053;"Łazy (3)";225,7;1,89;
2416063;"Ogrodzieniec (3)";472,1;4,44;
2416083;"Szczekociny (3)";373,3;6,63;
2417000;"Powiat żywiecki";126,0;0,86;
2417011;"Żywiec (1)";435,3;0,72;
2417092;"Milówka (2)";374,2;3,69;
2417112;"Rajcza (2)";441,3;6,66;
2417152;"Węgierska Górka (2)";183,1;0,93;
2461000;"Powiat m.Bielsko-Biała";2770,9;2,03;
2461011;"Bielsko-Biała (1)";2770,9;2,03;
2462000;"Powiat m.Bytom";4262,7;1,81;
2462011;"Bytom (1)";4262,7;1,81;
2463000;"Powiat m.Chorzów";9265,9;2,88;
2463011;"Chorzów (1)";9265,9;2,88;
2464000;"Powiat m.Częstochowa";5322,1;3,91;
2464011;"Częstochowa (1)";5322,1;3,91;
2465000;"Powiat m.Dąbrowa Górnicza";2172,4;3,47;
2465011;"Dąbrowa Górnicza (1)";2172,4;3,47;
2466000;"Powiat m.Gliwice";3622,6;2,74;
2466011;"Gliwice (1)";3622,6;2,74;
2467000;"Powiat m.Jastrzębie-Zdrój";3468,9;3,36;
2467011;"Jastrzębie-Zdrój (1)";3468,9;3,36;
2468000;"Powiat m.Jaworzno";1946,4;3,29;
2468011;"Jaworzno (1)";1946,4;3,29;
2469000;"Powiat m.Katowice";5624,4;3,19;
2469011;"Katowice (1)";5624,4;3,19;
2470000;"Powiat m.Mysłowice";350,5;0,31;
2470011;"Mysłowice (1)";350,5;0,31;
2471000;"Powiat m.Piekary Śląskie";2376,2;1,74;
2471011;"Piekary Śląskie (1)";2376,2;1,74;
2472000;"Powiat m.Ruda Śląska";4155,4;2,37;
2472011;"Ruda Śląska (1)";4155,4;2,37;
2473000;"Powiat m.Rybnik";1914,3;2,07;
2473011;"Rybnik (1)";1914,3;2,07;
2474000;"Powiat m.Siemianowice Śląskie";13254,9;5,10;
2474011;"Siemianowice Śląskie (1)";13254,9;5,10;
2475000;"Powiat m.Sosnowiec";5490,9;2,53;
2475011;"Sosnowiec (1)";5490,9;2,53;
2476000;"Powiat m.Świętochłowice";7888,8;2,14;
2476011;"Świętochłowice (1)";7888,8;2,14;
2477000;"Powiat m.Tychy";8189,7;5,28;
2477011;"Tychy (1)";8189,7;5,28;
2478000;"Powiat m.Zabrze";3184,1;1,50;
2478011;"Zabrze (1)";3184,1;1,50;
2479000;"Powiat m.Żory";3480,8;3,58;
2479011;"Żory (1)";3480,8;3,58;
2600000;"ŚWIĘTOKRZYSKIE";335,4;3,21;
2601000;"Powiat buski";176,7;2,40;
2601013;"Busko-Zdrój (3)";131,6;0,97;
2601033;"Nowy Korczyn (3)";188,6;3,80;
2601052;"Solec-Zdrój (2)";364,5;6,16;
2601063;"Stopnica (3)";127,0;2,11;
2601072;"Tuczępy (2)";322,9;7,32;
2601083;"Wiślica (3)";438,6;8,12;
2602000;"Powiat jędrzejowski";137,6;2,04;
2602023;"Jędrzejów (3)";458,9;3,75;
2602033;"Małogoszcz (3)";136,9;1,74;
2602042;"Nagłowice (2)";272,8;6,57;
2602063;"Sędziszów (3)";116,7;1,38;
2603000;"Powiat kazimierski";289,0;3,66;
2603022;"Czarnocin (2)";995,4;18,80;
2603033;"Kazimierza Wielka (3)";150,2;1,31;
2603043;"Opatowiec (3)";175,0;3,72;
2603053;"Skalbmierz (3)";221,1;2,98;
2604000;"Powiat kielecki";403,4;4,29;
2604012;"Bieliny (2)";1122,2;9,65;
2604023;"Bodzentyn (3)";638,5;8,93;
2604033;"Chęciny (3)";1146,1;9,71;
2604043;"Chmielnik (3)";218,0;2,78;
2604053;"Daleszyce (3)";683,5;9,60;
2604062;"Górno (2)";1142,4;6,49;
2604082;"Łopuszno (2)";389,8;7,73;
2604092;"Masłów (2)";654,6;5,03;
2604123;"Morawica (3)";320,6;2,66;
2604133;"Nowa Słupia (3)";688,0;6,30;
2604142;"Piekoszów (2)";252,5;1,58;
2604162;"Raków (2)";15,7;0,54;
2604172;"Nowiny (2)";504,3;2,90;
2605000;"Powiat konecki";336,9;4,86;
2605022;"Gowarczów (2)";19,8;0,44;
2605033;"Końskie (3)";883,5;6,34;
2605043;"Radoszyce (3)";1050,2;17,58;
2605083;"Stąporków (3)";30,2;0,42;
2606000;"Powiat opatowski";214,1;3,78;
2606022;"Iwaniska (2)";791,3;12,74;
2606053;"Ożarów (3)";523,8;9,09;
2606082;"Wojciechowice (2)";185,1;4,01;
2607000;"Powiat ostrowiecki";1183,6;6,78;
2607011;"Ostrowiec Świętokrzyski (1)";10316,6;7,11;
2607022;"Bałtów (2)";942,2;29,56;
2607032;"Bodzechów (2)";548,3;5,08;
2607043;"Ćmielów (3)";720,9;11,67;
2608000;"Powiat pińczowski";101,2;1,61;
2608043;"Pińczów (3)";291,3;3,04;
2609000;"Powiat sandomierski";230,8;2,04;
2609011;"Sandomierz (1)";1185,1;1,48;
2609033;"Klimontów (3)";881,9;11,02;
2609043;"Koprzywnica (3)";490,4;5,20;
2610000;"Powiat skarżyski";88,5;0,48;
2610011;"Skarżysko-Kamienna (1)";543,6;0,79;
2611000;"Powiat starachowicki";263,7;1,56;
2611011;"Starachowice (1)";2042,7;1,36;
2611022;"Brody (2)";297,6;4,46;
2611053;"Wąchock (3)";305,5;3,71;
2612000;"Powiat staszowski";126,5;1,64;
2612043;"Osiek (3)";100,5;1,71;
2612053;"Połaniec (3)";253,3;1,63;
2612073;"Staszów (3)";325,2;2,91;
2612083;"Szydłów (3)";101,9;2,40;
2613000;"Powiat włoszczowski";110,1;2,23;
2613022;"Krasocin (2)";134,9;2,45;
2613052;"Secemin (2)";49,2;1,69;
2613063;"Włoszczowa (3)";259,2;3,45;
2661000;"Powiat m.Kielce";5827,6;3,30;
2661011;"Kielce (1)";5827,6;3,30;
2800000;"WARMIŃSKO-MAZURSKIE";280,2;4,78;
2801000;"Powiat bartoszycki";123,9;2,86;
2801011;"Bartoszyce (1)";3647,2;1,87;
2801021;"Górowo Iławeckie (1)";9638,6;8,23;
2801032;"Bartoszyce (2)";46,8;1,88;
2801043;"Bisztynek (3)";19,7;0,65;
2801052;"Górowo Iławeckie (2)";146,7;8,99;
2801063;"Sępopol (3)";8,1;0,33;
2802000;"Powiat braniewski";76,6;2,26;
2802011;"Braniewo (1)";4029,0;2,95;
2802022;"Braniewo (2)";81,6;4,16;
2802053;"Pieniężno (3)";70,0;2,78;
2803000;"Powiat działdowski";265,2;3,91;
2803011;"Działdowo (1)";8282,5;4,49;
2803022;"Działdowo (2)";227,8;6,31;
2803032;"Iłowo-Osada (2)";48,2;0,70;
2803043;"Lidzbark (3)";160,9;2,94;
2803052;"Płośnica (2)";73,5;2,17;
2803062;"Rybno (2)";256,0;5,31;
2804000;"Powiat elbląski";240,2;5,97;
2804012;"Elbląg (2)";650,9;16,46;
2804073;"Pasłęk (3)";322,1;4,43;
2804082;"Rychliki (2)";828,0;29,25;
2804093;"Tolkmicko (3)";101,0;3,22;
2805000;"Powiat ełcki";231,0;2,81;
2805011;"Ełk (1)";10973,9;3,73;
2805022;"Ełk (2)";68,6;2,18;
2806000;"Powiat giżycki";119,7;2,38;
2806011;"Giżycko (1)";5685,1;2,69;
2806042;"Giżycko (2)";171,7;5,91;
2806052;"Kruklanki (2)";24,8;1,61;
2807000;"Powiat iławski";483,0;7,22;
2807011;"Iława (1)";17138,9;11,29;
2807021;"Lubawa (1)";5938,2;9,64;
2807032;"Iława (2)";264,0;8,57;
2807052;"Lubawa (2)";169,2;3,73;
2807063;"Susz (3)";142,8;2,93;
2807073;"Zalewo (3)";19,7;0,75;
2808000;"Powiat kętrzyński";336,4;6,60;
2808011;"Kętrzyn (1)";8309,2;3,21;
2808022;"Barciany (2)";306,0;14,93;
2808032;"Kętrzyn (2)";189,2;6,56;
2808043;"Korsze (3)";304,2;7,97;
2808062;"Srokowo (2)";525,3;27,40;
2809000;"Powiat lidzbarski";273,5;6,19;
2809011;"Lidzbark Warmiński (1)";7247,4;6,71;
2809032;"Lidzbark Warmiński (2)";96,7;5,35;
2809053;"Orneta (3)";462,7;9,56;
2810000;"Powiat mrągowski";143,6;3,09;
2810011;"Mrągowo (1)";7157,3;4,98;
2810023;"Mikołajki (3)";93,6;2,97;
2810032;"Mrągowo (2)";23,7;0,87;
2810042;"Piecki (2)";50,9;2,12;
2811000;"Powiat nidzicki";280,0;8,24;
2811032;"Kozłowo (2)";66,9;2,87;
2811043;"Nidzica (3)";665,3;12,06;
2812000;"Powiat nowomiejski";425,1;6,75;
2812011;"Nowe Miasto Lubawskie (1)";4925,2;5,23;
2812022;"Biskupiec (2)";99,7;2,58;
2812032;"Grodziczno (2)";142,5;3,52;
2812042;"Kurzętnik (2)";690,8;11,28;
2812052;"Nowe Miasto Lubawskie (2)";650,0;10,83;
2813000;"Powiat olecki";80,1;2,06;
2813032;"Kowale Oleckie (2)";147,3;7,50;
2813043;"Olecko (3)";123,7;1,50;
2814000;"Powiat olsztyński";183,9;4,09;
2814013;"Barczewo (3)";93,7;1,65;
2814023;"Biskupiec (3)";416,7;6,40;
2814033;"Dobre Miasto (3)";38,7;0,64;
2814042;"Dywity (2)";502,6;6,60;
2814052;"Gietrzwałd (2)";325,0;8,30;
2814072;"Jonkowo (2)";124,5;2,80;
2814093;"Olsztynek (3)";64,6;1,76;
2814102;"Purda (2)";62,9;2,29;
2814112;"Stawiguda (2)";713,4;14,19;
2815000;"Powiat ostródzki";173,2;2,96;
2815011;"Ostróda (1)";15547,7;6,72;
2815042;"Łukta (2)";42,9;1,80;
2815083;"Morąg (3)";199,2;2,59;
2815092;"Ostróda (2)";39,9;0,99;
2816000;"Powiat piski";136,4;4,33;
2816023;"Orzysz (3)";135,1;5,55;
2816033;"Pisz (3)";279,3;6,43;
2816043;"Ruciane-Nida (3)";44,7;2,01;
2817000;"Powiat szczycieński";169,7;4,75;
2817011;"Szczytno (1)";6214,7;2,89;
2817043;"Pasym (3)";415,5;11,71;
2817062;"Szczytno (2)";366,8;9,60;
2817072;"Świętajno (2)";232,5;11,36;
2817083;"Wielbark (3)";23,0;1,24;
2818000;"Powiat gołdapski";312,1;9,10;
2818012;"Banie Mazurskie (2)";122,0;6,92;
2818022;"Dubeninki (2)";243,6;17,50;
2818033;"Gołdap (3)";458,5;8,29;
2819000;"Powiat węgorzewski";442,9;13,68;
2819012;"Budry (2)";262,9;16,67;
2819033;"Węgorzewo (3)";764,3;15,87;
2861000;"Powiat m.Elbląg";5788,0;3,90;
2861011;"Elbląg (1)";5788,0;3,90;
2862000;"Powiat m.Olsztyn";11445,7;5,90;
2862011;"Olsztyn (1)";11445,7;5,90;
3000000;"WIELKOPOLSKIE";725,3;6,19;
3001000;"Powiat chodzieski";636,4;9,31;
3001011;"Chodzież (1)";6499,6;4,55;
3001022;"Budzyń (2)";334,8;8,24;
3001032;"Chodzież (2)";79,8;2,77;
3001043;"Margonin (3)";1340,0;25,57;
3001053;"Szamocin (3)";794,5;13,44;
3002000;"Powiat czarnkowsko-trzcianecki";287,4;5,99;
3002011;"Czarnków (1)";12192,7;11,85;
3002022;"Czarnków (2)";63,6;1,92;
3002032;"Drawsko (2)";944,6;26,71;
3002043;"Krzyż Wielkopolski (3)";28,7;0,58;
3002052;"Lubasz (2)";29,9;0,65;
3002073;"Trzcianka (3)";387,7;5,99;
3002083;"Wieleń (3)";148,8;5,27;
3003000;"Powiat gnieźnieński";592,0;5,12;
3003011;"Gniezno (1)";2389,2;1,44;
3003023;"Czerniejewo (3)";1348,9;20,44;
3003032;"Gniezno (2)";207,7;2,93;
3003042;"Kiszkowo (2)";559,0;11,70;
3003053;"Kłecko (3)";363,8;6,46;
3003062;"Łubowo (2)";951,2;15,92;
3003082;"Niechanowo (2)";767,3;13,42;
3003093;"Trzemeszno (3)";85,6;1,05;
3003103;"Witkowo (3)";769,2;10,51;
3004000;"Powiat gostyński";649,2;6,95;
3004013;"Borek Wielkopolski (3)";250,7;4,30;
3004023;"Gostyń (3)";1748,3;8,51;
3004033;"Krobia (3)";733,4;7,35;
3004042;"Pępowo (2)";577,4;8,42;
3004052;"Piaski (2)";694,9;8,13;
3004063;"Pogorzela (3)";134,7;2,65;
3004073;"Poniec (3)";197,1;3,37;
3005000;"Powiat grodziski";962,8;11,90;
3005012;"Granowo (2)";1809,5;23,79;
3005023;"Grodzisk Wielkopolski (3)";2783,0;18,36;
3005043;"Rakoniewice (3)";238,8;3,64;
3005053;"Wielichowo (3)";743,6;11,54;
3006000;"Powiat jarociński";684,5;5,63;
3006013;"Jaraczewo (3)";15,0;0,25;
3006023;"Jarocin (3)";1693,9;7,40;
3006043;"Żerków (3)";358,5;5,97;
3007000;"Powiat kaliski";288,8;4,04;
3007012;"Blizanów (2)";311,1;4,93;
3007032;"Ceków-Kolonia (2)";509,6;9,44;
3007042;"Godziesze Wielkie (2)";408,0;4,44;
3007083;"Opatówek (3)";748,1;7,23;
3007093;"Stawiszyn (3)";318,5;3,53;
3007102;"Szczytniki (2)";861,1;12,18;
3008000;"Powiat kępiński";757,9;8,19;
3008012;"Baranów (2)";3091,0;28,68;
3008033;"Kępno (3)";1243,2;6,32;
3008042;"Łęka Opatowska (2)";270,2;3,94;
3008052;"Perzów (2)";212,4;4,25;
3008072;"Trzcinica (2)";533,0;8,11;
3009000;"Powiat kolski";284,0;3,33;
3009011;"Koło (1)";10974,7;7,15;
3009022;"Babiak (2)";142,0;2,43;
3009043;"Dąbie (3)";107,4;2,24;
3009072;"Koło (2)";185,2;2,42;
3009082;"Kościelec (2)";477,8;7,27;
3009102;"Osiek Mały (2)";217,6;3,09;
3009113;"Przedecz (3)";183,1;3,44;
3010000;"Powiat koniński";491,7;5,97;
3010013;"Golina (3)";970,0;7,95;
3010032;"Kazimierz Biskupi (2)";594,5;5,57;
3010043;"Kleczew (3)";634,7;7,07;
3010052;"Kramsk (2)";568,0;6,62;
3010073;"Rychwał (3)";212,0;3,05;
3010082;"Rzgów (2)";754,8;10,89;
3010092;"Skulsk (2)";117,8;1,64;
3010103;"Sompolno (3)";152,8;2,04;
3010112;"Stare Miasto (2)";562,8;4,40;
3010123;"Ślesin (3)";899,5;9,32;
3010132;"Wierzbinek (2)";271,1;5,54;
3010142;"Wilczyn (2)";1322,1;17,79;
3011000;"Powiat kościański";1428,5;13,09;
3011011;"Kościan (1)";16537,2;6,28;
3011023;"Czempiń (3)";1322,2;16,30;
3011032;"Kościan (2)";1891,4;23,64;
3011043;"Krzywiń (3)";648,2;11,69;
3011053;"Śmigiel (3)";1032,8;11,21;
3012000;"Powiat krotoszyński";396,5;3,68;
3012023;"Kobylin (3)";249,8;3,48;
3012033;"Koźmin Wielkopolski (3)";118,1;1,37;
3012043;"Krotoszyn (3)";621,6;3,95;
3012052;"Rozdrażew (2)";517,7;7,96;
3012063;"Zduny (3)";436,0;4,90;
3013000;"Powiat leszczyński";1430,9;19,91;
3013012;"Krzemieniewo (2)";1890,6;25,87;
3013022;"Lipno (2)";1280,7;15,36;
3013033;"Osieczna (3)";1655,8;22,87;
3013043;"Rydzyna (3)";2146,0;29,59;
3013052;"Święciechowa (2)";667,0;10,96;
3013062;"Wijewo (2)";355,8;5,70;
3013072;"Włoszakowice (2)";1487,3;19,48;
3014000;"Powiat międzychodzki";105,9;2,13;
3014012;"Chrzypsko Wielkie (2)";35,5;0,91;
3014033;"Międzychód (3)";110,7;1,86;
3014043;"Sieraków (3)";201,9;4,74;
3015000;"Powiat nowotomyski";699,5;9,38;
3015012;"Kuślin (2)";244,2;4,76;
3015023;"Lwówek (3)";577,5;11,76;
3015032;"Miedzichowo (2)";211,3;11,77;
3015043;"Nowy Tomyśl (3)";1131,7;7,76;
3015053;"Opalenica (3)";1020,8;9,29;
3015063;"Zbąszyń (3)";944,5;12,32;
3016000;"Powiat obornicki";596,3;7,09;
3016013;"Oborniki (3)";1111,6;11,06;
3016023;"Rogoźno (3)";212,7;2,50;
3017000;"Powiat ostrowski";914,6;6,58;
3017011;"Ostrów Wielkopolski (1)";12577,6;7,36;
3017023;"Nowe Skalmierzyce (3)";526,2;4,22;
3017033;"Odolanów (3)";1153,6;10,70;
3017042;"Ostrów Wielkopolski (2)";827,5;8,98;
3017052;"Przygodzice (2)";275,4;3,68;
3017063;"Raszków (3)";646,5;7,32;
3017072;"Sieroszewice (2)";42,9;0,72;
3018000;"Powiat ostrzeszowski";393,5;5,50;
3018012;"Czajków (2)";84,8;2,40;
3018033;"Grabów nad Prosną (3)";517,0;8,23;
3018042;"Kobyla Góra (2)";92,9;1,96;
3018052;"Kraszewice (2)";93,4;1,92;
