"Kod";"Nazwa";"wskaźnik świadczenia usług odbioru odpadów komunalnych z nieruchomości zamieszkanych;2020;[%]";"wskaźnik efektywności kosztowej ogółem usług odebranych odpadów komunalnych;2020;[zł/t]";
1004052;"Łęczyca (2)";83,1;1039,80;
1004063;"Piątek (3)";86,0;1200,63;
1004064;"Piątek - miasto (4)";0,0;0,00;
1004065;"Piątek - obszar wiejski (5)";0,0;0,00;
1004072;"Świnice Warckie (2)";90,7;1347,67;
1004082;"Witonia (2)";91,7;1080,69;
1005000;"Powiat łowicki";0,0;0,00;
1005011;"Łowicz (1)";76,6;814,43;
1005022;"Bielawy (2)";74,7;1013,80;
1005032;"Chąśno (2)";94,2;1309,43;
1005042;"Domaniewice (2)";93,1;1252,32;
1005052;"Kiernozia (2)";92,8;1380,51;
1005062;"Kocierzew Południowy (2)";90,4;1225,94;
1005072;"Łowicz (2)";87,7;1098,99;
1005082;"Łyszkowice (2)";80,5;1149,30;
1005092;"Nieborów (2)";86,3;1108,58;
1005102;"Zduny (2)";87,6;1130,44;
1006000;"Powiat łódzki wschodni";0,0;0,00;
1006022;"Andrespol (2)";84,1;727,17;
1006032;"Brójce (2)";82,5;783,92;
1006073;"Koluszki (3)";67,1;802,97;
1006074;"Koluszki - miasto (4)";0,0;0,00;
1006075;"Koluszki - obszar wiejski (5)";0,0;0,00;
1006082;"Nowosolna (2)";100,0;600,08;
1006103;"Rzgów (3)";56,7;168,99;
1006104;"Rzgów - miasto (4)";0,0;0,00;
1006105;"Rzgów - obszar wiejski (5)";0,0;0,00;
1006113;"Tuszyn (3)";51,7;785,68;
1006114;"Tuszyn - miasto (4)";0,0;0,00;
1006115;"Tuszyn - obszar wiejski (5)";0,0;0,00;
1007000;"Powiat opoczyński";0,0;0,00;
1007012;"Białaczów (2)";87,2;698,61;
1007023;"Drzewica (3)";83,7;871,96;
1007024;"Drzewica - miasto (4)";0,0;0,00;
1007025;"Drzewica - obszar wiejski (5)";0,0;0,00;
1007032;"Mniszków (2)";94,6;690,94;
1007043;"Opoczno (3)";75,5;443,41;
1007044;"Opoczno - miasto (4)";0,0;0,00;
1007045;"Opoczno - obszar wiejski (5)";0,0;0,00;
1007052;"Paradyż (2)";77,4;574,03;
1007062;"Poświętne (2)";88,9;749,99;
1007072;"Sławno (2)";79,1;679,96;
1007082;"Żarnów (2)";80,3;708,00;
1008000;"Powiat pabianicki";0,0;0,00;
1008011;"Konstantynów Łódzki (1)";85,5;713,68;
1008021;"Pabianice (1)";72,8;641,60;
1008032;"Dłutów (2)";84,4;437,65;
1008042;"Dobroń (2)";56,7;296,38;
1008052;"Ksawerów (2)";66,5;492,80;
1008062;"Lutomiersk (2)";78,3;791,93;
1008072;"Pabianice (2)";75,0;570,33;
1009000;"Powiat pajęczański";0,0;0,00;
1009013;"Działoszyn (3)";79,8;829,18;
1009014;"Działoszyn - miasto (4)";0,0;0,00;
1009015;"Działoszyn - obszar wiejski (5)";0,0;0,00;
1009022;"Kiełczygłów (2)";81,7;588,98;
1009032;"Nowa Brzeźnica (2)";77,1;825,89;
1009043;"Pajęczno (3)";79,1;494,05;
1009044;"Pajęczno - miasto (4)";0,0;0,00;
1009045;"Pajęczno - obszar wiejski (5)";0,0;0,00;
1009052;"Rząśnia (2)";77,7;825,18;
1009062;"Siemkowice (2)";69,8;709,82;
1009072;"Strzelce Wielkie (2)";92,4;917,76;
1009082;"Sulmierzyce (2)";72,1;889,65;
1010000;"Powiat piotrkowski";0,0;0,00;
1010012;"Aleksandrów (2)";92,4;1073,96;
1010022;"Czarnocin (2)";88,8;999,07;
1010032;"Gorzkowice (2)";82,9;823,62;
1010042;"Grabica (2)";91,0;669,58;
1010052;"Łęki Szlacheckie (2)";99,6;1333,27;
1010062;"Moszczenica (2)";92,2;436,49;
1010072;"Ręczno (2)";84,7;988,63;
1010082;"Rozprza (2)";82,5;855,72;
1010093;"Sulejów (3)";84,7;851,21;
1010094;"Sulejów - miasto (4)";0,0;0,00;
1010095;"Sulejów - obszar wiejski (5)";0,0;0,00;
1010102;"Wola Krzysztoporska (2)";77,0;496,20;
1010113;"Wolbórz (3)";57,2;655,27;
1010114;"Wolbórz - miasto (4)";0,0;0,00;
1010115;"Wolbórz - obszar wiejski (5)";0,0;0,00;
1011000;"Powiat poddębicki";0,0;0,00;
1011012;"Dalików (2)";91,4;890,12;
1011022;"Pęczniew (2)";92,6;597,50;
1011033;"Poddębice (3)";85,5;980,56;
1011034;"Poddębice - miasto (4)";0,0;0,00;
1011035;"Poddębice - obszar wiejski (5)";0,0;0,00;
1011043;"Uniejów (3)";65,8;898,16;
1011044;"Uniejów - miasto (4)";0,0;0,00;
1011045;"Uniejów - obszar wiejski (5)";0,0;0,00;
1011052;"Wartkowice (2)";84,1;811,06;
1011062;"Zadzim (2)";91,4;924,97;
1012000;"Powiat radomszczański";0,0;0,00;
1012011;"Radomsko (1)";73,2;361,31;
1012022;"Dobryszyce (2)";84,7;772,68;
1012032;"Gidle (2)";81,1;963,79;
1012042;"Gomunice (2)";91,3;1025,90;
1012053;"Kamieńsk (3)";86,4;1188,31;
1012054;"Kamieńsk - miasto (4)";0,0;0,00;
1012055;"Kamieńsk - obszar wiejski (5)";0,0;0,00;
1012062;"Kobiele Wielkie (2)";89,1;860,08;
1012072;"Kodrąb (2)";87,4;719,52;
1012082;"Lgota Wielka (2)";88,4;802,08;
1012092;"Ładzice (2)";84,3;942,63;
1012102;"Masłowice (2)";82,2;1011,37;
1012113;"Przedbórz (3)";91,1;963,51;
1012114;"Przedbórz - miasto (4)";0,0;0,00;
1012115;"Przedbórz - obszar wiejski (5)";0,0;0,00;
1012122;"Radomsko (2)";88,1;776,00;
1012132;"Wielgomłyny (2)";85,7;1021,39;
1012142;"Żytno (2)";91,4;1221,48;
1013000;"Powiat rawski";0,0;0,00;
1013011;"Rawa Mazowiecka (1)";86,0;466,21;
1013023;"Biała Rawska (3)";86,6;1046,33;
1013024;"Biała Rawska - miasto (4)";0,0;0,00;
1013025;"Biała Rawska - obszar wiejski (5)";0,0;0,00;
1013032;"Cielądz (2)";89,7;952,74;
1013042;"Rawa Mazowiecka (2)";91,2;982,09;
1013052;"Regnów (2)";85,9;650,10;
1013062;"Sadkowice (2)";89,3;948,25;
1014000;"Powiat sieradzki";0,0;0,00;
1014011;"Sieradz (1)";84,3;724,22;
1014023;"Błaszki (3)";96,5;568,74;
1014024;"Błaszki - miasto (4)";0,0;0,00;
1014025;"Błaszki - obszar wiejski (5)";0,0;0,00;
1014032;"Brąszewice (2)";75,5;852,12;
1014042;"Brzeźnio (2)";73,2;735,27;
1014052;"Burzenin (2)";72,3;813,77;
1014062;"Goszczanów (2)";85,0;712,96;
1014072;"Klonowa (2)";83,6;894,92;
1014082;"Sieradz (2)";92,0;819,17;
1014093;"Warta (3)";87,0;966,54;
1014094;"Warta - miasto (4)";0,0;0,00;
1014095;"Warta - obszar wiejski (5)";0,0;0,00;
1014102;"Wróblew (2)";91,6;717,00;
1014113;"Złoczew (3)";78,1;321,91;
1014114;"Złoczew - miasto (4)";0,0;0,00;
1014115;"Złoczew - obszar wiejski (5)";0,0;0,00;
1015000;"Powiat skierniewicki";0,0;0,00;
1015012;"Bolimów (2)";73,3;878,83;
1015022;"Głuchów (2)";96,6;1104,16;
1015032;"Godzianów (2)";89,3;1279,09;
1015042;"Kowiesy (2)";92,4;581,80;
1015052;"Lipce Reymontowskie (2)";83,9;877,71;
1015062;"Maków (2)";84,4;1075,18;
1015072;"Nowy Kawęczyn (2)";83,8;732,97;
1015082;"Skierniewice (2)";56,8;660,91;
1015092;"Słupia (2)";90,3;448,39;
1016000;"Powiat tomaszowski";0,0;0,00;
1016011;"Tomaszów Mazowiecki (1)";85,4;612,70;
1016022;"Będków (2)";95,8;1004,27;
1016032;"Budziszewice (2)";89,7;963,48;
1016042;"Czerniewice (2)";75,4;921,21;
1016052;"Inowłódz (2)";67,8;991,19;
1016062;"Lubochnia (2)";73,1;560,03;
1016072;"Rokiciny (2)";92,5;626,44;
1016082;"Rzeczyca (2)";85,3;919,25;
1016092;"Tomaszów Mazowiecki (2)";80,5;297,17;
1016102;"Ujazd (2)";67,9;740,85;
1016112;"Żelechlinek (2)";74,3;924,54;
1017000;"Powiat wieluński";0,0;0,00;
1017012;"Biała (2)";76,6;348,73;
1017022;"Czarnożyły (2)";79,9;345,52;
1017032;"Konopnica (2)";72,5;769,93;
1017042;"Mokrsko (2)";78,9;636,65;
1017052;"Osjaków (2)";75,1;715,44;
1017062;"Ostrówek (2)";78,6;527,26;
1017072;"Pątnów (2)";80,2;439,38;
1017082;"Skomlin (2)";81,9;565,79;
1017093;"Wieluń (3)";80,0;636,04;
1017094;"Wieluń - miasto (4)";0,0;0,00;
1017095;"Wieluń - obszar wiejski (5)";0,0;0,00;
1017102;"Wierzchlas (2)";91,6;1386,62;
1018000;"Powiat wieruszowski";0,0;0,00;
1018012;"Bolesławiec (2)";86,1;1021,34;
1018022;"Czastary (2)";87,6;726,23;
1018032;"Galewice (2)";77,4;698,31;
1018043;"Lututów (3)";56,3;618,08;
1018044;"Lututów - miasto (4)";0,0;0,00;
1018045;"Lututów - obszar wiejski (5)";0,0;0,00;
1018052;"Łubnice (2)";91,6;632,95;
1018062;"Sokolniki (2)";49,1;434,39;
1018073;"Wieruszów (3)";78,5;612,55;
1018074;"Wieruszów - miasto (4)";0,0;0,00;
1018075;"Wieruszów - obszar wiejski (5)";0,0;0,00;
1019000;"Powiat zduńskowolski";0,0;0,00;
1019011;"Zduńska Wola (1)";90,6;602,56;
1019023;"Szadek (3)";71,6;526,10;
1019024;"Szadek - miasto (4)";0,0;0,00;
1019025;"Szadek - obszar wiejski (5)";0,0;0,00;
1019032;"Zapolice (2)";93,1;858,39;
1019042;"Zduńska Wola (2)";92,7;959,77;
1020000;"Powiat zgierski";0,0;0,00;
1020011;"Głowno (1)";50,9;1262,90;
1020021;"Ozorków (1)";75,1;832,87;
1020031;"Zgierz (1)";90,8;935,93;
1020043;"Aleksandrów Łódzki (3)";85,7;589,27;
1020044;"Aleksandrów Łódzki - miasto (4)";0,0;0,00;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";0,0;0,00;
1020052;"Głowno (2)";82,2;994,51;
1020062;"Ozorków (2)";86,5;956,46;
1020072;"Parzęczew (2)";68,9;968,28;
1020083;"Stryków (3)";73,9;404,52;
1020084;"Stryków - miasto (4)";0,0;0,00;
1020085;"Stryków - obszar wiejski (5)";0,0;0,00;
1020092;"Zgierz (2)";96,5;585,61;
1021000;"Powiat brzeziński";0,0;0,00;
1021011;"Brzeziny (1)";90,9;935,18;
1021022;"Brzeziny (2)";89,6;1109,09;
1021032;"Dmosin (2)";81,6;924,71;
1021042;"Jeżów (2)";83,3;886,29;
1021052;"Rogów (2)";79,3;651,61;
1061000;"Powiat m.Łódź";86,0;844,64;
1061011;"Łódź (1)";86,0;844,64;
1062000;"Powiat m.Piotrków Trybunalski";89,6;459,27;
1062011;"Piotrków Trybunalski (1)";89,6;459,27;
1063000;"Powiat m.Skierniewice";82,3;593,18;
1063011;"Skierniewice (1)";82,3;593,18;
1200000;"MAŁOPOLSKIE";85,6;736,60;
1201000;"Powiat bocheński";0,0;0,00;
1201011;"Bochnia (1)";64,2;555,14;
1201022;"Bochnia (2)";90,2;1047,62;
1201032;"Drwinia (2)";80,9;584,98;
1201042;"Lipnica Murowana (2)";62,8;1034,20;
1201052;"Łapanów (2)";76,6;1047,27;
1201063;"Nowy Wiśnicz (3)";77,8;1000,71;
1201064;"Nowy Wiśnicz - miasto (4)";0,0;0,00;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";0,0;0,00;
1201072;"Rzezawa (2)";91,7;1121,08;
1201082;"Trzciana (2)";75,8;916,25;
1201092;"Żegocina (2)";82,4;989,85;
1202000;"Powiat brzeski";0,0;0,00;
1202012;"Borzęcin (2)";89,9;947,55;
1202023;"Brzesko (3)";79,4;789,89;
1202024;"Brzesko - miasto (4)";0,0;0,00;
1202025;"Brzesko - obszar wiejski (5)";0,0;0,00;
1202033;"Czchów (3)";68,8;1025,47;
1202034;"Czchów - miasto (4)";0,0;0,00;
1202035;"Czchów - obszar wiejski (5)";0,0;0,00;
1202042;"Dębno (2)";84,1;566,62;
1202052;"Gnojnik (2)";63,8;766,31;
1202062;"Iwkowa (2)";52,0;858,19;
1202072;"Szczurowa (2)";89,4;1291,90;
1203000;"Powiat chrzanowski";0,0;0,00;
1203013;"Alwernia (3)";81,7;827,41;
1203014;"Alwernia - miasto (4)";0,0;0,00;
1203015;"Alwernia - obszar wiejski (5)";0,0;0,00;
1203022;"Babice (2)";96,4;1445,47;
1203033;"Chrzanów (3)";90,8;867,18;
1203034;"Chrzanów - miasto (4)";0,0;0,00;
1203035;"Chrzanów - obszar wiejski (5)";0,0;0,00;
1203043;"Libiąż (3)";92,4;791,46;
1203044;"Libiąż - miasto (4)";0,0;0,00;
1203045;"Libiąż - obszar wiejski (5)";0,0;0,00;
1203053;"Trzebinia (3)";86,6;1013,40;
1203054;"Trzebinia - miasto (4)";0,0;0,00;
1203055;"Trzebinia - obszar wiejski (5)";0,0;0,00;
1204000;"Powiat dąbrowski";0,0;0,00;
1204012;"Bolesław (2)";88,1;3466,46;
1204023;"Dąbrowa Tarnowska (3)";87,5;1016,77;
1204024;"Dąbrowa Tarnowska - miasto (4)";0,0;0,00;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";0,0;0,00;
1204032;"Gręboszów (2)";95,0;1317,39;
1204042;"Mędrzechów (2)";84,9;842,24;
1204052;"Olesno (2)";92,0;881,88;
1204062;"Radgoszcz (2)";91,9;1070,51;
1204073;"Szczucin (3)";88,6;818,78;
1204074;"Szczucin - miasto (4)";0,0;0,00;
1204075;"Szczucin - obszar wiejski (5)";0,0;0,00;
1205000;"Powiat gorlicki";0,0;0,00;
1205011;"Gorlice (1)";70,0;817,51;
1205023;"Biecz (3)";87,2;1028,47;
1205024;"Biecz - miasto (4)";0,0;0,00;
1205025;"Biecz - obszar wiejski (5)";0,0;0,00;
1205033;"Bobowa (3)";70,6;1006,98;
1205034;"Bobowa - miasto (4)";0,0;0,00;
1205035;"Bobowa - obszar wiejski (5)";0,0;0,00;
1205042;"Gorlice (2)";82,5;1018,12;
1205052;"Lipinki (2)";91,3;813,54;
1205062;"Łużna (2)";97,8;1375,64;
1205072;"Moszczenica (2)";92,2;563,01;
1205082;"Ropa (2)";89,5;1134,34;
1205092;"Sękowa (2)";81,8;1036,09;
1205102;"Uście Gorlickie (2)";90,6;1086,06;
1206000;"Powiat krakowski";0,0;0,00;
1206012;"Czernichów (2)";88,7;1023,88;
1206022;"Igołomia-Wawrzeńczyce (2)";88,9;1115,46;
1206032;"Iwanowice (2)";92,8;1115,55;
1206042;"Jerzmanowice-Przeginia (2)";88,9;871,86;
1206052;"Kocmyrzów-Luborzyca (2)";93,6;743,91;
1206063;"Krzeszowice (3)";76,9;1317,44;
1206064;"Krzeszowice - miasto (4)";0,0;0,00;
1206065;"Krzeszowice - obszar wiejski (5)";0,0;0,00;
1206072;"Liszki (2)";70,2;1128,76;
1206082;"Michałowice (2)";75,1;1027,77;
1206092;"Mogilany (2)";96,8;702,56;
1206103;"Skała (3)";97,5;291,87;
1206104;"Skała - miasto (4)";0,0;0,00;
1206105;"Skała - obszar wiejski (5)";0,0;0,00;
1206113;"Skawina (3)";74,2;991,89;
1206114;"Skawina - miasto (4)";0,0;0,00;
1206115;"Skawina - obszar wiejski (5)";0,0;0,00;
1206123;"Słomniki (3)";88,6;1145,73;
1206124;"Słomniki - miasto (4)";0,0;0,00;
1206125;"Słomniki - obszar wiejski (5)";0,0;0,00;
1206132;"Sułoszowa (2)";89,9;795,50;
1206143;"Świątniki Górne (3)";83,0;270,55;
1206144;"Świątniki Górne - miasto (4)";0,0;0,00;
1206145;"Świątniki Górne - obszar wiejski (5)";0,0;0,00;
1206152;"Wielka Wieś (2)";91,4;822,27;
1206162;"Zabierzów (2)";84,8;549,03;
1206172;"Zielonki (2)";92,7;1023,84;
1207000;"Powiat limanowski";0,0;0,00;
1207011;"Limanowa (1)";62,4;752,83;
1207021;"Mszana Dolna (1)";67,8;792,20;
1207032;"Dobra (2)";85,8;1198,74;
1207042;"Jodłownik (2)";79,8;799,14;
1207052;"Kamienica (2)";83,0;967,15;
1207062;"Laskowa (2)";67,7;852,12;
1207072;"Limanowa (2)";81,8;1032,38;
1207082;"Łukowica (2)";87,0;2136,64;
1207092;"Mszana Dolna (2)";92,6;1178,30;
1207102;"Niedźwiedź (2)";83,7;953,13;
1207112;"Słopnice (2)";84,4;1004,04;
1207122;"Tymbark (2)";74,5;991,35;
1208000;"Powiat miechowski";0,0;0,00;
1208012;"Charsznica (2)";82,1;1168,95;
1208022;"Gołcza (2)";88,4;954,11;
1208032;"Kozłów (2)";99,0;1295,53;
1208042;"Książ Wielki (2)";86,6;1259,06;
1208053;"Miechów (3)";77,6;653,53;
1208054;"Miechów - miasto (4)";0,0;0,00;
1208055;"Miechów - obszar wiejski (5)";0,0;0,00;
1208062;"Racławice (2)";87,4;1330,39;
1208072;"Słaboszów (2)";94,7;1529,33;
1209000;"Powiat myślenicki";0,0;0,00;
1209013;"Dobczyce (3)";74,8;572,92;
1209014;"Dobczyce - miasto (4)";0,0;0,00;
1209015;"Dobczyce - obszar wiejski (5)";0,0;0,00;
1209022;"Lubień (2)";72,5;1381,89;
1209033;"Myślenice (3)";44,7;430,10;
1209034;"Myślenice - miasto (4)";0,0;0,00;
1209035;"Myślenice - obszar wiejski (5)";0,0;0,00;
1209042;"Pcim (2)";75,4;917,23;
1209052;"Raciechowice (2)";79,6;828,05;
1209062;"Siepraw (2)";75,4;955,12;
1209073;"Sułkowice (3)";83,1;927,72;
1209074;"Sułkowice - miasto (4)";0,0;0,00;
1209075;"Sułkowice - obszar wiejski (5)";0,0;0,00;
1209082;"Tokarnia (2)";99,0;1081,31;
1209092;"Wiśniowa (2)";88,7;1152,58;
1210000;"Powiat nowosądecki";0,0;0,00;
1210011;"Grybów (1)";99,4;751,45;
1210022;"Chełmiec (2)";85,5;868,28;
1210032;"Gródek nad Dunajcem (2)";72,6;988,96;
1210042;"Grybów (2)";91,6;1127,89;
1210052;"Kamionka Wielka (2)";82,1;1291,70;
1210062;"Korzenna (2)";82,4;1108,13;
1210073;"Krynica-Zdrój (3)";59,2;784,14;
1210074;"Krynica-Zdrój - miasto (4)";0,0;0,00;
1210075;"Krynica-Zdrój - obszar wiejski (5)";0,0;0,00;
1210082;"Łabowa (2)";75,8;1183,94;
1210092;"Łącko (2)";87,4;849,89;
1210102;"Łososina Dolna (2)";71,1;953,27;
1210113;"Muszyna (3)";75,9;692,93;
1210114;"Muszyna - miasto (4)";0,0;0,00;
1210115;"Muszyna - obszar wiejski (5)";0,0;0,00;
1210122;"Nawojowa (2)";80,5;739,58;
1210133;"Piwniczna-Zdrój (3)";63,1;756,74;
1210134;"Piwniczna-Zdrój - miasto (4)";0,0;0,00;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";0,0;0,00;
1210142;"Podegrodzie (2)";83,2;891,87;
1210152;"Rytro (2)";82,4;1176,97;
1210163;"Stary Sącz (3)";88,4;760,50;
1210164;"Stary Sącz - miasto (4)";0,0;0,00;
1210165;"Stary Sącz - obszar wiejski (5)";0,0;0,00;
1211000;"Powiat nowotarski";0,0;0,00;
1211011;"Nowy Targ (1)";82,1;871,43;
1211023;"Szczawnica (3)";91,1;508,84;
1211024;"Szczawnica - miasto (4)";0,0;0,00;
1211025;"Szczawnica - obszar wiejski (5)";0,0;0,00;
1211032;"Czarny Dunajec (2)";71,8;902,37;
1211042;"Czorsztyn (2)";58,0;682,67;
1211052;"Jabłonka (2)";73,5;960,02;
1211062;"Krościenko nad Dunajcem (2)";64,9;630,36;
1211072;"Lipnica Wielka (2)";100,0;1422,24;
1211082;"Łapsze Niżne (2)";82,1;799,81;
1211092;"Nowy Targ (2)";85,4;1024,30;
1211102;"Ochotnica Dolna (2)";82,8;876,91;
1211112;"Raba Wyżna (2)";85,1;905,17;
1211123;"Rabka-Zdrój (3)";65,0;882,76;
1211124;"Rabka-Zdrój - miasto (4)";0,0;0,00;
1211125;"Rabka-Zdrój - obszar wiejski (5)";0,0;0,00;
1211132;"Spytkowice (2)";87,7;1049,54;
1211142;"Szaflary (2)";80,2;772,74;
1212000;"Powiat olkuski";0,0;0,00;
1212011;"Bukowno (1)";85,7;697,07;
1212032;"Bolesław (2)";88,1;515,53;
1212042;"Klucze (2)";83,9;653,30;
1212053;"Olkusz (3)";79,8;647,83;
1212054;"Olkusz - miasto (4)";0,0;0,00;
1212055;"Olkusz - obszar wiejski (5)";0,0;0,00;
1212062;"Trzyciąż (2)";82,0;806,01;
1212073;"Wolbrom (3)";100,0;786,52;
1212074;"Wolbrom - miasto (4)";0,0;0,00;
1212075;"Wolbrom - obszar wiejski (5)";0,0;0,00;
1213000;"Powiat oświęcimski";0,0;0,00;
1213011;"Oświęcim (1)";87,1;595,62;
1213023;"Brzeszcze (3)";93,1;515,70;
1213024;"Brzeszcze - miasto (4)";0,0;0,00;
1213025;"Brzeszcze - obszar wiejski (5)";0,0;0,00;
1213033;"Chełmek (3)";85,3;533,48;
1213034;"Chełmek - miasto (4)";0,0;0,00;
1213035;"Chełmek - obszar wiejski (5)";0,0;0,00;
1213043;"Kęty (3)";81,6;431,74;
1213044;"Kęty - miasto (4)";0,0;0,00;
1213045;"Kęty - obszar wiejski (5)";0,0;0,00;
1213052;"Osiek (2)";92,7;589,37;
1213062;"Oświęcim (2)";92,7;718,80;
1213072;"Polanka Wielka (2)";90,7;785,95;
1213082;"Przeciszów (2)";94,1;838,37;
1213093;"Zator (3)";97,4;842,39;
1213094;"Zator - miasto (4)";0,0;0,00;
1213095;"Zator - obszar wiejski (5)";0,0;0,00;
1214000;"Powiat proszowicki";0,0;0,00;
1214012;"Koniusza (2)";94,4;1633,27;
1214023;"Koszyce (3)";96,6;1635,70;
1214024;"Koszyce - miasto (4)";0,0;0,00;
1214025;"Koszyce - obszar wiejski (5)";0,0;0,00;
1214033;"Nowe Brzesko (3)";94,0;1216,07;
1214034;"Nowe Brzesko - miasto (4)";0,0;0,00;
1214035;"Nowe Brzesko - obszar wiejski (5)";0,0;0,00;
1214042;"Pałecznica (2)";96,0;2305,13;
1214053;"Proszowice (3)";77,4;766,27;
1214054;"Proszowice - miasto (4)";0,0;0,00;
1214055;"Proszowice - obszar wiejski (5)";0,0;0,00;
1214062;"Radziemice (2)";94,7;873,47;
1215000;"Powiat suski";0,0;0,00;
1215011;"Jordanów (1)";83,8;840,80;
1215021;"Sucha Beskidzka (1)";91,5;857,10;
1215032;"Budzów (2)";100,0;683,39;
1215042;"Bystra-Sidzina (2)";99,0;1413,99;
1215052;"Jordanów (2)";98,4;757,95;
1215063;"Maków Podhalański (3)";87,8;979,16;
1215064;"Maków Podhalański - miasto (4)";0,0;0,00;
1215065;"Maków Podhalański - obszar wiejski (5)";0,0;0,00;
1215072;"Stryszawa (2)";81,7;556,57;
1215082;"Zawoja (2)";80,0;760,83;
1215092;"Zembrzyce (2)";86,6;1022,20;
1216000;"Powiat tarnowski";0,0;0,00;
1216013;"Ciężkowice (3)";85,8;1010,84;
1216014;"Ciężkowice - miasto (4)";0,0;0,00;
1216015;"Ciężkowice - obszar wiejski (5)";0,0;0,00;
1216022;"Gromnik (2)";95,0;713,76;
1216032;"Lisia Góra (2)";76,1;1329,20;
1216042;"Pleśna (2)";93,3;543,13;
1216053;"Radłów (3)";92,4;624,81;
1216054;"Radłów - miasto (4)";0,0;0,00;
1216055;"Radłów - obszar wiejski (5)";0,0;0,00;
1216063;"Ryglice (3)";95,0;1001,90;
1216064;"Ryglice - miasto (4)";0,0;0,00;
1216065;"Ryglice - obszar wiejski (5)";0,0;0,00;
1216072;"Rzepiennik Strzyżewski (2)";95,0;1062,73;
1216082;"Skrzyszów (2)";82,3;575,09;
1216092;"Tarnów (2)";61,5;340,80;
1216103;"Tuchów (3)";81,6;1149,98;
1216104;"Tuchów - miasto (4)";0,0;0,00;
1216105;"Tuchów - obszar wiejski (5)";0,0;0,00;
1216112;"Wierzchosławice (2)";75,9;506,52;
1216122;"Wietrzychowice (2)";94,0;1625,30;
1216133;"Wojnicz (3)";97,7;1009,40;
1216134;"Wojnicz - miasto (4)";0,0;0,00;
1216135;"Wojnicz - obszar wiejski (5)";0,0;0,00;
1216143;"Zakliczyn (3)";82,0;538,59;
1216144;"Zakliczyn - miasto (4)";0,0;0,00;
1216145;"Zakliczyn - obszar wiejski (5)";0,0;0,00;
1216153;"Żabno (3)";71,5;887,53;
1216154;"Żabno - miasto (4)";0,0;0,00;
1216155;"Żabno - obszar wiejski (5)";0,0;0,00;
1216162;"Szerzyny (2)";100,0;1089,55;
1217000;"Powiat tatrzański";0,0;0,00;
1217011;"Zakopane (1)";98,1;912,90;
1217022;"Biały Dunajec (2)";100,0;894,72;
1217032;"Bukowina Tatrzańska (2)";91,8;1042,57;
1217042;"Kościelisko (2)";93,4;1146,31;
1217052;"Poronin (2)";81,5;1066,32;
1218000;"Powiat wadowicki";0,0;0,00;
1218013;"Andrychów (3)";79,0;580,72;
1218014;"Andrychów - miasto (4)";0,0;0,00;
1218015;"Andrychów - obszar wiejski (5)";0,0;0,00;
1218022;"Brzeźnica (2)";87,0;1032,15;
1218033;"Kalwaria Zebrzydowska (3)";80,4;867,40;
1218034;"Kalwaria Zebrzydowska - miasto (4)";0,0;0,00;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";0,0;0,00;
1218042;"Lanckorona (2)";81,9;799,73;
1218052;"Mucharz (2)";95,5;511,31;
1218062;"Spytkowice (2)";87,7;809,53;
1218072;"Stryszów (2)";84,8;784,39;
1218082;"Tomice (2)";79,2;905,59;
1218093;"Wadowice (3)";75,6;664,33;
1218094;"Wadowice - miasto (4)";0,0;0,00;
1218095;"Wadowice - obszar wiejski (5)";0,0;0,00;
1218102;"Wieprz (2)";92,1;859,19;
1219000;"Powiat wielicki";0,0;0,00;
1219012;"Biskupice (2)";81,4;875,25;
1219022;"Gdów (2)";79,7;870,27;
1219032;"Kłaj (2)";75,1;1165,70;
1219043;"Niepołomice (3)";71,4;694,81;
1219044;"Niepołomice - miasto (4)";0,0;0,00;
1219045;"Niepołomice - obszar wiejski (5)";0,0;0,00;
1219053;"Wieliczka (3)";88,9;268,71;
1219054;"Wieliczka - miasto (4)";0,0;0,00;
1219055;"Wieliczka - obszar wiejski (5)";0,0;0,00;
1261000;"Powiat m.Kraków";95,3;637,09;
1261011;"Kraków (1)";95,3;637,09;
1262000;"Powiat m.Nowy Sącz";75,2;460,98;
1262011;"Nowy Sącz (1)";75,2;460,98;
1263000;"Powiat m.Tarnów";70,0;685,03;
1263011;"Tarnów (1)";70,0;685,03;
1400000;"MAZOWIECKIE";84,6;1209,64;
1401000;"Powiat białobrzeski";0,0;0,00;
1401013;"Białobrzegi (3)";66,4;772,93;
1401014;"Białobrzegi - miasto (4)";0,0;0,00;
1401015;"Białobrzegi - obszar wiejski (5)";0,0;0,00;
1401022;"Promna (2)";90,7;2247,53;
1401032;"Radzanów (2)";86,8;891,48;
1401042;"Stara Błotnica (2)";84,9;900,31;
1401052;"Stromiec (2)";80,0;747,61;
1401063;"Wyśmierzyce (3)";86,8;691,59;
1401064;"Wyśmierzyce - miasto (4)";0,0;0,00;
1401065;"Wyśmierzyce - obszar wiejski (5)";0,0;0,00;
1402000;"Powiat ciechanowski";0,0;0,00;
1402011;"Ciechanów (1)";99,5;462,58;
1402022;"Ciechanów (2)";93,6;600,16;
1402033;"Glinojeck (3)";100,0;897,09;
