"Kod";"Nazwa";"stadiony;ogółem;2018;[ob.]";"hale sportowe o wymiarach od 36x19 m;ogółem;2018;[ob.]";"sale gimnastyczne o wymiarach poniżej 36x19 m i sale pomocnicze;ogółem;2018;[ob.]";"korty tenisowe;ogółem;2018;[ob.]";"pływalnie kryte;ogółem;2018;[ob.]";
0614092;"Puławy (2)";1;0;0;0;0;
0615000;"Powiat radzyński";5;0;1;1;1;
0615011;"Radzyń Podlaski (1)";2;0;0;0;1;
0615032;"Czemierniki (2)";0;0;0;1;0;
0615042;"Kąkolewnica (2)";1;0;0;0;0;
0615052;"Komarówka Podlaska (2)";1;0;1;0;0;
0615082;"Wohyń (2)";1;0;0;0;0;
0616000;"Powiat rycki";4;0;4;1;1;
0616011;"Dęblin (1)";0;0;3;1;1;
0616022;"Kłoczew (2)";1;0;0;0;0;
0616043;"Ryki (3)";1;0;1;0;0;
0616044;"Ryki - miasto (4)";1;0;1;0;0;
0616052;"Stężyca (2)";1;0;0;0;0;
0616062;"Ułęż (2)";1;0;0;0;0;
0617000;"Powiat świdnicki";3;0;0;0;0;
0617011;"Świdnik (1)";1;0;0;0;0;
0617033;"Piaski (3)";2;0;0;0;0;
0617034;"Piaski - miasto (4)";1;0;0;0;0;
0617035;"Piaski - obszar wiejski (5)";1;0;0;0;0;
0618000;"Powiat tomaszowski";9;0;3;3;1;
0618011;"Tomaszów Lubelski (1)";1;0;1;2;0;
0618022;"Bełżec (2)";1;0;0;0;0;
0618053;"Lubycza Królewska (3)";2;0;0;0;0;
0618055;"Lubycza Królewska - obszar wiejski (5)";2;0;0;0;0;
0618063;"Łaszczów (3)";1;0;0;0;0;
0618064;"Łaszczów - miasto (4)";1;0;0;0;0;
0618072;"Rachanie (2)";1;0;0;1;0;
0618082;"Susiec (2)";1;0;0;0;0;
0618102;"Telatyn (2)";2;0;0;0;0;
0618112;"Tomaszów Lubelski (2)";0;0;2;0;1;
0619000;"Powiat włodawski";5;1;4;3;2;
0619011;"Włodawa (1)";1;0;3;3;2;
0619022;"Hanna (2)";1;0;0;0;0;
0619032;"Hańsk (2)";2;0;0;0;0;
0619072;"Wola Uhruska (2)";1;1;1;0;0;
0620000;"Powiat zamojski";7;2;0;0;0;
0620043;"Krasnobród (3)";1;0;0;0;0;
0620044;"Krasnobród - miasto (4)";1;0;0;0;0;
0620052;"Łabunie (2)";1;0;0;0;0;
0620072;"Nielisz (2)";0;1;0;0;0;
0620102;"Skierbieszów (2)";1;0;0;0;0;
0620112;"Stary Zamość (2)";1;0;0;0;0;
0620122;"Sułów (2)";0;1;0;0;0;
0620133;"Szczebrzeszyn (3)";1;0;0;0;0;
0620134;"Szczebrzeszyn - miasto (4)";1;0;0;0;0;
0620142;"Zamość (2)";1;0;0;0;0;
0620153;"Zwierzyniec (3)";1;0;0;0;0;
0620154;"Zwierzyniec - miasto (4)";1;0;0;0;0;
0661000;"Powiat m.Biała Podlaska";2;0;0;1;0;
0661011;"Biała Podlaska (1)";2;0;0;1;0;
0662000;"Powiat m.Chełm";1;1;1;0;0;
0662011;"Chełm (1)";1;1;1;0;0;
0663000;"Powiat m.Lublin";4;8;28;18;4;
0663011;"Lublin (1)";4;8;28;18;4;
0664000;"Powiat m.Zamość";1;2;1;2;1;
0664011;"Zamość (1)";1;2;1;2;1;
0800000;"LUBUSKIE";71;35;30;59;10;
0801000;"Powiat gorzowski";5;1;1;3;0;
0801011;"Kostrzyn nad Odrą (1)";1;1;1;1;0;
0801022;"Bogdaniec (2)";1;0;0;0;0;
0801042;"Kłodawa (2)";0;0;0;2;0;
0801052;"Lubiszyn (2)";1;0;0;0;0;
0801062;"Santok (2)";1;0;0;0;0;
0801073;"Witnica (3)";1;0;0;0;0;
0801074;"Witnica - miasto (4)";1;0;0;0;0;
0802000;"Powiat krośnieński";2;2;0;0;1;
0802011;"Gubin (1)";1;0;0;0;1;
0802022;"Bobrowice (2)";0;1;0;0;0;
0802063;"Krosno Odrzańskie (3)";1;1;0;0;0;
0802064;"Krosno Odrzańskie - miasto (4)";1;1;0;0;0;
0803000;"Powiat międzyrzecki";6;1;0;8;1;
0803012;"Bledzew (2)";2;0;0;3;0;
0803023;"Międzyrzecz (3)";1;1;0;4;1;
0803024;"Międzyrzecz - miasto (4)";1;1;0;3;1;
0803025;"Międzyrzecz - obszar wiejski (5)";0;0;0;1;0;
0803032;"Przytoczna (2)";1;0;0;0;0;
0803053;"Skwierzyna (3)";2;0;0;1;0;
0803054;"Skwierzyna - miasto (4)";2;0;0;1;0;
0804000;"Powiat nowosolski";8;2;1;0;0;
0804011;"Nowa Sól (1)";1;1;1;0;0;
0804023;"Bytom Odrzański (3)";2;0;0;0;0;
0804024;"Bytom Odrzański - miasto (4)";2;0;0;0;0;
0804043;"Kożuchów (3)";1;1;0;0;0;
0804044;"Kożuchów - miasto (4)";1;1;0;0;0;
0804052;"Nowa Sól (2)";1;0;0;0;0;
0804063;"Nowe Miasteczko (3)";1;0;0;0;0;
0804064;"Nowe Miasteczko - miasto (4)";1;0;0;0;0;
0804082;"Siedlisko (2)";2;0;0;0;0;
0805000;"Powiat słubicki";3;1;2;3;0;
0805013;"Cybinka (3)";1;0;0;0;0;
0805014;"Cybinka - miasto (4)";1;0;0;0;0;
0805022;"Górzyca (2)";0;0;1;1;0;
0805033;"Ośno Lubuskie (3)";0;0;0;1;0;
0805034;"Ośno Lubuskie - miasto (4)";0;0;0;1;0;
0805043;"Rzepin (3)";1;0;0;0;0;
0805044;"Rzepin - miasto (4)";1;0;0;0;0;
0805053;"Słubice (3)";1;1;1;1;0;
0805054;"Słubice - miasto (4)";1;1;1;1;0;
0806000;"Powiat strzelecko-drezdenecki";7;2;0;2;0;
0806013;"Dobiegniew (3)";2;1;0;2;0;
0806014;"Dobiegniew - miasto (4)";2;1;0;2;0;
0806023;"Drezdenko (3)";1;1;0;0;0;
0806024;"Drezdenko - miasto (4)";1;1;0;0;0;
0806032;"Stare Kurowo (2)";1;0;0;0;0;
0806043;"Strzelce Krajeńskie (3)";3;0;0;0;0;
0806044;"Strzelce Krajeńskie - miasto (4)";2;0;0;0;0;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";1;0;0;0;0;
0807000;"Powiat sulęciński";3;1;0;1;0;
0807012;"Krzeszyce (2)";0;1;0;0;0;
0807032;"Słońsk (2)";0;0;0;1;0;
0807043;"Sulęcin (3)";1;0;0;0;0;
0807044;"Sulęcin - miasto (4)";1;0;0;0;0;
0807053;"Torzym (3)";2;0;0;0;0;
0807054;"Torzym - miasto (4)";1;0;0;0;0;
0807055;"Torzym - obszar wiejski (5)";1;0;0;0;0;
0808000;"Powiat świebodziński";5;1;2;2;1;
0808012;"Lubrza (2)";1;0;0;0;0;
0808032;"Skąpe (2)";1;0;2;0;0;
0808053;"Świebodzin (3)";1;1;0;1;1;
0808054;"Świebodzin - miasto (4)";1;1;0;1;1;
0808063;"Zbąszynek (3)";2;0;0;1;0;
0808064;"Zbąszynek - miasto (4)";1;0;0;1;0;
0808065;"Zbąszynek - obszar wiejski (5)";1;0;0;0;0;
0809000;"Powiat zielonogórski";5;4;4;8;1;
0809013;"Babimost (3)";1;1;0;2;0;
0809014;"Babimost - miasto (4)";1;1;0;2;0;
0809033;"Czerwieńsk (3)";3;2;0;2;0;
0809034;"Czerwieńsk - miasto (4)";2;2;0;2;0;
0809035;"Czerwieńsk - obszar wiejski (5)";1;0;0;0;0;
0809043;"Kargowa (3)";0;0;1;0;0;
0809044;"Kargowa - miasto (4)";0;0;1;0;0;
0809063;"Sulechów (3)";1;0;1;4;1;
0809064;"Sulechów - miasto (4)";1;0;1;4;1;
0809072;"Świdnica (2)";0;1;1;0;0;
0809082;"Trzebiechów (2)";0;0;1;0;0;
0810000;"Powiat żagański";9;1;1;1;1;
0810011;"Gozdnica (1)";1;0;1;0;0;
0810021;"Żagań (1)";2;1;0;1;1;
0810043;"Iłowa (3)";1;0;0;0;0;
0810044;"Iłowa - miasto (4)";1;0;0;0;0;
0810053;"Małomice (3)";1;0;0;0;0;
0810054;"Małomice - miasto (4)";1;0;0;0;0;
0810073;"Szprotawa (3)";2;0;0;0;0;
0810074;"Szprotawa - miasto (4)";1;0;0;0;0;
0810075;"Szprotawa - obszar wiejski (5)";1;0;0;0;0;
0810082;"Wymiarki (2)";1;0;0;0;0;
0810092;"Żagań (2)";1;0;0;0;0;
0811000;"Powiat żarski";8;4;10;5;1;
0811011;"Łęknica (1)";1;0;0;0;0;
0811021;"Żary (1)";3;1;6;4;1;
0811043;"Jasień (3)";1;0;0;1;0;
0811044;"Jasień - miasto (4)";1;0;0;1;0;
0811063;"Lubsko (3)";2;3;4;0;0;
0811064;"Lubsko - miasto (4)";2;3;4;0;0;
0811102;"Żary (2)";1;0;0;0;0;
0812000;"Powiat wschowski";2;1;0;1;0;
0812013;"Sława (3)";1;1;0;0;0;
0812014;"Sława - miasto (4)";1;1;0;0;0;
0812033;"Wschowa (3)";1;0;0;1;0;
0812034;"Wschowa - miasto (4)";1;0;0;1;0;
0861000;"Powiat m.Gorzów Wielkopolski";5;1;5;6;1;
0861011;"Gorzów Wielkopolski (1)";5;1;5;6;1;
0862000;"Powiat m.Zielona Góra";3;13;4;19;3;
0862011;"Zielona Góra (1)";3;13;4;19;3;
1000000;"ŁÓDZKIE";120;62;58;160;29;
1001000;"Powiat bełchatowski";9;4;3;11;3;
1001011;"Bełchatów (1)";3;2;1;6;2;
1001022;"Bełchatów (2)";1;0;0;2;1;
1001032;"Drużbice (2)";0;0;1;0;0;
1001042;"Kleszczów (2)";2;0;0;2;0;
1001072;"Szczerców (2)";2;2;1;1;0;
1001083;"Zelów (3)";1;0;0;0;0;
1001084;"Zelów - miasto (4)";1;0;0;0;0;
1002000;"Powiat kutnowski";5;1;1;3;0;
1002011;"Kutno (1)";2;0;0;3;0;
1002043;"Krośniewice (3)";1;1;0;0;0;
1002044;"Krośniewice - miasto (4)";1;1;0;0;0;
1002052;"Krzyżanów (2)";0;0;1;0;0;
1002072;"Łanięta (2)";1;0;0;0;0;
1002113;"Żychlin (3)";1;0;0;0;0;
1002114;"Żychlin - miasto (4)";1;0;0;0;0;
1003000;"Powiat łaski";3;1;0;0;1;
1003012;"Buczek (2)";1;1;0;0;0;
1003023;"Łask (3)";0;0;0;0;1;
1003024;"Łask - miasto (4)";0;0;0;0;1;
1003032;"Sędziejowice (2)";1;0;0;0;0;
1003042;"Widawa (2)";1;0;0;0;0;
1004000;"Powiat łęczycki";4;0;0;1;0;
1004011;"Łęczyca (1)";1;0;0;1;0;
1004042;"Grabów (2)";1;0;0;0;0;
1004062;"Piątek (2)";2;0;0;0;0;
1005000;"Powiat łowicki";8;2;0;0;1;
1005011;"Łowicz (1)";3;2;0;0;1;
1005022;"Bielawy (2)";1;0;0;0;0;
1005072;"Łowicz (2)";1;0;0;0;0;
1005082;"Łyszkowice (2)";1;0;0;0;0;
1005092;"Nieborów (2)";2;0;0;0;0;
1006000;"Powiat łódzki wschodni";5;4;0;6;1;
1006022;"Andrespol (2)";2;1;0;5;0;
1006073;"Koluszki (3)";1;1;0;0;0;
1006074;"Koluszki - miasto (4)";1;1;0;0;0;
1006103;"Rzgów (3)";1;1;0;0;0;
1006104;"Rzgów - miasto (4)";1;1;0;0;0;
1006113;"Tuszyn (3)";1;1;0;1;1;
1006114;"Tuszyn - miasto (4)";1;1;0;1;1;
1007000;"Powiat opoczyński";10;0;0;1;1;
1007012;"Białaczów (2)";0;0;0;1;0;
1007023;"Drzewica (3)";2;0;0;0;0;
1007024;"Drzewica - miasto (4)";1;0;0;0;0;
1007025;"Drzewica - obszar wiejski (5)";1;0;0;0;0;
1007032;"Mniszków (2)";2;0;0;0;0;
1007043;"Opoczno (3)";3;0;0;0;1;
1007044;"Opoczno - miasto (4)";3;0;0;0;1;
1007052;"Paradyż (2)";1;0;0;0;0;
1007062;"Poświętne (2)";1;0;0;0;0;
1007082;"Żarnów (2)";1;0;0;0;0;
1008000;"Powiat pabianicki";5;3;3;10;2;
1008011;"Konstantynów Łódzki (1)";0;1;0;0;1;
1008021;"Pabianice (1)";2;1;2;9;1;
1008032;"Dłutów (2)";1;0;0;0;0;
1008042;"Dobroń (2)";0;1;1;0;0;
1008052;"Ksawerów (2)";1;0;0;0;0;
1008062;"Lutomiersk (2)";1;0;0;1;0;
1009000;"Powiat pajęczański";8;1;3;2;0;
1009013;"Działoszyn (3)";1;1;0;0;0;
1009014;"Działoszyn - miasto (4)";1;1;0;0;0;
1009043;"Pajęczno (3)";1;0;0;2;0;
1009044;"Pajęczno - miasto (4)";1;0;0;2;0;
1009052;"Rząśnia (2)";1;0;3;0;0;
1009072;"Strzelce Wielkie (2)";2;0;0;0;0;
1009082;"Sulmierzyce (2)";3;0;0;0;0;
1010000;"Powiat piotrkowski";9;1;3;0;0;
1010032;"Gorzkowice (2)";1;0;0;0;0;
1010042;"Grabica (2)";1;0;0;0;0;
1010052;"Łęki Szlacheckie (2)";0;0;3;0;0;
1010062;"Moszczenica (2)";1;1;0;0;0;
1010072;"Ręczno (2)";1;0;0;0;0;
1010082;"Rozprza (2)";1;0;0;0;0;
1010093;"Sulejów (3)";1;0;0;0;0;
1010094;"Sulejów - miasto (4)";1;0;0;0;0;
1010102;"Wola Krzysztoporska (2)";1;0;0;0;0;
1010113;"Wolbórz (3)";2;0;0;0;0;
1010114;"Wolbórz - miasto (4)";2;0;0;0;0;
1011000;"Powiat poddębicki";1;1;0;1;0;
1011022;"Pęczniew (2)";0;1;0;0;0;
1011033;"Poddębice (3)";1;0;0;1;0;
1011035;"Poddębice - obszar wiejski (5)";1;0;0;1;0;
1012000;"Powiat radomszczański";5;3;3;9;1;
1012011;"Radomsko (1)";1;0;0;5;1;
1012022;"Dobryszyce (2)";0;1;0;0;0;
1012042;"Gomunice (2)";2;1;0;0;0;
1012053;"Kamieńsk (3)";1;0;0;1;0;
1012054;"Kamieńsk - miasto (4)";1;0;0;1;0;
1012082;"Lgota Wielka (2)";0;0;2;1;0;
1012102;"Masłowice (2)";0;0;0;1;0;
1012113;"Przedbórz (3)";0;0;0;1;0;
1012115;"Przedbórz - obszar wiejski (5)";0;0;0;1;0;
1012132;"Wielgomłyny (2)";0;1;0;0;0;
1012142;"Żytno (2)";1;0;1;0;0;
1013000;"Powiat rawski";1;2;0;5;1;
1013011;"Rawa Mazowiecka (1)";1;2;0;4;1;
1013023;"Biała Rawska (3)";0;0;0;1;0;
1013024;"Biała Rawska - miasto (4)";0;0;0;1;0;
1014000;"Powiat sieradzki";7;2;7;7;1;
1014011;"Sieradz (1)";1;2;7;6;1;
1014023;"Błaszki (3)";2;0;0;0;0;
1014024;"Błaszki - miasto (4)";2;0;0;0;0;
1014093;"Warta (3)";2;0;0;1;0;
1014094;"Warta - miasto (4)";1;0;0;1;0;
1014095;"Warta - obszar wiejski (5)";1;0;0;0;0;
1014113;"Złoczew (3)";2;0;0;0;0;
1014114;"Złoczew - miasto (4)";1;0;0;0;0;
1014115;"Złoczew - obszar wiejski (5)";1;0;0;0;0;
1015000;"Powiat skierniewicki";4;0;0;1;0;
1015022;"Głuchów (2)";0;0;0;1;0;
1015032;"Godzianów (2)";1;0;0;0;0;
1015042;"Kowiesy (2)";1;0;0;0;0;
1015052;"Lipce Reymontowskie (2)";1;0;0;0;0;
1015082;"Skierniewice (2)";1;0;0;0;0;
1016000;"Powiat tomaszowski";6;7;7;8;1;
1016011;"Tomaszów Mazowiecki (1)";1;1;0;5;0;
1016042;"Czerniewice (2)";1;0;0;1;0;
1016052;"Inowłódz (2)";2;4;6;0;1;
1016082;"Rzeczyca (2)";0;0;0;1;0;
1016092;"Tomaszów Mazowiecki (2)";0;0;0;1;0;
1016102;"Ujazd (2)";2;2;1;0;0;
1017000;"Powiat wieluński";5;2;0;3;1;
1017012;"Biała (2)";1;0;0;2;0;
1017022;"Czarnożyły (2)";1;0;0;0;0;
1017062;"Ostrówek (2)";1;0;0;0;0;
1017072;"Pątnów (2)";1;0;0;0;0;
1017093;"Wieluń (3)";1;2;0;1;1;
1017094;"Wieluń - miasto (4)";1;2;0;0;1;
1017095;"Wieluń - obszar wiejski (5)";0;0;0;1;0;
1018000;"Powiat wieruszowski";1;1;1;1;0;
1018012;"Bolesławiec (2)";0;0;0;1;0;
1018042;"Lututów (2)";1;0;0;0;0;
1018052;"Łubnice (2)";0;1;1;0;0;
1019000;"Powiat zduńskowolski";5;0;0;0;0;
1019011;"Zduńska Wola (1)";2;0;0;0;0;
1019023;"Szadek (3)";2;0;0;0;0;
1019024;"Szadek - miasto (4)";2;0;0;0;0;
1019032;"Zapolice (2)";1;0;0;0;0;
1020000;"Powiat zgierski";3;3;4;4;3;
1020011;"Głowno (1)";0;0;2;1;0;
1020021;"Ozorków (1)";1;1;0;1;1;
1020031;"Zgierz (1)";2;2;1;2;1;
1020043;"Aleksandrów Łódzki (3)";0;0;1;0;1;
1020044;"Aleksandrów Łódzki - miasto (4)";0;0;1;0;1;
1021000;"Powiat brzeziński";0;0;0;2;1;
1021011;"Brzeziny (1)";0;0;0;2;1;
1061000;"Powiat m.Łódź";10;21;20;67;7;
1061011;"Łódź (1)";10;21;20;67;7;
1062000;"Powiat m.Piotrków Trybunalski";2;1;1;11;3;
1062011;"Piotrków Trybunalski (1)";2;1;1;11;3;
1063000;"Powiat m.Skierniewice";4;2;2;7;1;
1063011;"Skierniewice (1)";4;2;2;7;1;
1200000;"MAŁOPOLSKIE";262;85;108;208;66;
1201000;"Powiat bocheński";10;3;3;3;3;
1201011;"Bochnia (1)";2;2;3;0;2;
1201022;"Bochnia (2)";0;0;0;1;1;
1201052;"Łapanów (2)";4;1;0;1;0;
1201063;"Nowy Wiśnicz (3)";2;0;0;0;0;
1201064;"Nowy Wiśnicz - miasto (4)";2;0;0;0;0;
1201082;"Trzciana (2)";1;0;0;0;0;
1201092;"Żegocina (2)";1;0;0;1;0;
1202000;"Powiat brzeski";11;1;0;7;1;
1202012;"Borzęcin (2)";1;0;0;2;0;
1202023;"Brzesko (3)";5;0;0;5;1;
1202024;"Brzesko - miasto (4)";2;0;0;5;1;
1202025;"Brzesko - obszar wiejski (5)";3;0;0;0;0;
1202033;"Czchów (3)";2;1;0;0;0;
1202034;"Czchów - miasto (4)";1;1;0;0;0;
1202035;"Czchów - obszar wiejski (5)";1;0;0;0;0;
1202042;"Dębno (2)";1;0;0;0;0;
1202062;"Iwkowa (2)";1;0;0;0;0;
1202072;"Szczurowa (2)";1;0;0;0;0;
1203000;"Powiat chrzanowski";9;6;1;11;3;
1203013;"Alwernia (3)";3;0;0;1;0;
1203014;"Alwernia - miasto (4)";1;0;0;1;0;
1203015;"Alwernia - obszar wiejski (5)";2;0;0;0;0;
1203022;"Babice (2)";1;0;0;0;0;
1203033;"Chrzanów (3)";0;3;0;5;1;
1203034;"Chrzanów - miasto (4)";0;3;0;5;1;
1203043;"Libiąż (3)";3;1;0;1;1;
1203044;"Libiąż - miasto (4)";3;1;0;1;1;
1203053;"Trzebinia (3)";2;2;1;4;1;
1203054;"Trzebinia - miasto (4)";2;2;1;3;1;
1203055;"Trzebinia - obszar wiejski (5)";0;0;0;1;0;
1204000;"Powiat dąbrowski";13;4;0;3;1;
1204012;"Bolesław (2)";1;0;0;0;0;
1204023;"Dąbrowa Tarnowska (3)";1;2;0;2;1;
1204024;"Dąbrowa Tarnowska - miasto (4)";0;2;0;2;1;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";1;0;0;0;0;
1204032;"Gręboszów (2)";4;0;0;0;0;
1204042;"Mędrzechów (2)";0;1;0;0;0;
1204052;"Olesno (2)";0;0;0;1;0;
1204062;"Radgoszcz (2)";2;0;0;0;0;
1204073;"Szczucin (3)";5;1;0;0;0;
1204074;"Szczucin - miasto (4)";3;1;0;0;0;
1204075;"Szczucin - obszar wiejski (5)";2;0;0;0;0;
1205000;"Powiat gorlicki";14;2;1;8;5;
1205011;"Gorlice (1)";2;2;0;6;4;
1205023;"Biecz (3)";2;0;0;0;0;
1205024;"Biecz - miasto (4)";1;0;0;0;0;
1205025;"Biecz - obszar wiejski (5)";1;0;0;0;0;
1205033;"Bobowa (3)";1;0;0;0;0;
1205034;"Bobowa - miasto (4)";1;0;0;0;0;
1205042;"Gorlice (2)";1;0;1;0;0;
1205052;"Lipinki (2)";1;0;0;0;0;
1205072;"Moszczenica (2)";2;0;0;2;0;
1205082;"Ropa (2)";1;0;0;0;0;
1205092;"Sękowa (2)";1;0;0;0;0;
1205102;"Uście Gorlickie (2)";3;0;0;0;1;
1206000;"Powiat krakowski";21;4;3;6;3;
1206012;"Czernichów (2)";1;0;0;0;0;
1206042;"Jerzmanowice-Przeginia (2)";1;0;0;0;0;
1206052;"Kocmyrzów-Luborzyca (2)";1;0;0;0;0;
1206063;"Krzeszowice (3)";2;0;0;0;0;
1206064;"Krzeszowice - miasto (4)";1;0;0;0;0;
1206065;"Krzeszowice - obszar wiejski (5)";1;0;0;0;0;
1206072;"Liszki (2)";3;0;0;1;0;
1206092;"Mogilany (2)";1;0;0;0;0;
1206103;"Skała (3)";0;1;0;1;0;
1206104;"Skała - miasto (4)";0;1;0;1;0;
1206113;"Skawina (3)";4;0;3;1;2;
1206114;"Skawina - miasto (4)";3;0;3;1;2;
1206115;"Skawina - obszar wiejski (5)";1;0;0;0;0;
1206123;"Słomniki (3)";1;1;0;0;0;
1206124;"Słomniki - miasto (4)";1;1;0;0;0;
1206143;"Świątniki Górne (3)";1;0;0;0;0;
1206145;"Świątniki Górne - obszar wiejski (5)";1;0;0;0;0;
1206152;"Wielka Wieś (2)";2;0;0;0;0;
1206162;"Zabierzów (2)";4;1;0;0;1;
1206172;"Zielonki (2)";0;1;0;3;0;
1207000;"Powiat limanowski";16;1;1;4;2;
1207011;"Limanowa (1)";3;1;0;0;1;
1207021;"Mszana Dolna (1)";1;0;0;1;0;
1207032;"Dobra (2)";1;0;0;0;0;
1207042;"Jodłownik (2)";2;0;0;0;0;
1207052;"Kamienica (2)";2;0;0;0;0;
1207062;"Laskowa (2)";1;0;0;0;0;
1207072;"Limanowa (2)";1;0;0;0;0;
1207082;"Łukowica (2)";1;0;0;0;0;
1207092;"Mszana Dolna (2)";1;0;0;0;0;
1207102;"Niedźwiedź (2)";1;0;1;3;1;
1207122;"Tymbark (2)";2;0;0;0;0;
1208000;"Powiat miechowski";4;1;1;1;1;
1208012;"Charsznica (2)";1;1;0;1;0;
1208022;"Gołcza (2)";2;0;0;0;0;
1208042;"Książ Wielki (2)";1;0;0;0;0;
1208053;"Miechów (3)";0;0;0;0;1;
1208054;"Miechów - miasto (4)";0;0;0;0;1;
1208062;"Racławice (2)";0;0;1;0;0;
1209000;"Powiat myślenicki";8;2;3;7;1;
1209013;"Dobczyce (3)";1;0;0;0;0;
1209015;"Dobczyce - obszar wiejski (5)";1;0;0;0;0;
1209022;"Lubień (2)";1;0;0;1;0;
1209033;"Myślenice (3)";3;1;1;5;1;
1209034;"Myślenice - miasto (4)";1;1;1;5;1;
1209035;"Myślenice - obszar wiejski (5)";2;0;0;0;0;
1209042;"Pcim (2)";0;0;1;0;0;
1209052;"Raciechowice (2)";0;1;0;0;0;
1209062;"Siepraw (2)";1;0;0;1;0;
1209082;"Tokarnia (2)";1;0;0;0;0;
1209092;"Wiśniowa (2)";1;0;1;0;0;
1210000;"Powiat nowosądecki";18;3;9;11;2;
1210011;"Grybów (1)";1;0;0;1;0;
1210022;"Chełmiec (2)";1;0;0;0;0;
1210032;"Gródek nad Dunajcem (2)";0;0;4;0;0;
1210042;"Grybów (2)";0;0;0;1;1;
1210073;"Krynica-Zdrój (3)";0;0;0;1;1;
1210074;"Krynica-Zdrój - miasto (4)";0;0;0;1;1;
1210092;"Łącko (2)";3;1;0;0;0;
1210102;"Łososina Dolna (2)";5;0;1;4;0;
1210113;"Muszyna (3)";1;0;1;2;0;
1210114;"Muszyna - miasto (4)";1;0;0;1;0;
1210115;"Muszyna - obszar wiejski (5)";0;0;1;1;0;
1210122;"Nawojowa (2)";1;0;0;2;0;
1210133;"Piwniczna-Zdrój (3)";0;1;3;0;0;
1210134;"Piwniczna-Zdrój - miasto (4)";0;1;0;0;0;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";0;0;3;0;0;
1210152;"Rytro (2)";2;1;0;0;0;
1210163;"Stary Sącz (3)";4;0;0;0;0;
1210164;"Stary Sącz - miasto (4)";2;0;0;0;0;
1210165;"Stary Sącz - obszar wiejski (5)";2;0;0;0;0;
1211000;"Powiat nowotarski";12;3;12;8;6;
1211011;"Nowy Targ (1)";2;0;6;3;1;
1211023;"Szczawnica (3)";1;0;1;1;2;
1211024;"Szczawnica - miasto (4)";0;0;1;1;2;
1211025;"Szczawnica - obszar wiejski (5)";1;0;0;0;0;
1211032;"Czarny Dunajec (2)";1;0;0;2;0;
1211042;"Czorsztyn (2)";0;1;0;0;0;
1211052;"Jabłonka (2)";1;0;0;0;0;
1211072;"Lipnica Wielka (2)";1;1;0;0;0;
1211082;"Łapsze Niżne (2)";0;0;0;1;0;
1211092;"Nowy Targ (2)";2;0;0;0;0;
1211112;"Raba Wyżna (2)";1;0;1;0;0;
1211123;"Rabka-Zdrój (3)";1;1;4;1;2;
1211124;"Rabka-Zdrój - miasto (4)";1;1;4;1;2;
1211132;"Spytkowice (2)";0;0;0;0;1;
1211142;"Szaflary (2)";2;0;0;0;0;
1212000;"Powiat olkuski";5;2;4;5;3;
1212011;"Bukowno (1)";1;0;2;0;0;
1212042;"Klucze (2)";2;0;1;0;2;
1212053;"Olkusz (3)";1;1;1;4;0;
1212054;"Olkusz - miasto (4)";1;1;1;4;0;
1212073;"Wolbrom (3)";1;1;0;1;1;
1212074;"Wolbrom - miasto (4)";1;1;0;1;1;
1213000;"Powiat oświęcimski";20;2;1;16;3;
1213011;"Oświęcim (1)";3;0;0;1;1;
1213023;"Brzeszcze (3)";2;1;0;0;1;
1213024;"Brzeszcze - miasto (4)";2;1;0;0;1;
1213033;"Chełmek (3)";2;0;0;8;0;
1213034;"Chełmek - miasto (4)";2;0;0;7;0;
1213035;"Chełmek - obszar wiejski (5)";0;0;0;1;0;
1213043;"Kęty (3)";6;1;0;4;1;
1213044;"Kęty - miasto (4)";1;1;0;4;1;
1213045;"Kęty - obszar wiejski (5)";5;0;0;0;0;
1213062;"Oświęcim (2)";1;0;0;0;0;
1213082;"Przeciszów (2)";1;0;1;0;0;
1213093;"Zator (3)";5;0;0;3;0;
1213094;"Zator - miasto (4)";1;0;0;3;0;
1213095;"Zator - obszar wiejski (5)";4;0;0;0;0;
1214000;"Powiat proszowicki";4;3;3;2;1;
1214012;"Koniusza (2)";0;1;3;0;0;
1214022;"Koszyce (2)";1;1;0;0;0;
1214033;"Nowe Brzesko (3)";1;0;0;0;0;
1214034;"Nowe Brzesko - miasto (4)";1;0;0;0;0;
1214053;"Proszowice (3)";2;1;0;2;1;
1214054;"Proszowice - miasto (4)";1;1;0;2;1;
1214055;"Proszowice - obszar wiejski (5)";1;0;0;0;0;
1215000;"Powiat suski";8;1;2;2;2;
1215011;"Jordanów (1)";1;0;0;0;0;
1215021;"Sucha Beskidzka (1)";1;0;1;0;1;
1215042;"Bystra-Sidzina (2)";2;0;0;0;0;
1215052;"Jordanów (2)";1;0;0;0;1;
1215063;"Maków Podhalański (3)";1;0;1;1;0;
1215064;"Maków Podhalański - miasto (4)";0;0;0;1;0;
1215065;"Maków Podhalański - obszar wiejski (5)";1;0;1;0;0;
1215072;"Stryszawa (2)";1;1;0;1;0;
1215082;"Zawoja (2)";1;0;0;0;0;
1216000;"Powiat tarnowski";26;4;6;6;1;
1216013;"Ciężkowice (3)";0;0;0;2;0;
1216014;"Ciężkowice - miasto (4)";0;0;0;1;0;
