"Kod";"Nazwa";"ogółem;2020;[ob.]";
1210114;"Muszyna - miasto (4)";2;
1210115;"Muszyna - obszar wiejski (5)";6;
1210122;"Nawojowa (2)";6;
1210133;"Piwniczna-Zdrój (3)";6;
1210134;"Piwniczna-Zdrój - miasto (4)";2;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";4;
1210142;"Podegrodzie (2)";10;
1210152;"Rytro (2)";1;
1210163;"Stary Sącz (3)";10;
1210164;"Stary Sącz - miasto (4)";3;
1210165;"Stary Sącz - obszar wiejski (5)";7;
1211000;"Powiat nowotarski";116;
1211011;"Nowy Targ (1)";9;
1211023;"Szczawnica (3)";3;
1211024;"Szczawnica - miasto (4)";2;
1211025;"Szczawnica - obszar wiejski (5)";1;
1211032;"Czarny Dunajec (2)";16;
1211042;"Czorsztyn (2)";4;
1211052;"Jabłonka (2)";14;
1211062;"Krościenko nad Dunajcem (2)";4;
1211072;"Lipnica Wielka (2)";5;
1211082;"Łapsze Niżne (2)";7;
1211092;"Nowy Targ (2)";19;
1211102;"Ochotnica Dolna (2)";6;
1211112;"Raba Wyżna (2)";8;
1211123;"Rabka-Zdrój (3)";10;
1211124;"Rabka-Zdrój - miasto (4)";7;
1211125;"Rabka-Zdrój - obszar wiejski (5)";3;
1211132;"Spytkowice (2)";3;
1211142;"Szaflary (2)";8;
1212000;"Powiat olkuski";47;
1212011;"Bukowno (1)";2;
1212032;"Bolesław (2)";3;
1212042;"Klucze (2)";7;
1212053;"Olkusz (3)";18;
1212054;"Olkusz - miasto (4)";9;
1212055;"Olkusz - obszar wiejski (5)";9;
1212062;"Trzyciąż (2)";5;
1212073;"Wolbrom (3)";12;
1212074;"Wolbrom - miasto (4)";2;
1212075;"Wolbrom - obszar wiejski (5)";10;
1213000;"Powiat oświęcimski";53;
1213011;"Oświęcim (1)";10;
1213023;"Brzeszcze (3)";6;
1213024;"Brzeszcze - miasto (4)";2;
1213025;"Brzeszcze - obszar wiejski (5)";4;
1213033;"Chełmek (3)";4;
1213034;"Chełmek - miasto (4)";2;
1213035;"Chełmek - obszar wiejski (5)";2;
1213043;"Kęty (3)";10;
1213044;"Kęty - miasto (4)";4;
1213045;"Kęty - obszar wiejski (5)";6;
1213052;"Osiek (2)";3;
1213062;"Oświęcim (2)";8;
1213072;"Polanka Wielka (2)";1;
1213082;"Przeciszów (2)";3;
1213093;"Zator (3)";8;
1213094;"Zator - miasto (4)";1;
1213095;"Zator - obszar wiejski (5)";7;
1214000;"Powiat proszowicki";23;
1214012;"Koniusza (2)";6;
1214023;"Koszyce (3)";2;
1214024;"Koszyce - miasto (4)";1;
1214025;"Koszyce - obszar wiejski (5)";1;
1214033;"Nowe Brzesko (3)";3;
1214034;"Nowe Brzesko - miasto (4)";1;
1214035;"Nowe Brzesko - obszar wiejski (5)";2;
1214042;"Pałecznica (2)";2;
1214053;"Proszowice (3)";8;
1214054;"Proszowice - miasto (4)";2;
1214055;"Proszowice - obszar wiejski (5)";6;
1214062;"Radziemice (2)";2;
1215000;"Powiat suski";43;
1215011;"Jordanów (1)";1;
1215021;"Sucha Beskidzka (1)";3;
1215032;"Budzów (2)";7;
1215042;"Bystra-Sidzina (2)";2;
1215052;"Jordanów (2)";5;
1215063;"Maków Podhalański (3)";9;
1215064;"Maków Podhalański - miasto (4)";3;
1215065;"Maków Podhalański - obszar wiejski (5)";6;
1215072;"Stryszawa (2)";7;
1215082;"Zawoja (2)";5;
1215092;"Zembrzyce (2)";4;
1216000;"Powiat tarnowski";126;
1216013;"Ciężkowice (3)";11;
1216014;"Ciężkowice - miasto (4)";1;
1216015;"Ciężkowice - obszar wiejski (5)";10;
1216022;"Gromnik (2)";7;
1216032;"Lisia Góra (2)";11;
1216042;"Pleśna (2)";8;
1216053;"Radłów (3)";7;
1216054;"Radłów - miasto (4)";1;
1216055;"Radłów - obszar wiejski (5)";6;
1216063;"Ryglice (3)";7;
1216064;"Ryglice - miasto (4)";1;
1216065;"Ryglice - obszar wiejski (5)";6;
1216072;"Rzepiennik Strzyżewski (2)";5;
1216082;"Skrzyszów (2)";6;
1216092;"Tarnów (2)";13;
1216103;"Tuchów (3)";13;
1216104;"Tuchów - miasto (4)";1;
1216105;"Tuchów - obszar wiejski (5)";12;
1216112;"Wierzchosławice (2)";7;
1216122;"Wietrzychowice (2)";2;
1216133;"Wojnicz (3)";7;
1216134;"Wojnicz - miasto (4)";1;
1216135;"Wojnicz - obszar wiejski (5)";6;
1216143;"Zakliczyn (3)";8;
1216144;"Zakliczyn - miasto (4)";1;
1216145;"Zakliczyn - obszar wiejski (5)";7;
1216153;"Żabno (3)";9;
1216154;"Żabno - miasto (4)";1;
1216155;"Żabno - obszar wiejski (5)";8;
1216162;"Szerzyny (2)";5;
1217000;"Powiat tatrzański";37;
1217011;"Zakopane (1)";13;
1217022;"Biały Dunajec (2)";5;
1217032;"Bukowina Tatrzańska (2)";8;
1217042;"Kościelisko (2)";3;
1217052;"Poronin (2)";8;
1218000;"Powiat wadowicki";73;
1218013;"Andrychów (3)";11;
1218014;"Andrychów - miasto (4)";3;
1218015;"Andrychów - obszar wiejski (5)";8;
1218022;"Brzeźnica (2)";6;
1218033;"Kalwaria Zebrzydowska (3)";11;
1218034;"Kalwaria Zebrzydowska - miasto (4)";2;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";9;
1218042;"Lanckorona (2)";4;
1218052;"Mucharz (2)";3;
1218062;"Spytkowice (2)";6;
1218072;"Stryszów (2)";5;
1218082;"Tomice (2)";4;
1218093;"Wadowice (3)";17;
1218094;"Wadowice - miasto (4)";5;
1218095;"Wadowice - obszar wiejski (5)";12;
1218102;"Wieprz (2)";6;
1219000;"Powiat wielicki";60;
1219012;"Biskupice (2)";6;
1219022;"Gdów (2)";11;
1219032;"Kłaj (2)";5;
1219043;"Niepołomice (3)";12;
1219044;"Niepołomice - miasto (4)";4;
1219045;"Niepołomice - obszar wiejski (5)";8;
1219053;"Wieliczka (3)";26;
1219054;"Wieliczka - miasto (4)";10;
1219055;"Wieliczka - obszar wiejski (5)";16;
1261000;"Powiat m.Kraków";202;
1261011;"Kraków (1)";202;
1262000;"Powiat m.Nowy Sącz";22;
1262011;"Nowy Sącz (1)";22;
1263000;"Powiat m.Tarnów";31;
1263011;"Tarnów (1)";31;
1400000;"MAZOWIECKIE";1926;
1401000;"Powiat białobrzeski";20;
1401013;"Białobrzegi (3)";2;
1401014;"Białobrzegi - miasto (4)";1;
1401015;"Białobrzegi - obszar wiejski (5)";1;
1401022;"Promna (2)";4;
1401032;"Radzanów (2)";3;
1401042;"Stara Błotnica (2)";4;
1401052;"Stromiec (2)";5;
1401063;"Wyśmierzyce (3)";2;
1401064;"Wyśmierzyce - miasto (4)";1;
1401065;"Wyśmierzyce - obszar wiejski (5)";1;
1402000;"Powiat ciechanowski";36;
1402011;"Ciechanów (1)";10;
1402022;"Ciechanów (2)";3;
1402033;"Glinojeck (3)";4;
1402034;"Glinojeck - miasto (4)";1;
1402035;"Glinojeck - obszar wiejski (5)";3;
1402042;"Gołymin-Ośrodek (2)";2;
1402052;"Grudusk (2)";2;
1402062;"Ojrzeń (2)";3;
1402072;"Opinogóra Górna (2)";3;
1402082;"Regimin (2)";3;
1402092;"Sońsk (2)";6;
1403000;"Powiat garwoliński";63;
1403011;"Garwolin (1)";6;
1403021;"Łaskarzew (1)";2;
1403032;"Borowie (2)";3;
1403042;"Garwolin (2)";7;
1403052;"Górzno (2)";4;
1403062;"Łaskarzew (2)";4;
1403072;"Maciejowice (2)";4;
1403082;"Miastków Kościelny (2)";4;
1403092;"Parysów (2)";2;
1403103;"Pilawa (3)";4;
1403104;"Pilawa - miasto (4)";1;
1403105;"Pilawa - obszar wiejski (5)";3;
1403112;"Sobolew (2)";7;
1403122;"Trojanów (2)";5;
1403132;"Wilga (2)";6;
1403143;"Żelechów (3)";5;
1403144;"Żelechów - miasto (4)";1;
1403145;"Żelechów - obszar wiejski (5)";4;
1404000;"Powiat gostyniński";17;
1404011;"Gostynin (1)";4;
1404022;"Gostynin (2)";8;
1404032;"Pacyna (2)";1;
1404043;"Sanniki (3)";2;
1404044;"Sanniki - miasto (4)";1;
1404045;"Sanniki - obszar wiejski (5)";1;
1404052;"Szczawin Kościelny (2)";2;
1405000;"Powiat grodziski";34;
1405011;"Milanówek (1)";6;
1405021;"Podkowa Leśna (1)";2;
1405032;"Baranów (2)";4;
1405043;"Grodzisk Mazowiecki (3)";17;
1405044;"Grodzisk Mazowiecki - miasto (4)";10;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";7;
1405052;"Jaktorów (2)";2;
1405062;"Żabia Wola (2)";3;
1406000;"Powiat grójecki";51;
1406012;"Belsk Duży (2)";4;
1406022;"Błędów (2)";4;
1406032;"Chynów (2)";8;
1406042;"Goszczyn (2)";3;
1406053;"Grójec (3)";8;
1406054;"Grójec - miasto (4)";5;
1406055;"Grójec - obszar wiejski (5)";3;
1406062;"Jasieniec (2)";2;
1406073;"Mogielnica (3)";5;
1406074;"Mogielnica - miasto (4)";2;
1406075;"Mogielnica - obszar wiejski (5)";3;
1406083;"Nowe Miasto nad Pilicą (3)";4;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";3;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";1;
1406092;"Pniewy (2)";5;
1406113;"Warka (3)";8;
1406114;"Warka - miasto (4)";2;
1406115;"Warka - obszar wiejski (5)";6;
1407000;"Powiat kozienicki";31;
1407012;"Garbatka-Letnisko (2)";2;
1407022;"Głowaczów (2)";4;
1407032;"Gniewoszów (2)";2;
1407042;"Grabów nad Pilicą (2)";2;
1407053;"Kozienice (3)";12;
1407054;"Kozienice - miasto (4)";5;
1407055;"Kozienice - obszar wiejski (5)";7;
1407062;"Magnuszew (2)";5;
1407072;"Sieciechów (2)";4;
1408000;"Powiat legionowski";33;
1408011;"Legionowo (1)";10;
1408022;"Jabłonna (2)";5;
1408032;"Nieporęt (2)";8;
1408043;"Serock (3)";4;
1408044;"Serock - miasto (4)";1;
1408045;"Serock - obszar wiejski (5)";3;
1408052;"Wieliszew (2)";6;
1409000;"Powiat lipski";18;
1409012;"Chotcza (2)";2;
1409022;"Ciepielów (2)";2;
1409033;"Lipsko (3)";5;
1409034;"Lipsko - miasto (4)";1;
1409035;"Lipsko - obszar wiejski (5)";4;
1409042;"Rzeczniów (2)";2;
1409052;"Sienno (2)";3;
1409062;"Solec nad Wisłą (2)";4;
1410000;"Powiat łosicki";20;
1410012;"Huszlew (2)";2;
1410023;"Łosice (3)";4;
1410024;"Łosice - miasto (4)";3;
1410025;"Łosice - obszar wiejski (5)";1;
1410032;"Olszanka (2)";4;
1410042;"Platerów (2)";5;
1410052;"Sarnaki (2)";2;
1410062;"Stara Kornica (2)";3;
1411000;"Powiat makowski";22;
1411011;"Maków Mazowiecki (1)";3;
1411022;"Czerwonka (2)";1;
1411032;"Karniewo (2)";3;
1411042;"Krasnosielc (2)";4;
1411052;"Młynarze (2)";1;
1411062;"Płoniawy-Bramura (2)";5;
1411073;"Różan (3)";1;
1411074;"Różan - miasto (4)";1;
1411082;"Rzewnie (2)";1;
1411092;"Sypniewo (2)";2;
1411102;"Szelków (2)";1;
1412000;"Powiat miński";64;
1412011;"Mińsk Mazowiecki (1)";7;
1412042;"Cegłów (2)";4;
1412052;"Dębe Wielkie (2)";4;
1412062;"Dobre (2)";3;
1412073;"Halinów (3)";5;
1412074;"Halinów - miasto (4)";1;
1412075;"Halinów - obszar wiejski (5)";4;
1412082;"Jakubów (2)";4;
1412093;"Kałuszyn (3)";2;
1412094;"Kałuszyn - miasto (4)";1;
1412095;"Kałuszyn - obszar wiejski (5)";1;
1412102;"Latowicz (2)";3;
1412112;"Mińsk Mazowiecki (2)";8;
1412123;"Mrozy (3)";5;
1412124;"Mrozy - miasto (4)";3;
1412125;"Mrozy - obszar wiejski (5)";2;
1412132;"Siennica (2)";6;
1412142;"Stanisławów (2)";3;
1412151;"Sulejówek (1)";10;
1413000;"Powiat mławski";35;
1413011;"Mława (1)";9;
1413022;"Dzierzgowo (2)";2;
1413032;"Lipowiec Kościelny (2)";4;
1413042;"Radzanów (2)";2;
1413052;"Strzegowo (2)";3;
1413062;"Stupsk (2)";3;
1413072;"Szreńsk (2)";2;
1413082;"Szydłowo (2)";3;
1413092;"Wieczfnia Kościelna (2)";3;
1413102;"Wiśniewo (2)";4;
1414000;"Powiat nowodworski";30;
1414011;"Nowy Dwór Mazowiecki (1)";7;
1414022;"Czosnów (2)";8;
1414032;"Leoncin (2)";2;
1414043;"Nasielsk (3)";8;
1414044;"Nasielsk - miasto (4)";3;
1414045;"Nasielsk - obszar wiejski (5)";5;
1414052;"Pomiechówek (2)";3;
1414063;"Zakroczym (3)";2;
1414064;"Zakroczym - miasto (4)";1;
1414065;"Zakroczym - obszar wiejski (5)";1;
1415000;"Powiat ostrołęcki";65;
1415012;"Baranowo (2)";6;
1415022;"Czarnia (2)";3;
1415032;"Czerwin (2)";2;
1415042;"Goworowo (2)";4;
1415052;"Kadzidło (2)";8;
1415062;"Lelis (2)";8;
1415072;"Łyse (2)";9;
1415083;"Myszyniec (3)";9;
1415084;"Myszyniec - miasto (4)";1;
1415085;"Myszyniec - obszar wiejski (5)";8;
1415092;"Olszewo-Borki (2)";7;
1415102;"Rzekuń (2)";7;
1415112;"Troszyn (2)";2;
1416000;"Powiat ostrowski";41;
1416011;"Ostrów Mazowiecka (1)";4;
1416022;"Andrzejewo (2)";3;
1416032;"Boguty-Pianki (2)";3;
1416043;"Brok (3)";2;
1416044;"Brok - miasto (4)";1;
1416045;"Brok - obszar wiejski (5)";1;
1416052;"Małkinia Górna (2)";6;
1416062;"Nur (2)";2;
1416072;"Ostrów Mazowiecka (2)";13;
1416082;"Stary Lubotyń (2)";2;
1416092;"Szulborze Wielkie (2)";1;
1416102;"Wąsewo (2)";4;
1416112;"Zaręby Kościelne (2)";1;
1417000;"Powiat otwocki";51;
1417011;"Józefów (1)";9;
1417021;"Otwock (1)";15;
1417032;"Celestynów (2)";5;
1417043;"Karczew (3)";7;
1417044;"Karczew - miasto (4)";3;
1417045;"Karczew - obszar wiejski (5)";4;
1417052;"Kołbiel (2)";4;
1417062;"Osieck (2)";2;
1417072;"Sobienie-Jeziory (2)";3;
1417082;"Wiązowna (2)";6;
1418000;"Powiat piaseczyński";63;
1418013;"Góra Kalwaria (3)";11;
1418014;"Góra Kalwaria - miasto (4)";2;
1418015;"Góra Kalwaria - obszar wiejski (5)";9;
1418023;"Konstancin-Jeziorna (3)";9;
1418024;"Konstancin-Jeziorna - miasto (4)";7;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";2;
1418032;"Lesznowola (2)";13;
1418043;"Piaseczno (3)";22;
1418044;"Piaseczno - miasto (4)";9;
1418045;"Piaseczno - obszar wiejski (5)";13;
1418052;"Prażmów (2)";4;
1418063;"Tarczyn (3)";4;
1418064;"Tarczyn - miasto (4)";1;
1418065;"Tarczyn - obszar wiejski (5)";3;
1419000;"Powiat płocki";53;
1419012;"Bielsk (2)";7;
1419022;"Bodzanów (2)";4;
1419032;"Brudzeń Duży (2)";3;
1419042;"Bulkowo (2)";3;
1419053;"Drobin (3)";4;
1419054;"Drobin - miasto (4)";1;
1419055;"Drobin - obszar wiejski (5)";3;
1419063;"Gąbin (3)";6;
1419064;"Gąbin - miasto (4)";1;
1419065;"Gąbin - obszar wiejski (5)";5;
1419072;"Łąck (2)";1;
1419082;"Mała Wieś (2)";4;
1419092;"Nowy Duninów (2)";2;
1419102;"Radzanowo (2)";2;
1419112;"Słubice (2)";3;
1419122;"Słupno (2)";3;
1419132;"Stara Biała (2)";4;
1419142;"Staroźreby (2)";4;
1419153;"Wyszogród (3)";3;
1419154;"Wyszogród - miasto (4)";1;
1419155;"Wyszogród - obszar wiejski (5)";2;
1420000;"Powiat płoński";43;
1420011;"Płońsk (1)";7;
1420021;"Raciąż (1)";1;
1420032;"Baboszewo (2)";4;
1420043;"Czerwińsk nad Wisłą (3)";5;
1420044;"Czerwińsk nad Wisłą - miasto (4)";1;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";4;
1420052;"Dzierzążnia (2)";2;
1420062;"Joniec (2)";3;
1420072;"Naruszewo (2)";5;
1420082;"Nowe Miasto (2)";1;
1420092;"Płońsk (2)";2;
1420102;"Raciąż (2)";5;
1420112;"Sochocin (2)";3;
1420122;"Załuski (2)";5;
1421000;"Powiat pruszkowski";40;
1421011;"Piastów (1)";7;
1421021;"Pruszków (1)";14;
1421033;"Brwinów (3)";7;
1421034;"Brwinów - miasto (4)";4;
1421035;"Brwinów - obszar wiejski (5)";3;
1421042;"Michałowice (2)";3;
1421052;"Nadarzyn (2)";6;
1421062;"Raszyn (2)";3;
1422000;"Powiat przasnyski";28;
1422011;"Przasnysz (1)";7;
1422023;"Chorzele (3)";7;
1422024;"Chorzele - miasto (4)";2;
1422025;"Chorzele - obszar wiejski (5)";5;
1422032;"Czernice Borowe (2)";3;
1422042;"Jednorożec (2)";3;
1422052;"Krasne (2)";2;
1422062;"Krzynowłoga Mała (2)";3;
1422072;"Przasnysz (2)";3;
1423000;"Powiat przysuski";25;
1423012;"Borkowice (2)";4;
1423022;"Gielniów (2)";5;
1423032;"Klwów (2)";2;
1423042;"Odrzywół (2)";2;
1423052;"Potworów (2)";2;
1423063;"Przysucha (3)";5;
1423064;"Przysucha - miasto (4)";3;
1423065;"Przysucha - obszar wiejski (5)";2;
1423072;"Rusinów (2)";2;
1423082;"Wieniawa (2)";3;
1424000;"Powiat pułtuski";24;
1424012;"Gzy (2)";3;
1424022;"Obryte (2)";4;
1424032;"Pokrzywnica (2)";4;
1424043;"Pułtusk (3)";7;
1424044;"Pułtusk - miasto (4)";5;
1424045;"Pułtusk - obszar wiejski (5)";2;
1424052;"Świercze (2)";2;
1424062;"Winnica (2)";2;
1424072;"Zatory (2)";2;
1425000;"Powiat radomski";80;
1425011;"Pionki (1)";4;
1425022;"Gózd (2)";6;
1425033;"Iłża (3)";9;
1425034;"Iłża - miasto (4)";1;
1425035;"Iłża - obszar wiejski (5)";8;
1425042;"Jastrzębia (2)";7;
1425052;"Jedlińsk (2)";7;
1425062;"Jedlnia-Letnisko (2)";4;
1425072;"Kowala (2)";7;
1425082;"Pionki (2)";7;
1425092;"Przytyk (2)";3;
1425103;"Skaryszew (3)";9;
1425104;"Skaryszew - miasto (4)";1;
1425105;"Skaryszew - obszar wiejski (5)";8;
1425112;"Wierzbica (2)";7;
1425122;"Wolanów (2)";4;
1425132;"Zakrzew (2)";6;
1426000;"Powiat siedlecki";46;
1426012;"Domanice (2)";2;
1426022;"Korczew (2)";2;
1426032;"Kotuń (2)";3;
1426042;"Mokobody (2)";2;
1426053;"Mordy (3)";3;
1426054;"Mordy - miasto (4)";1;
1426055;"Mordy - obszar wiejski (5)";2;
1426062;"Paprotnia (2)";2;
1426072;"Przesmyki (2)";2;
1426082;"Siedlce (2)";8;
1426092;"Skórzec (2)";4;
1426102;"Suchożebry (2)";3;
1426112;"Wiśniew (2)";4;
1426122;"Wodynie (2)";3;
1426132;"Zbuczyn (2)";8;
1427000;"Powiat sierpecki";22;
1427011;"Sierpc (1)";4;
1427022;"Gozdowo (2)";2;
1427032;"Mochowo (2)";3;
1427042;"Rościszewo (2)";2;
1427052;"Sierpc (2)";4;
1427062;"Szczutowo (2)";2;
1427072;"Zawidz (2)";5;
1428000;"Powiat sochaczewski";36;
1428011;"Sochaczew (1)";8;
1428022;"Brochów (2)";3;
1428032;"Iłów (2)";5;
1428042;"Młodzieszyn (2)";3;
1428052;"Nowa Sucha (2)";4;
1428062;"Rybno (2)";2;
1428072;"Sochaczew (2)";7;
1428082;"Teresin (2)";4;
1429000;"Powiat sokołowski";26;
1429011;"Sokołów Podlaski (1)";7;
1429022;"Bielany (2)";3;
1429032;"Ceranów (2)";1;
1429042;"Jabłonna Lacka (2)";3;
1429053;"Kosów Lacki (3)";1;
1429054;"Kosów Lacki - miasto (4)";1;
1429062;"Repki (2)";3;
1429072;"Sabnie (2)";2;
1429082;"Sokołów Podlaski (2)";4;
1429092;"Sterdyń (2)";2;
1430000;"Powiat szydłowiecki";24;
1430012;"Chlewiska (2)";5;
1430022;"Jastrząb (2)";4;
1430032;"Mirów (2)";3;
1430042;"Orońsko (2)";4;
1430053;"Szydłowiec (3)";8;
1430054;"Szydłowiec - miasto (4)";5;
1430055;"Szydłowiec - obszar wiejski (5)";3;
1432000;"Powiat warszawski zachodni";42;
1432013;"Błonie (3)";7;
1432014;"Błonie - miasto (4)";6;
1432015;"Błonie - obszar wiejski (5)";1;
1432022;"Izabelin (2)";3;
1432032;"Kampinos (2)";1;
1432042;"Leszno (2)";3;
1432053;"Łomianki (3)";12;
1432054;"Łomianki - miasto (4)";8;
1432055;"Łomianki - obszar wiejski (5)";4;
1432063;"Ożarów Mazowiecki (3)";9;
1432064;"Ożarów Mazowiecki - miasto (4)";4;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";5;
1432072;"Stare Babice (2)";7;
1433000;"Powiat węgrowski";36;
1433011;"Węgrów (1)";3;
1433022;"Grębków (2)";3;
1433032;"Korytnica (2)";5;
1433042;"Liw (2)";5;
1433053;"Łochów (3)";9;
1433054;"Łochów - miasto (4)";3;
1433055;"Łochów - obszar wiejski (5)";6;
1433062;"Miedzna (2)";1;
1433072;"Sadowne (2)";4;
1433082;"Stoczek (2)";3;
1433092;"Wierzbno (2)";3;
1434000;"Powiat wołomiński";83;
1434011;"Kobyłka (1)";4;
1434021;"Marki (1)";8;
1434031;"Ząbki (1)";7;
1434041;"Zielonka (1)";6;
1434052;"Dąbrówka (2)";4;
1434062;"Jadów (2)";5;
1434072;"Klembów (2)";7;
1434082;"Poświętne (2)";6;
1434093;"Radzymin (3)";9;
1434094;"Radzymin - miasto (4)";3;
1434095;"Radzymin - obszar wiejski (5)";6;
1434102;"Strachówka (2)";2;
1434113;"Tłuszcz (3)";8;
1434114;"Tłuszcz - miasto (4)";2;
1434115;"Tłuszcz - obszar wiejski (5)";6;
1434123;"Wołomin (3)";17;
1434124;"Wołomin - miasto (4)";11;
1434125;"Wołomin - obszar wiejski (5)";6;
1435000;"Powiat wyszkowski";43;
1435012;"Brańszczyk (2)";8;
1435022;"Długosiodło (2)";5;
1435032;"Rząśnik (2)";6;
1435042;"Somianka (2)";6;
1435053;"Wyszków (3)";14;
1435054;"Wyszków - miasto (4)";8;
1435055;"Wyszków - obszar wiejski (5)";6;
1435062;"Zabrodzie (2)";4;
1436000;"Powiat zwoleński";17;
1436012;"Kazanów (2)";3;
1436022;"Policzna (2)";2;
1436032;"Przyłęk (2)";4;
1436042;"Tczów (2)";4;
1436053;"Zwoleń (3)";4;
1436054;"Zwoleń - miasto (4)";1;
1436055;"Zwoleń - obszar wiejski (5)";3;
1437000;"Powiat żuromiński";26;
1437013;"Bieżuń (3)";2;
1437014;"Bieżuń - miasto (4)";1;
1437015;"Bieżuń - obszar wiejski (5)";1;
1437022;"Kuczbork-Osada (2)";5;
1437033;"Lubowidz (3)";5;
1437034;"Lubowidz - miasto (4)";1;
1437035;"Lubowidz - obszar wiejski (5)";4;
1437042;"Lutocin (2)";3;
1437052;"Siemiątkowo (2)";2;
1437063;"Żuromin (3)";9;
1437064;"Żuromin - miasto (4)";4;
1437065;"Żuromin - obszar wiejski (5)";5;
1438000;"Powiat żyrardowski";28;
1438011;"Żyrardów (1)";9;
1438023;"Mszczonów (3)";6;
1438024;"Mszczonów - miasto (4)";1;
1438025;"Mszczonów - obszar wiejski (5)";5;
1438032;"Puszcza Mariańska (2)";6;
1438042;"Radziejowice (2)";3;
1438052;"Wiskitki (2)";4;
1461000;"Powiat m.Ostrołęka";12;
1461011;"Ostrołęka (1)";12;
1462000;"Powiat m.Płock";27;
1462011;"Płock (1)";27;
1463000;"Powiat m.Radom";45;
1463011;"Radom (1)";45;
1464000;"Powiat m.Siedlce";18;
1464011;"Siedlce (1)";18;
1465000;"Powiat m. st. Warszawa";408;
1465011;"M.st.Warszawa od 2002 (1)";408;
1465028;"Bemowo - dzielnica (8)";14;
1465038;"Białołęka - dzielnica (8)";27;
1465048;"Bielany - dzielnica (8)";28;
1465058;"Mokotów - dzielnica (8)";52;
1465068;"Ochota - dzielnica (8)";17;
1465078;"Praga-Południe - dzielnica (8)";30;
1465088;"Praga-Północ - dzielnica (8)";14;
1465098;"Rembertów - dzielnica (8)";8;
1465108;"Śródmieście - dzielnica (8)";29;
1465118;"Targówek - dzielnica (8)";26;
1465128;"Ursus - dzielnica (8)";11;
1465138;"Ursynów - dzielnica (8)";34;
1465148;"Wawer - dzielnica (8)";30;
1465158;"Wesoła - dzielnica (8)";10;
1465168;"Wilanów - dzielnica (8)";17;
1465178;"Włochy - dzielnica (8)";15;
1465188;"Wola - dzielnica (8)";33;
1465198;"Żoliborz - dzielnica (8)";13;
1600000;"OPOLSKIE";406;
1601000;"Powiat brzeski";31;
1601011;"Brzeg (1)";7;
1601022;"Skarbimierz (2)";2;
1601033;"Grodków (3)";10;
1601034;"Grodków - miasto (4)";4;
1601035;"Grodków - obszar wiejski (5)";6;
1601043;"Lewin Brzeski (3)";3;
1601044;"Lewin Brzeski - miasto (4)";1;
1601045;"Lewin Brzeski - obszar wiejski (5)";2;
1601052;"Lubsza (2)";5;
1601062;"Olszanka (2)";4;
1602000;"Powiat głubczycki";19;
1602013;"Baborów (3)";1;
1602014;"Baborów - miasto (4)";1;
1602022;"Branice (2)";2;
1602033;"Głubczyce (3)";10;
1602034;"Głubczyce - miasto (4)";4;
1602035;"Głubczyce - obszar wiejski (5)";6;
1602043;"Kietrz (3)";6;
1602044;"Kietrz - miasto (4)";1;
1602045;"Kietrz - obszar wiejski (5)";5;
1603000;"Powiat kędzierzyńsko-kozielski";37;
1603011;"Kędzierzyn-Koźle (1)";16;
1603022;"Bierawa (2)";4;
1603032;"Cisek (2)";4;
1603042;"Pawłowiczki (2)";6;
1603052;"Polska Cerekiew (2)";2;
1603062;"Reńska Wieś (2)";5;
1604000;"Powiat kluczborski";26;
1604013;"Byczyna (3)";4;
1604014;"Byczyna - miasto (4)";1;
1604015;"Byczyna - obszar wiejski (5)";3;
1604023;"Kluczbork (3)";10;
1604024;"Kluczbork - miasto (4)";5;
1604025;"Kluczbork - obszar wiejski (5)";5;
1604032;"Lasowice Wielkie (2)";6;
1604043;"Wołczyn (3)";6;
1604044;"Wołczyn - miasto (4)";1;
1604045;"Wołczyn - obszar wiejski (5)";5;
1605000;"Powiat krapkowicki";27;
1605013;"Gogolin (3)";5;
1605014;"Gogolin - miasto (4)";2;
1605015;"Gogolin - obszar wiejski (5)";3;
1605023;"Krapkowice (3)";9;
1605024;"Krapkowice - miasto (4)";4;
1605025;"Krapkowice - obszar wiejski (5)";5;
1605032;"Strzeleczki (2)";5;
1605042;"Walce (2)";3;
1605053;"Zdzieszowice (3)";5;
1605054;"Zdzieszowice - miasto (4)";3;
1605055;"Zdzieszowice - obszar wiejski (5)";2;
1606000;"Powiat namysłowski";23;
1606012;"Domaszowice (2)";1;
1606023;"Namysłów (3)";12;
1606024;"Namysłów - miasto (4)";7;
1606025;"Namysłów - obszar wiejski (5)";5;
1606032;"Pokój (2)";3;
1606042;"Świerczów (2)";3;
1606052;"Wilków (2)";4;
1607000;"Powiat nyski";60;
1607013;"Głuchołazy (3)";13;
1607014;"Głuchołazy - miasto (4)";3;
1607015;"Głuchołazy - obszar wiejski (5)";10;
1607022;"Kamiennik (2)";3;
1607033;"Korfantów (3)";5;
1607034;"Korfantów - miasto (4)";2;
1607035;"Korfantów - obszar wiejski (5)";3;
1607042;"Łambinowice (2)";5;
1607053;"Nysa (3)";15;
