"Kod";"Nazwa";"ogółem;2020;[osoba]";
3021163;"Swarzędz (3)";24;
3021164;"Swarzędz - miasto (4)";24;
3021172;"Tarnowo Podgórne (2)";18;
3022000;"Powiat rawicki";22;
3022013;"Bojanowo (3)";18;
3022014;"Bojanowo - miasto (4)";18;
3022053;"Rawicz (3)";23;
3022054;"Rawicz - miasto (4)";23;
3023000;"Powiat słupecki";24;
3023011;"Słupca (1)";28;
3023072;"Strzałkowo (2)";14;
3023083;"Zagórów (3)";28;
3023084;"Zagórów - miasto (4)";28;
3024000;"Powiat szamotulski";24;
3024063;"Pniewy (3)";25;
3024064;"Pniewy - miasto (4)";25;
3024073;"Szamotuły (3)";23;
3024074;"Szamotuły - miasto (4)";23;
3024083;"Wronki (3)";24;
3024084;"Wronki - miasto (4)";24;
3025000;"Powiat średzki";27;
3025043;"Środa Wielkopolska (3)";27;
3025044;"Środa Wielkopolska - miasto (4)";27;
3026000;"Powiat śremski";22;
3026012;"Brodnica (2)";13;
3026043;"Śrem (3)";26;
3026044;"Śrem - miasto (4)";26;
3027000;"Powiat turecki";29;
3027011;"Turek (1)";30;
3027082;"Turek (2)";27;
3028000;"Powiat wągrowiecki";27;
3028011;"Wągrowiec (1)";27;
3028022;"Damasławek (2)";13;
3028033;"Gołańcz (3)";27;
3028034;"Gołańcz - miasto (4)";27;
3029000;"Powiat wolsztyński";20;
3029012;"Przemęt (2)";15;
3029033;"Wolsztyn (3)";20;
3029034;"Wolsztyn - miasto (4)";24;
3029035;"Wolsztyn - obszar wiejski (5)";15;
3030000;"Powiat wrzesiński";28;
3030053;"Września (3)";28;
3030054;"Września - miasto (4)";28;
3031000;"Powiat złotowski";26;
3031011;"Złotów (1)";26;
3061000;"Powiat m.Kalisz";23;
3061011;"Kalisz (1)";23;
3062000;"Powiat m.Konin";26;
3062011;"Konin (1)";26;
3063000;"Powiat m.Leszno";24;
3063011;"Leszno (1)";24;
3064000;"Powiat m.Poznań";25;
3064011;"Poznań (1)";25;
3200000;"ZACHODNIOPOMORSKIE";23;
3201000;"Powiat białogardzki";19;
3201011;"Białogard (1)";20;
3201033;"Karlino (3)";16;
3201034;"Karlino - miasto (4)";16;
3202000;"Powiat choszczeński";20;
3202023;"Choszczno (3)";20;
3202024;"Choszczno - miasto (4)";20;
3203000;"Powiat drawski";25;
3203013;"Czaplinek (3)";24;
3203014;"Czaplinek - miasto (4)";24;
3203023;"Drawsko Pomorskie (3)";27;
3203024;"Drawsko Pomorskie - miasto (4)";27;
3203033;"Kalisz Pomorski (3)";22;
3203034;"Kalisz Pomorski - miasto (4)";22;
3204000;"Powiat goleniowski";25;
3204023;"Goleniów (3)";27;
3204024;"Goleniów - miasto (4)";27;
3204043;"Nowogard (3)";23;
3204044;"Nowogard - miasto (4)";23;
3205000;"Powiat gryficki";15;
3205023;"Gryfice (3)";15;
3205024;"Gryfice - miasto (4)";15;
3205043;"Płoty (3)";16;
3205044;"Płoty - miasto (4)";16;
3206000;"Powiat gryfiński";21;
3206033;"Chojna (3)";18;
3206034;"Chojna - miasto (4)";18;
3206043;"Gryfino (3)";25;
3206044;"Gryfino - miasto (4)";25;
3206053;"Mieszkowice (3)";20;
3206054;"Mieszkowice - miasto (4)";20;
3207000;"Powiat kamieński";19;
3207033;"Kamień Pomorski (3)";19;
3207034;"Kamień Pomorski - miasto (4)";18;
3207035;"Kamień Pomorski - obszar wiejski (5)";21;
3207063;"Wolin (3)";20;
3207064;"Wolin - miasto (4)";20;
3208000;"Powiat kołobrzeski";26;
3208011;"Kołobrzeg (1)";26;
3208033;"Gościno (3)";25;
3208034;"Gościno - miasto (4)";25;
3209000;"Powiat koszaliński";19;
3209042;"Manowo (2)";19;
3210000;"Powiat myśliborski";17;
3210013;"Barlinek (3)";22;
3210014;"Barlinek - miasto (4)";22;
3210033;"Dębno (3)";20;
3210034;"Dębno - miasto (4)";20;
3210043;"Myślibórz (3)";13;
3210044;"Myślibórz - miasto (4)";13;
3211000;"Powiat policki";18;
3211043;"Police (3)";18;
3211044;"Police - miasto (4)";18;
3212000;"Powiat pyrzycki";18;
3212053;"Pyrzyce (3)";18;
3212054;"Pyrzyce - miasto (4)";18;
3213000;"Powiat sławieński";24;
3213011;"Darłowo (1)";26;
3213021;"Sławno (1)";19;
3214000;"Powiat stargardzki";24;
3214011;"Stargard (1)";24;
3215000;"Powiat szczecinecki";25;
3215011;"Szczecinek (1)";25;
3216000;"Powiat świdwiński";30;
3216011;"Świdwin (1)";30;
3216033;"Połczyn-Zdrój (3)";27;
3216034;"Połczyn-Zdrój - miasto (4)";27;
3217000;"Powiat wałecki";17;
3217011;"Wałcz (1)";17;
3218000;"Powiat łobeski";22;
3218023;"Łobez (3)";22;
3218024;"Łobez - miasto (4)";22;
3261000;"Powiat m.Koszalin";22;
3261011;"Koszalin (1)";22;
3262000;"Powiat m.Szczecin";24;
3262011;"Szczecin (1)";24;
3263000;"Powiat m.Świnoujście";21;
3263011;"Świnoujście (1)";21;
