"Kod";"Nazwa";"licea ogólnokształcące dla młodzieży bez specjalnych;ogółem;ogółem;2020;[ob.]";
3029034;"Wolsztyn - miasto (4)";1;
3030000;"Powiat wrzesiński";2;
3030053;"Września (3)";2;
3030054;"Września - miasto (4)";2;
3031000;"Powiat złotowski";3;
3031011;"Złotów (1)";3;
3061000;"Powiat m.Kalisz";7;
3061011;"Kalisz (1)";7;
3062000;"Powiat m.Konin";9;
3062011;"Konin (1)";9;
3063000;"Powiat m.Leszno";6;
3063011;"Leszno (1)";6;
3064000;"Powiat m.Poznań";57;
3064011;"Poznań (1)";57;
3200000;"ZACHODNIOPOMORSKIE";98;
3201000;"Powiat białogardzki";3;
3201011;"Białogard (1)";2;
3201043;"Tychowo (3)";1;
3201044;"Tychowo - miasto (4)";1;
3202000;"Powiat choszczeński";2;
3202023;"Choszczno (3)";2;
3202024;"Choszczno - miasto (4)";2;
3203000;"Powiat drawski";4;
3203013;"Czaplinek (3)";1;
3203014;"Czaplinek - miasto (4)";1;
3203023;"Drawsko Pomorskie (3)";1;
3203024;"Drawsko Pomorskie - miasto (4)";1;
3203033;"Kalisz Pomorski (3)";1;
3203034;"Kalisz Pomorski - miasto (4)";1;
3203063;"Złocieniec (3)";1;
3203064;"Złocieniec - miasto (4)";1;
3204000;"Powiat goleniowski";4;
3204023;"Goleniów (3)";2;
3204024;"Goleniów - miasto (4)";2;
3204043;"Nowogard (3)";2;
3204044;"Nowogard - miasto (4)";2;
3205000;"Powiat gryficki";5;
3205023;"Gryfice (3)";4;
3205024;"Gryfice - miasto (4)";4;
3205083;"Trzebiatów (3)";1;
3205084;"Trzebiatów - miasto (4)";1;
3206000;"Powiat gryfiński";3;
3206033;"Chojna (3)";1;
3206034;"Chojna - miasto (4)";1;
3206043;"Gryfino (3)";2;
3206044;"Gryfino - miasto (4)";2;
3207000;"Powiat kamieński";4;
3207013;"Dziwnów (3)";1;
3207014;"Dziwnów - miasto (4)";1;
3207033;"Kamień Pomorski (3)";1;
3207034;"Kamień Pomorski - miasto (4)";1;
3207063;"Wolin (3)";2;
3207064;"Wolin - miasto (4)";2;
3208000;"Powiat kołobrzeski";4;
3208011;"Kołobrzeg (1)";3;
3208033;"Gościno (3)";1;
3208034;"Gościno - miasto (4)";1;
3209000;"Powiat koszaliński";2;
3209033;"Bobolice (3)";1;
3209034;"Bobolice - miasto (4)";1;
3209063;"Polanów (3)";1;
3209064;"Polanów - miasto (4)";1;
3210000;"Powiat myśliborski";4;
3210013;"Barlinek (3)";1;
3210014;"Barlinek - miasto (4)";1;
3210033;"Dębno (3)";2;
3210034;"Dębno - miasto (4)";2;
3210043;"Myślibórz (3)";1;
3210044;"Myślibórz - miasto (4)";1;
3211000;"Powiat policki";2;
3211022;"Kołbaskowo (2)";1;
3211043;"Police (3)";1;
3211044;"Police - miasto (4)";1;
3212000;"Powiat pyrzycki";2;
3212033;"Lipiany (3)";1;
3212034;"Lipiany - miasto (4)";1;
3212053;"Pyrzyce (3)";1;
3212054;"Pyrzyce - miasto (4)";1;
3213000;"Powiat sławieński";2;
3213011;"Darłowo (1)";1;
3213021;"Sławno (1)";1;
3214000;"Powiat stargardzki";5;
3214011;"Stargard (1)";5;
3215000;"Powiat szczecinecki";8;
3215011;"Szczecinek (1)";5;
3215033;"Biały Bór (3)";2;
3215034;"Biały Bór - miasto (4)";2;
3215043;"Borne Sulinowo (3)";1;
3215044;"Borne Sulinowo - miasto (4)";1;
3216000;"Powiat świdwiński";2;
3216011;"Świdwin (1)";1;
3216033;"Połczyn-Zdrój (3)";1;
3216034;"Połczyn-Zdrój - miasto (4)";1;
3217000;"Powiat wałecki";2;
3217011;"Wałcz (1)";2;
3218000;"Powiat łobeski";2;
3218023;"Łobez (3)";1;
3218024;"Łobez - miasto (4)";1;
3218043;"Resko (3)";1;
3218044;"Resko - miasto (4)";1;
3261000;"Powiat m.Koszalin";7;
3261011;"Koszalin (1)";7;
3262000;"Powiat m.Szczecin";27;
3262011;"Szczecin (1)";27;
3263000;"Powiat m.Świnoujście";4;
3263011;"Świnoujście (1)";4;
