"Kod";"Nazwa";"ludność korzystająca z sieci wodociągowej;2020;[osoba]";
1205082;"Ropa (2)";524;
1205092;"Sękowa (2)";3272;
1205102;"Uście Gorlickie (2)";2426;
1206000;"Powiat krakowski";263445;
1206012;"Czernichów (2)";12731;
1206022;"Igołomia-Wawrzeńczyce (2)";4498;
1206032;"Iwanowice (2)";8490;
1206042;"Jerzmanowice-Przeginia (2)";10723;
1206052;"Kocmyrzów-Luborzyca (2)";15985;
1206063;"Krzeszowice (3)";30531;
1206064;"Krzeszowice - miasto (4)";9866;
1206065;"Krzeszowice - obszar wiejski (5)";20665;
1206072;"Liszki (2)";15915;
1206082;"Michałowice (2)";10546;
1206092;"Mogilany (2)";13080;
1206103;"Skała (3)";10352;
1206104;"Skała - miasto (4)";3582;
1206105;"Skała - obszar wiejski (5)";6770;
1206113;"Skawina (3)";42931;
1206114;"Skawina - miasto (4)";24345;
1206115;"Skawina - obszar wiejski (5)";18586;
1206123;"Słomniki (3)";10860;
1206124;"Słomniki - miasto (4)";3619;
1206125;"Słomniki - obszar wiejski (5)";7241;
1206132;"Sułoszowa (2)";5447;
1206143;"Świątniki Górne (3)";9866;
1206144;"Świątniki Górne - miasto (4)";2096;
1206145;"Świątniki Górne - obszar wiejski (5)";7770;
1206152;"Wielka Wieś (2)";12702;
1206162;"Zabierzów (2)";26844;
1206172;"Zielonki (2)";21944;
1207000;"Powiat limanowski";64930;
1207011;"Limanowa (1)";12391;
1207021;"Mszana Dolna (1)";4436;
1207032;"Dobra (2)";5161;
1207042;"Jodłownik (2)";3284;
1207052;"Kamienica (2)";748;
1207062;"Laskowa (2)";3448;
1207072;"Limanowa (2)";14650;
1207082;"Łukowica (2)";1426;
1207092;"Mszana Dolna (2)";5344;
1207102;"Niedźwiedź (2)";3312;
1207112;"Słopnice (2)";5952;
1207122;"Tymbark (2)";4778;
1208000;"Powiat miechowski";42805;
1208012;"Charsznica (2)";6467;
1208022;"Gołcza (2)";5574;
1208032;"Kozłów (2)";3508;
1208042;"Książ Wielki (2)";3801;
1208053;"Miechów (3)";18355;
1208054;"Miechów - miasto (4)";10848;
1208055;"Miechów - obszar wiejski (5)";7507;
1208062;"Racławice (2)";2064;
1208072;"Słaboszów (2)";3036;
1209000;"Powiat myślenicki";82320;
1209013;"Dobczyce (3)";14958;
1209014;"Dobczyce - miasto (4)";6238;
1209015;"Dobczyce - obszar wiejski (5)";8720;
1209022;"Lubień (2)";1439;
1209033;"Myślenice (3)";38704;
1209034;"Myślenice - miasto (4)";16353;
1209035;"Myślenice - obszar wiejski (5)";22351;
1209042;"Pcim (2)";1121;
1209052;"Raciechowice (2)";3504;
1209062;"Siepraw (2)";7960;
1209073;"Sułkowice (3)";10264;
1209074;"Sułkowice - miasto (4)";5492;
1209075;"Sułkowice - obszar wiejski (5)";4772;
1209092;"Wiśniowa (2)";4370;
1210000;"Powiat nowosądecki";123984;
1210011;"Grybów (1)";3048;
1210022;"Chełmiec (2)";19493;
1210032;"Gródek nad Dunajcem (2)";6178;
1210042;"Grybów (2)";13922;
1210052;"Kamionka Wielka (2)";9626;
1210062;"Korzenna (2)";5932;
1210073;"Krynica-Zdrój (3)";13680;
1210074;"Krynica-Zdrój - miasto (4)";10165;
1210075;"Krynica-Zdrój - obszar wiejski (5)";3515;
1210082;"Łabowa (2)";682;
1210092;"Łącko (2)";5856;
1210102;"Łososina Dolna (2)";6417;
1210113;"Muszyna (3)";5939;
1210114;"Muszyna - miasto (4)";3224;
1210115;"Muszyna - obszar wiejski (5)";2715;
1210122;"Nawojowa (2)";3812;
1210133;"Piwniczna-Zdrój (3)";3786;
1210134;"Piwniczna-Zdrój - miasto (4)";2001;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";1785;
1210142;"Podegrodzie (2)";6298;
1210152;"Rytro (2)";1915;
1210163;"Stary Sącz (3)";17400;
1210164;"Stary Sącz - miasto (4)";8168;
1210165;"Stary Sącz - obszar wiejski (5)";9232;
1211000;"Powiat nowotarski";94363;
1211011;"Nowy Targ (1)";27437;
1211023;"Szczawnica (3)";5751;
1211024;"Szczawnica - miasto (4)";5256;
1211025;"Szczawnica - obszar wiejski (5)";495;
1211032;"Czarny Dunajec (2)";6441;
1211042;"Czorsztyn (2)";5938;
1211052;"Jabłonka (2)";9920;
1211062;"Krościenko nad Dunajcem (2)";4850;
1211082;"Łapsze Niżne (2)";3349;
1211092;"Nowy Targ (2)";11390;
1211102;"Ochotnica Dolna (2)";391;
1211112;"Raba Wyżna (2)";3453;
1211123;"Rabka-Zdrój (3)";8491;
1211124;"Rabka-Zdrój - miasto (4)";8376;
1211125;"Rabka-Zdrój - obszar wiejski (5)";115;
1211132;"Spytkowice (2)";3831;
1211142;"Szaflary (2)";3121;
1212000;"Powiat olkuski";108841;
1212011;"Bukowno (1)";9968;
1212032;"Bolesław (2)";7649;
1212042;"Klucze (2)";14305;
1212053;"Olkusz (3)";48158;
1212054;"Olkusz - miasto (4)";34720;
1212055;"Olkusz - obszar wiejski (5)";13438;
1212062;"Trzyciąż (2)";7010;
1212073;"Wolbrom (3)";21751;
1212074;"Wolbrom - miasto (4)";8402;
1212075;"Wolbrom - obszar wiejski (5)";13349;
1213000;"Powiat oświęcimski";149879;
1213011;"Oświęcim (1)";37561;
1213023;"Brzeszcze (3)";21090;
1213024;"Brzeszcze - miasto (4)";11080;
1213025;"Brzeszcze - obszar wiejski (5)";10010;
1213033;"Chełmek (3)";12810;
1213034;"Chełmek - miasto (4)";8910;
1213035;"Chełmek - obszar wiejski (5)";3900;
1213043;"Kęty (3)";31534;
1213044;"Kęty - miasto (4)";17616;
1213045;"Kęty - obszar wiejski (5)";13918;
1213052;"Osiek (2)";8245;
1213062;"Oświęcim (2)";18611;
1213072;"Polanka Wielka (2)";4317;
1213082;"Przeciszów (2)";6661;
1213093;"Zator (3)";9050;
1213094;"Zator - miasto (4)";3522;
1213095;"Zator - obszar wiejski (5)";5528;
1214000;"Powiat proszowicki";39788;
1214012;"Koniusza (2)";8616;
1214023;"Koszyce (3)";3677;
1214024;"Koszyce - miasto (4)";643;
1214025;"Koszyce - obszar wiejski (5)";3034;
1214033;"Nowe Brzesko (3)";5033;
1214034;"Nowe Brzesko - miasto (4)";1474;
1214035;"Nowe Brzesko - obszar wiejski (5)";3559;
1214042;"Pałecznica (2)";3331;
1214053;"Proszowice (3)";15858;
1214054;"Proszowice - miasto (4)";5975;
1214055;"Proszowice - obszar wiejski (5)";9883;
1214062;"Radziemice (2)";3273;
1215000;"Powiat suski";33738;
1215011;"Jordanów (1)";4238;
1215021;"Sucha Beskidzka (1)";6525;
1215032;"Budzów (2)";58;
1215042;"Bystra-Sidzina (2)";3327;
1215052;"Jordanów (2)";3891;
1215063;"Maków Podhalański (3)";3071;
1215064;"Maków Podhalański - miasto (4)";2853;
1215065;"Maków Podhalański - obszar wiejski (5)";218;
1215072;"Stryszawa (2)";6370;
1215082;"Zawoja (2)";2340;
1215092;"Zembrzyce (2)";3918;
1216000;"Powiat tarnowski";148312;
1216013;"Ciężkowice (3)";8120;
1216014;"Ciężkowice - miasto (4)";1520;
1216015;"Ciężkowice - obszar wiejski (5)";6600;
1216022;"Gromnik (2)";5880;
1216032;"Lisia Góra (2)";14966;
1216042;"Pleśna (2)";7465;
1216053;"Radłów (3)";9005;
1216054;"Radłów - miasto (4)";2697;
1216055;"Radłów - obszar wiejski (5)";6308;
1216063;"Ryglice (3)";2402;
1216064;"Ryglice - miasto (4)";687;
1216065;"Ryglice - obszar wiejski (5)";1715;
1216072;"Rzepiennik Strzyżewski (2)";1519;
1216082;"Skrzyszów (2)";8717;
1216092;"Tarnów (2)";24586;
1216103;"Tuchów (3)";14513;
1216104;"Tuchów - miasto (4)";5416;
1216105;"Tuchów - obszar wiejski (5)";9097;
1216112;"Wierzchosławice (2)";9906;
1216122;"Wietrzychowice (2)";3843;
1216133;"Wojnicz (3)";10566;
1216134;"Wojnicz - miasto (4)";2908;
1216135;"Wojnicz - obszar wiejski (5)";7658;
1216143;"Zakliczyn (3)";4044;
1216144;"Zakliczyn - miasto (4)";1535;
1216145;"Zakliczyn - obszar wiejski (5)";2509;
1216153;"Żabno (3)";18817;
1216154;"Żabno - miasto (4)";4152;
1216155;"Żabno - obszar wiejski (5)";14665;
1216162;"Szerzyny (2)";3963;
1217000;"Powiat tatrzański";50208;
1217011;"Zakopane (1)";24305;
1217022;"Biały Dunajec (2)";6272;
1217032;"Bukowina Tatrzańska (2)";5309;
1217042;"Kościelisko (2)";6329;
1217052;"Poronin (2)";7993;
1218000;"Powiat wadowicki";137784;
1218013;"Andrychów (3)";38135;
1218014;"Andrychów - miasto (4)";18834;
1218015;"Andrychów - obszar wiejski (5)";19301;
1218022;"Brzeźnica (2)";9697;
1218033;"Kalwaria Zebrzydowska (3)";16475;
1218034;"Kalwaria Zebrzydowska - miasto (4)";4110;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";12365;
1218042;"Lanckorona (2)";4922;
1218052;"Mucharz (2)";3466;
1218062;"Spytkowice (2)";10212;
1218072;"Stryszów (2)";3443;
1218082;"Tomice (2)";8214;
1218093;"Wadowice (3)";31994;
1218094;"Wadowice - miasto (4)";18360;
1218095;"Wadowice - obszar wiejski (5)";13634;
1218102;"Wieprz (2)";11226;
1219000;"Powiat wielicki";118575;
1219012;"Biskupice (2)";7981;
1219022;"Gdów (2)";15715;
1219032;"Kłaj (2)";9998;
1219043;"Niepołomice (3)";28805;
1219044;"Niepołomice - miasto (4)";14013;
1219045;"Niepołomice - obszar wiejski (5)";14792;
1219053;"Wieliczka (3)";56076;
1219054;"Wieliczka - miasto (4)";24164;
1219055;"Wieliczka - obszar wiejski (5)";31912;
1261000;"Powiat m.Kraków";777973;
1261011;"Kraków (1)";777973;
1262000;"Powiat m.Nowy Sącz";72229;
1262011;"Nowy Sącz (1)";72229;
1263000;"Powiat m.Tarnów";107455;
1263011;"Tarnów (1)";107455;
1400000;"MAZOWIECKIE";4920378;
1401000;"Powiat białobrzeski";25123;
1401013;"Białobrzegi (3)";10225;
1401014;"Białobrzegi - miasto (4)";6845;
1401015;"Białobrzegi - obszar wiejski (5)";3380;
1401022;"Promna (2)";2174;
1401032;"Radzanów (2)";938;
1401042;"Stara Błotnica (2)";4700;
1401052;"Stromiec (2)";4769;
1401063;"Wyśmierzyce (3)";2317;
1401064;"Wyśmierzyce - miasto (4)";768;
1401065;"Wyśmierzyce - obszar wiejski (5)";1549;
1402000;"Powiat ciechanowski";83238;
1402011;"Ciechanów (1)";41309;
1402022;"Ciechanów (2)";6296;
1402033;"Glinojeck (3)";7698;
1402034;"Glinojeck - miasto (4)";2931;
1402035;"Glinojeck - obszar wiejski (5)";4767;
1402042;"Gołymin-Ośrodek (2)";3639;
1402052;"Grudusk (2)";3528;
1402062;"Ojrzeń (2)";4223;
1402072;"Opinogóra Górna (2)";5522;
1402082;"Regimin (2)";4948;
1402092;"Sońsk (2)";6075;
1403000;"Powiat garwoliński";95862;
1403011;"Garwolin (1)";17303;
1403021;"Łaskarzew (1)";4460;
1403032;"Borowie (2)";5057;
1403042;"Garwolin (2)";11904;
1403052;"Górzno (2)";5584;
1403062;"Łaskarzew (2)";4102;
1403072;"Maciejowice (2)";3941;
1403082;"Miastków Kościelny (2)";4012;
1403092;"Parysów (2)";3808;
1403103;"Pilawa (3)";10334;
1403104;"Pilawa - miasto (4)";4523;
1403105;"Pilawa - obszar wiejski (5)";5811;
1403112;"Sobolew (2)";6746;
1403122;"Trojanów (2)";6009;
1403132;"Wilga (2)";5010;
1403143;"Żelechów (3)";7592;
1403144;"Żelechów - miasto (4)";3869;
1403145;"Żelechów - obszar wiejski (5)";3723;
1404000;"Powiat gostyniński";38323;
1404011;"Gostynin (1)";16089;
1404022;"Gostynin (2)";10081;
1404032;"Pacyna (2)";3082;
1404043;"Sanniki (3)";4932;
1404044;"Sanniki - miasto (4)";1597;
1404045;"Sanniki - obszar wiejski (5)";3335;
1404052;"Szczawin Kościelny (2)";4139;
1405000;"Powiat grodziski";89254;
1405011;"Milanówek (1)";13553;
1405021;"Podkowa Leśna (1)";3285;
1405032;"Baranów (2)";5159;
1405043;"Grodzisk Mazowiecki (3)";46889;
1405044;"Grodzisk Mazowiecki - miasto (4)";32022;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";14867;
1405052;"Jaktorów (2)";11180;
1405062;"Żabia Wola (2)";9188;
1406000;"Powiat grójecki";74353;
1406012;"Belsk Duży (2)";5682;
1406022;"Błędów (2)";2511;
1406032;"Chynów (2)";9037;
1406042;"Goszczyn (2)";1329;
1406053;"Grójec (3)";24446;
1406054;"Grójec - miasto (4)";16251;
1406055;"Grójec - obszar wiejski (5)";8195;
1406062;"Jasieniec (2)";2612;
1406073;"Mogielnica (3)";7224;
1406074;"Mogielnica - miasto (4)";2065;
1406075;"Mogielnica - obszar wiejski (5)";5159;
1406083;"Nowe Miasto nad Pilicą (3)";6972;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";3670;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";3302;
1406092;"Pniewy (2)";430;
1406113;"Warka (3)";14110;
1406114;"Warka - miasto (4)";11822;
1406115;"Warka - obszar wiejski (5)";2288;
1407000;"Powiat kozienicki";50517;
1407012;"Garbatka-Letnisko (2)";4328;
1407022;"Głowaczów (2)";6721;
1407032;"Gniewoszów (2)";2669;
1407042;"Grabów nad Pilicą (2)";3398;
1407053;"Kozienice (3)";26585;
1407054;"Kozienice - miasto (4)";16049;
1407055;"Kozienice - obszar wiejski (5)";10536;
1407062;"Magnuszew (2)";3477;
1407072;"Sieciechów (2)";3339;
1408000;"Powiat legionowski";87641;
1408011;"Legionowo (1)";46739;
1408022;"Jabłonna (2)";3950;
1408032;"Nieporęt (2)";10727;
1408043;"Serock (3)";14722;
1408044;"Serock - miasto (4)";4656;
1408045;"Serock - obszar wiejski (5)";10066;
1408052;"Wieliszew (2)";11503;
1409000;"Powiat lipski";25781;
1409012;"Chotcza (2)";2090;
1409022;"Ciepielów (2)";4557;
1409033;"Lipsko (3)";7739;
1409034;"Lipsko - miasto (4)";4944;
1409035;"Lipsko - obszar wiejski (5)";2795;
1409042;"Rzeczniów (2)";3673;
1409052;"Sienno (2)";5040;
1409062;"Solec nad Wisłą (2)";2682;
1410000;"Powiat łosicki";26467;
1410012;"Huszlew (2)";2149;
1410023;"Łosice (3)";9416;
1410024;"Łosice - miasto (4)";6257;
1410025;"Łosice - obszar wiejski (5)";3159;
1410032;"Olszanka (2)";2747;
1410042;"Platerów (2)";3985;
1410052;"Sarnaki (2)";3899;
1410062;"Stara Kornica (2)";4271;
1411000;"Powiat makowski";38567;
1411011;"Maków Mazowiecki (1)";9207;
1411022;"Czerwonka (2)";2441;
1411032;"Karniewo (2)";4193;
1411042;"Krasnosielc (2)";6132;
1411052;"Młynarze (2)";1290;
1411062;"Płoniawy-Bramura (2)";4096;
1411073;"Różan (3)";4392;
1411074;"Różan - miasto (4)";2697;
1411075;"Różan - obszar wiejski (5)";1695;
1411082;"Rzewnie (2)";1373;
1411092;"Sypniewo (2)";1949;
1411102;"Szelków (2)";3494;
1412000;"Powiat miński";140127;
1412011;"Mińsk Mazowiecki (1)";37377;
1412042;"Cegłów (2)";5020;
1412052;"Dębe Wielkie (2)";7708;
1412062;"Dobre (2)";4521;
1412073;"Halinów (3)";16433;
1412074;"Halinów - miasto (4)";3710;
1412075;"Halinów - obszar wiejski (5)";12723;
1412082;"Jakubów (2)";4443;
1412093;"Kałuszyn (3)";5517;
1412094;"Kałuszyn - miasto (4)";2713;
1412095;"Kałuszyn - obszar wiejski (5)";2804;
1412102;"Latowicz (2)";4473;
1412112;"Mińsk Mazowiecki (2)";15661;
1412123;"Mrozy (3)";7809;
1412124;"Mrozy - miasto (4)";3545;
1412125;"Mrozy - obszar wiejski (5)";4264;
1412132;"Siennica (2)";7517;
1412142;"Stanisławów (2)";6791;
1412151;"Sulejówek (1)";16857;
1413000;"Powiat mławski";66566;
1413011;"Mława (1)";28679;
1413022;"Dzierzgowo (2)";2943;
1413032;"Lipowiec Kościelny (2)";4490;
1413042;"Radzanów (2)";3110;
1413052;"Strzegowo (2)";6224;
1413062;"Stupsk (2)";4434;
1413072;"Szreńsk (2)";3533;
1413082;"Szydłowo (2)";4468;
1413092;"Wieczfnia Kościelna (2)";3615;
1413102;"Wiśniewo (2)";5070;
1414000;"Powiat nowodworski";69109;
1414011;"Nowy Dwór Mazowiecki (1)";26493;
1414022;"Czosnów (2)";8593;
1414032;"Leoncin (2)";2695;
1414043;"Nasielsk (3)";18464;
1414044;"Nasielsk - miasto (4)";7604;
1414045;"Nasielsk - obszar wiejski (5)";10860;
1414052;"Pomiechówek (2)";8034;
1414063;"Zakroczym (3)";4830;
1414064;"Zakroczym - miasto (4)";1996;
1414065;"Zakroczym - obszar wiejski (5)";2834;
1415000;"Powiat ostrołęcki";65580;
1415012;"Baranowo (2)";5033;
1415022;"Czarnia (2)";1236;
1415032;"Czerwin (2)";4026;
1415042;"Goworowo (2)";7175;
1415052;"Kadzidło (2)";8420;
1415062;"Lelis (2)";7797;
1415072;"Łyse (2)";2665;
1415083;"Myszyniec (3)";9374;
1415084;"Myszyniec - miasto (4)";3028;
1415085;"Myszyniec - obszar wiejski (5)";6346;
1415092;"Olszewo-Borki (2)";6147;
1415102;"Rzekuń (2)";10326;
1415112;"Troszyn (2)";3381;
1416000;"Powiat ostrowski";64512;
1416011;"Ostrów Mazowiecka (1)";20025;
1416022;"Andrzejewo (2)";3973;
1416032;"Boguty-Pianki (2)";2420;
1416043;"Brok (3)";1778;
1416044;"Brok - miasto (4)";1419;
1416045;"Brok - obszar wiejski (5)";359;
1416052;"Małkinia Górna (2)";9803;
1416062;"Nur (2)";2544;
1416072;"Ostrów Mazowiecka (2)";12750;
1416082;"Stary Lubotyń (2)";3362;
1416092;"Szulborze Wielkie (2)";1253;
1416102;"Wąsewo (2)";4007;
1416112;"Zaręby Kościelne (2)";2597;
1417000;"Powiat otwocki";97661;
1417011;"Józefów (1)";13156;
1417021;"Otwock (1)";31258;
1417032;"Celestynów (2)";11688;
1417043;"Karczew (3)";13592;
1417044;"Karczew - miasto (4)";8207;
1417045;"Karczew - obszar wiejski (5)";5385;
1417052;"Kołbiel (2)";6884;
1417062;"Osieck (2)";3668;
1417072;"Sobienie-Jeziory (2)";6351;
1417082;"Wiązowna (2)";11064;
1418000;"Powiat piaseczyński";181534;
1418013;"Góra Kalwaria (3)";26228;
1418014;"Góra Kalwaria - miasto (4)";11207;
1418015;"Góra Kalwaria - obszar wiejski (5)";15021;
1418023;"Konstancin-Jeziorna (3)";18642;
1418024;"Konstancin-Jeziorna - miasto (4)";13301;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";5341;
1418032;"Lesznowola (2)";29764;
1418043;"Piaseczno (3)";83983;
1418044;"Piaseczno - miasto (4)";48622;
1418045;"Piaseczno - obszar wiejski (5)";35361;
1418052;"Prażmów (2)";11357;
1418063;"Tarczyn (3)";11560;
1418064;"Tarczyn - miasto (4)";4126;
1418065;"Tarczyn - obszar wiejski (5)";7434;
1419000;"Powiat płocki";99479;
1419012;"Bielsk (2)";6979;
1419022;"Bodzanów (2)";6793;
1419032;"Brudzeń Duży (2)";7222;
1419042;"Bulkowo (2)";5085;
1419053;"Drobin (3)";6738;
1419054;"Drobin - miasto (4)";2463;
1419055;"Drobin - obszar wiejski (5)";4275;
1419063;"Gąbin (3)";9622;
1419064;"Gąbin - miasto (4)";3484;
1419065;"Gąbin - obszar wiejski (5)";6138;
1419072;"Łąck (2)";5015;
1419082;"Mała Wieś (2)";4987;
1419092;"Nowy Duninów (2)";3658;
1419102;"Radzanowo (2)";8022;
1419112;"Słubice (2)";3827;
1419122;"Słupno (2)";7706;
1419132;"Stara Biała (2)";11808;
1419142;"Staroźreby (2)";6902;
1419153;"Wyszogród (3)";5115;
1419154;"Wyszogród - miasto (4)";2567;
1419155;"Wyszogród - obszar wiejski (5)";2548;
1420000;"Powiat płoński";79804;
1420011;"Płońsk (1)";21902;
1420021;"Raciąż (1)";3900;
1420032;"Baboszewo (2)";7400;
1420043;"Czerwińsk nad Wisłą (3)";6335;
1420044;"Czerwińsk nad Wisłą - miasto (4)";1010;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";5325;
1420052;"Dzierzążnia (2)";3210;
1420062;"Joniec (2)";2060;
1420072;"Naruszewo (2)";5340;
1420082;"Nowe Miasto (2)";3668;
1420092;"Płońsk (2)";7881;
1420102;"Raciąż (2)";7104;
1420112;"Sochocin (2)";5358;
1420122;"Załuski (2)";5646;
1421000;"Powiat pruszkowski";142515;
1421011;"Piastów (1)";16961;
1421021;"Pruszków (1)";57599;
1421033;"Brwinów (3)";20466;
1421034;"Brwinów - miasto (4)";11693;
1421035;"Brwinów - obszar wiejski (5)";8773;
1421042;"Michałowice (2)";16582;
1421052;"Nadarzyn (2)";13839;
1421062;"Raszyn (2)";17068;
1422000;"Powiat przasnyski";50183;
1422011;"Przasnysz (1)";17018;
1422023;"Chorzele (3)";9099;
1422024;"Chorzele - miasto (4)";2976;
1422025;"Chorzele - obszar wiejski (5)";6123;
1422032;"Czernice Borowe (2)";3751;
1422042;"Jednorożec (2)";6555;
1422052;"Krasne (2)";3523;
1422062;"Krzynowłoga Mała (2)";3417;
1422072;"Przasnysz (2)";6820;
1423000;"Powiat przysuski";37429;
1423012;"Borkowice (2)";3785;
1423022;"Gielniów (2)";4371;
1423032;"Klwów (2)";3353;
1423042;"Odrzywół (2)";3206;
1423052;"Potworów (2)";3523;
1423063;"Przysucha (3)";11255;
1423064;"Przysucha - miasto (4)";5432;
1423065;"Przysucha - obszar wiejski (5)";5823;
1423072;"Rusinów (2)";3712;
1423082;"Wieniawa (2)";4224;
1424000;"Powiat pułtuski";45946;
1424012;"Gzy (2)";3498;
1424022;"Obryte (2)";4245;
1424032;"Pokrzywnica (2)";3477;
1424043;"Pułtusk (3)";22462;
1424044;"Pułtusk - miasto (4)";18547;
1424045;"Pułtusk - obszar wiejski (5)";3915;
1424052;"Świercze (2)";3768;
1424062;"Winnica (2)";4097;
1424072;"Zatory (2)";4399;
1425000;"Powiat radomski";138864;
1425011;"Pionki (1)";17527;
1425022;"Gózd (2)";8330;
1425033;"Iłża (3)";13778;
1425034;"Iłża - miasto (4)";4441;
1425035;"Iłża - obszar wiejski (5)";9337;
1425042;"Jastrzębia (2)";6415;
1425052;"Jedlińsk (2)";11904;
1425062;"Jedlnia-Letnisko (2)";11693;
1425072;"Kowala (2)";11990;
1425082;"Pionki (2)";8350;
1425092;"Przytyk (2)";6440;
1425103;"Skaryszew (3)";14518;
1425104;"Skaryszew - miasto (4)";4135;
1425105;"Skaryszew - obszar wiejski (5)";10383;
1425112;"Wierzbica (2)";8378;
1425122;"Wolanów (2)";6831;
1425132;"Zakrzew (2)";12710;
1426000;"Powiat siedlecki";72787;
1426012;"Domanice (2)";2142;
1426022;"Korczew (2)";2314;
1426032;"Kotuń (2)";6708;
1426042;"Mokobody (2)";4807;
1426053;"Mordy (3)";4213;
1426054;"Mordy - miasto (4)";1602;
1426055;"Mordy - obszar wiejski (5)";2611;
1426062;"Paprotnia (2)";2498;
1426072;"Przesmyki (2)";2269;
1426082;"Siedlce (2)";17415;
1426092;"Skórzec (2)";7568;
1426102;"Suchożebry (2)";4099;
1426112;"Wiśniew (2)";5435;
1426122;"Wodynie (2)";3276;
1426132;"Zbuczyn (2)";10043;
1427000;"Powiat sierpecki";49011;
1427011;"Sierpc (1)";17184;
1427022;"Gozdowo (2)";5806;
1427032;"Mochowo (2)";5310;
1427042;"Rościszewo (2)";3674;
1427052;"Sierpc (2)";6950;
1427062;"Szczutowo (2)";3840;
1427072;"Zawidz (2)";6247;
1428000;"Powiat sochaczewski";79140;
1428011;"Sochaczew (1)";33645;
1428022;"Brochów (2)";3479;
1428032;"Iłów (2)";4949;
1428042;"Młodzieszyn (2)";4991;
1428052;"Nowa Sucha (2)";6674;
1428062;"Rybno (2)";3055;
1428072;"Sochaczew (2)";11139;
1428082;"Teresin (2)";11208;
1429000;"Powiat sokołowski";46518;
1429011;"Sokołów Podlaski (1)";17790;
1429022;"Bielany (2)";3554;
1429032;"Ceranów (2)";1187;
1429042;"Jabłonna Lacka (2)";4135;
1429053;"Kosów Lacki (3)";4069;
1429054;"Kosów Lacki - miasto (4)";1811;
1429055;"Kosów Lacki - obszar wiejski (5)";2258;
1429062;"Repki (2)";4988;
1429072;"Sabnie (2)";3182;
1429082;"Sokołów Podlaski (2)";4812;
1429092;"Sterdyń (2)";2801;
1430000;"Powiat szydłowiecki";36746;
1430012;"Chlewiska (2)";5685;
1430022;"Jastrząb (2)";4635;
1430032;"Mirów (2)";3442;
1430042;"Orońsko (2)";5503;
1430053;"Szydłowiec (3)";17481;
1430054;"Szydłowiec - miasto (4)";10895;
1430055;"Szydłowiec - obszar wiejski (5)";6586;
1432000;"Powiat warszawski zachodni";103476;
1432013;"Błonie (3)";19480;
1432014;"Błonie - miasto (4)";11507;
1432015;"Błonie - obszar wiejski (5)";7973;
1432022;"Izabelin (2)";8850;
1432032;"Kampinos (2)";4348;
1432042;"Leszno (2)";8625;
1432053;"Łomianki (3)";16842;
1432054;"Łomianki - miasto (4)";11783;
1432055;"Łomianki - obszar wiejski (5)";5059;
1432063;"Ożarów Mazowiecki (3)";26142;
1432064;"Ożarów Mazowiecki - miasto (4)";12429;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";13713;
1432072;"Stare Babice (2)";19189;
1433000;"Powiat węgrowski";57395;
1433011;"Węgrów (1)";10895;
1433022;"Grębków (2)";4396;
1433032;"Korytnica (2)";5374;
1433042;"Liw (2)";5685;
1433053;"Łochów (3)";16592;
1433054;"Łochów - miasto (4)";6729;
1433055;"Łochów - obszar wiejski (5)";9863;
1433062;"Miedzna (2)";3375;
1433072;"Sadowne (2)";4921;
1433082;"Stoczek (2)";4863;
1433092;"Wierzbno (2)";1294;
1434000;"Powiat wołomiński";195470;
1434011;"Kobyłka (1)";19802;
1434021;"Marki (1)";32921;
1434031;"Ząbki (1)";27176;
1434041;"Zielonka (1)";17262;
1434052;"Dąbrówka (2)";5519;
1434062;"Jadów (2)";5429;
1434072;"Klembów (2)";7069;
1434082;"Poświętne (2)";1273;
1434093;"Radzymin (3)";21874;
1434094;"Radzymin - miasto (4)";12905;
1434095;"Radzymin - obszar wiejski (5)";8969;
1434102;"Strachówka (2)";1252;
1434113;"Tłuszcz (3)";10753;
1434114;"Tłuszcz - miasto (4)";6520;
1434115;"Tłuszcz - obszar wiejski (5)";4233;
1434123;"Wołomin (3)";45140;
1434124;"Wołomin - miasto (4)";31829;
1434125;"Wołomin - obszar wiejski (5)";13311;
1435000;"Powiat wyszkowski";69138;
1435012;"Brańszczyk (2)";7667;
1435022;"Długosiodło (2)";5075;
1435032;"Rząśnik (2)";6766;
1435042;"Somianka (2)";5507;
1435053;"Wyszków (3)";38976;
1435054;"Wyszków - miasto (4)";26396;
1435055;"Wyszków - obszar wiejski (5)";12580;
1435062;"Zabrodzie (2)";5147;
1436000;"Powiat zwoleński";25695;
1436012;"Kazanów (2)";2623;
1436022;"Policzna (2)";3808;
1436032;"Przyłęk (2)";4773;
1436042;"Tczów (2)";4202;
1436053;"Zwoleń (3)";10289;
1436054;"Zwoleń - miasto (4)";6479;
1436055;"Zwoleń - obszar wiejski (5)";3810;
1437000;"Powiat żuromiński";37312;
1437013;"Bieżuń (3)";4723;
1437014;"Bieżuń - miasto (4)";1699;
1437015;"Bieżuń - obszar wiejski (5)";3024;
1437022;"Kuczbork-Osada (2)";4667;
1437033;"Lubowidz (3)";6545;
